Occupancy of persons
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
7.00
6.00
2.00
3.00
4.00
3.00
3.00
5.00
9.00
11.00
11.00
16.00
13.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
4.00
2.00
3.00
4.00
4.00
5.00
4.00
5.00
8.00
13.00
16.00
19.00
15.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
11.00
8.00
6.00
6.00
5.00
6.00
8.00
10.00
12.00
12.00
12.00
13.00
13.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
8.00
6.00
4.00
7.00
7.00
7.00
5.00
7.00
14.00
13.00
16.00
15.00
13.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
9.00
10.00
9.00
9.00
6.00
5.00
7.00
10.00
13.00
13.00
16.00
16.00
17.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
6.00
11.00
11.00
11.00
10.00
12.00
15.00
16.00
14.00
13.00
14.00
13.00
12.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
8.00
11.00
11.00
13.00
11.00
5.00
2.00
5.00
10.00
10.00
15.00
17.00
15.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
6.00
8.00
8.00
5.00
4.00
5.00
5.00
8.00
8.00
12.00
13.00
11.00
11.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
9.00
7.00
8.00
5.00
6.00
5.00
6.00
2.00
4.00
8.00
10.00
13.00
14.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
11.00
7.00
7.00
8.00
7.00
8.00
8.00
8.00
9.00
11.00
18.00
17.00
17.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
22.00
6.00
4.00
5.00
5.00
6.00
3.00
3.00
4.00
7.00
13.00
