Internal gains in W
1620.86
1698.29
1687.73
1666.10
1666.10
1620.86
2241.25
2770.72
1758.76
2223.42
1732.65
1182.24
1233.57
1127.86
624.14
1095.71
1633.97
1219.07
2222.77
3203.25
3742.56
3157.59
3818.59
2876.52
1631.54
1620.86
1684.10
1692.19
1668.58
1656.57
1766.95
2169.93
2439.64
1103.79
1975.98
1329.55
905.76
1708.18
1540.46
1232.39
2592.55
2320.14
3199.40
3323.90
2482.34
4016.91
4048.65
1924.77
1638.71
1855.92
1789.02
1736.32
1620.86
1645.48
1734.78
1877.65
1334.75
531.35
318.66
445.52
1816.07
839.06
523.30
1476.71
2719.55
1883.71
2442.55
2063.41
2757.49
3746.26
3244.67
3221.47
1620.86
1723.91
1739.79
1620.86
1760.77
2071.47
2107.67
1891.12
1387.40
2080.13
2287.91
2691.46
1705.41
1442.31
2507.30
1911.77
2270.29
3391.20
2576.62
3465.46
2629.74
2503.10
3629.67
2600.85
1620.86
1703.77
1679.10
1666.05
1659.27
1620.86
1645.54
2459.07
2650.64
1344.64
1246.99
2110.53
1319.56
664.30
943.09
1711.24
1574.83
1419.57
2618.99
1897.05
3472.96
2943.89
3533.12
3919.42
1629.93
1693.17
1668.75
1620.86
1620.86
1620.86
2084.61
1884.28
948.66
892.94
1798.60
1625.58
1511.68
1824.02
2502.57
2458.28
1927.06
1965.00
2454.79
2746.65
2912.38
3125.50
2820.56
2599.43
1620.86
1810.24
1748.96
2318.39
1640.52
1620.86
1677.99
1812.50
1331.95
2710.65
2063.31
3315.49
1010.13
1198.45
873.89
2317.54
1508.88
2803.22
2402.60
1887.61
2205.01
3421.46
3227.74
2137.64
1620.86
1647.15
1647.15
1620.86
1670.23
1659.75
2517.39
1934.42
1261.87
1486.93
724.71
482.15
237.20
669.89
1134.25
948.45
996.06
2417.23
1215.64
1816.38
3025.46
2930.13
3114.66
1856.41
1620.86
1679.50
1620.86
1710.32
1635.32
1620.86
2041.64
1898.02
1045.02
2234.96
1625.47
1836.10
1455.52
2082.42
2051.53
1423.39
1978.60
2379.09
2594.87
2427.26
2385.15
3240.29
2910.51
2379.14
1633.66
1724.40
1620.86
1676.34
1688.03
1735.49
1620.86
1743.43
1880.33
2195.01
1764.30
829.66
1080.10
777.07
1512.33
3256.04
3481.51
3220.56
2062.94
2059.26
2276.02
3245.57
4011.01
3316.00
1620.86
1665.24
1721.90
1645.71
1620.86
1660.58
1673.01
1806.67
1351.26
1493.43
1727.69
1316.94
1105.25
2570.67
844.46
1184.45
664.33
1616.06
1530.52
2538.34
2312.15
3718.04
2544.88
2640.56
1620.86
1690.74
1715.41
1717.81
1652.87
1652.87
1692.63
2358.86
668.98
1439.64
869.41
684.75
513.77
1126.29
670.47
785.91
1536.25
1195.71
1955.32
2221.47
2885.18
3393.14
5110.26
2468.22
1620.86
1640.33
1696.84
1720.39
1620.86
1646.10
1713.39
1694.16
1763.90
2308.09
2116.67
1913.40
1248.42
1538.84
2047.36
1526.61
1045.37
1170.74
3824.77
1118.65
3048.72
2742.58
3195.80
2532.12
1620.86
2107.48
1702.33
1760.05
1651.04
1678.30
1746.19
2083.96
