Electricity demand in W
25.73
25.73
25.73
25.73
25.73
25.73
298.16
408.15
607.37
101.35
1338.00
25.73
25.73
25.73
25.73
25.73
1295.76
967.10
1288.82
1521.97
310.64
285.46
2633.28
2344.78
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
184.34
63.54
25.73
25.73
25.73
25.73
140.24
840.68
335.86
1027.56
1849.26
25.73
1961.26
550.81
519.03
1610.32
25.73
25.73
25.73
25.73
25.73
25.73
85.97
2309.09
447.29
1741.35
324.95
313.25
63.54
166.97
1202.90
101.35
1473.00
204.85
852.86
958.10
2790.44
508.82
194.29
1338.00
25.73
25.73
25.73
25.73
961.32
99.05
25.73
371.12
319.35
264.65
925.02
1418.00
376.70
2548.94
25.73
25.73
1513.06
679.02
338.82
2944.62
269.53
313.83
1619.59
1487.88
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
351.36
182.37
1456.47
101.35
219.45
1557.84
1013.81
63.54
982.25
1695.94
471.98
377.35
1684.64
371.84
471.60
1142.66
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
31.99
4168.01
389.37
1638.41
1994.99
397.29
502.32
1597.21
1658.97
1530.22
871.55
1724.41
334.15
2169.87
650.93
2739.58
25.73
25.73
25.73
25.73
25.73
25.73
25.73
63.54
63.54
63.54
1956.32
583.16
973.01
1504.71
433.30
262.84
1506.09
324.94
1668.99
403.01
280.01
532.49
1658.52
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
2869.06
255.81
1517.64
25.73
25.73
25.73
25.73
129.68
923.54
913.34
1512.87
337.38
370.15
1522.82
369.51
2417.12
25.73
25.73
25.73
25.73
25.73
25.73
25.73
1265.81
371.23
361.28
1375.81
104.95
1253.19
1183.31
459.18
289.30
358.27
627.06
3029.60
493.89
551.30
607.59
1856.04
1676.43
25.73
63.54
63.54
1338.00
25.73
25.73
25.73
1301.42
101.35
1375.81
25.73
743.36
177.96
227.52
1482.66
148.46
1411.24
325.23
1493.12
2488.67
316.86
777.87
1653.53
340.18
63.61
63.54
63.54
25.73
25.73
25.73
25.73
63.54
419.97
1468.76
25.73
25.73
25.73
25.73
25.73
25.73
129.36
281.88
1452.22
1618.37
1389.78
423.93
354.55
1585.12
25.73
25.73
25.73
25.73
25.73
25.73
25.73
236.28
2307.37
101.35
2105.08
25.73
25.73
157.48
266.00
353.05
1338.00
94.35
1259.61
1389.52
312.47
1588.22
319.12
233.24
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
198.15
63.54
63.54
25.73
135.01
179.84
234.98
1473.32
1277.34
2280.46
432.46
935.98
1589.21
1370.06
101.35
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
415.68
254.87
312.61
1488.04
222.28
370.09
930.94
386.92
580.88
2739.47
512.75
360.47
295.67
1819.37
25.73
101.35
194.29
1338.00
25.73
25.73
25.73
1411.21
348.06
323.47
25.73
223.23
207.19
2278.02
274.74
1456.30
251.45
328.26
200.64
892.61
1677.06
529.02
851.82
1664.26
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
159.09
298.08
258.11
1253.04
813.95
462.29
1338.00
127.57
769.35
1606.20
1679.76
770.81
306.32
1330.44
383.39
25.73
25.73
25.73
25.73
25.73
25.73
25.73
95.18
2296.84
373.62
1532.88
468.39
476.58
298.18
302.61
1496.94
1287.17
1484.75
1686.34
25.73
1244.92
827.30
730.23
1703.47
25.73
194.53
63.54
1338.00
25.73
25.73
25.73
144.02
373.61
101.35
262.20
1481.62
114.92
144.02
1731.82
139.91
1435.28
250.62
501.00
410.34
507.26
1582.63
227.76
439.04
25.73
25.73
25.73
25.73
25.73
151.20
101.35
194.29
1338.00
1104.85
63.54
25.73
25.73
25.73
25.73
143.94
1489.24
1688.80
628.65
25.73
840.24
390.96
402.17
1700.88
25.73
25.73
25.73
25.73
25.73
25.73
25.73
108.99
191.44
220.32
283.45
283.45
1980.97
101.35
169.74
1431.08
697.44
111.67
1416.50
385.73
1815.35
913.62
995.28
101.35
25.73
25.73
25.73
25.73
25.73
25.73
25.73
147.77
217.14
165.74
1478.01
312.34
238.93
775.74
2011.12
174.37
219.39
371.48
2518.42
395.98
1369.67
418.15
1663.37
426.81
25.73
991.55
101.35
1338.00
25.73
25.73
777.16
196.46
335.28
333.65
1609.75
164.94
171.14
1375.81
63.54
89.33
127.21
322.73
1651.15
2369.57
1063.74
509.88
661.28
1603.43
63.61
25.73
25.73
25.73
25.73
25.73
25.73
136.72
281.86
218.72
25.73
130.20
25.73
25.73
104.95
142.83
376.28
344.92
2110.02
1142.66
101.35
194.29
1525.85
25.73
25.73
25.73
25.73
25.73
161.00
63.54
156.49
1528.83
1440.24
362.26
1591.96
292.90
292.17
300.37
1446.77
186.87
2337.59
237.58
636.04
2729.12
381.78
643.98
2248.00
844.65
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
395.71
440.08
339.46
1480.95
539.54
1240.66
181.16
1635.74
25.73
206.49
972.40
695.81
616.03
635.87
2426.69
1142.66
25.73
25.73
25.73
25.73
25.73
25.73
25.73
342.45
1394.12
448.99
1502.41
63.54
25.73
25.73
25.73
95.65
133.46
321.11
1649.05
1484.63
423.80
787.70
2696.64
375.12
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
25.73
685.86
143.90
2489.03
1223.02
181.71
63.54
1338.00
25.73
71.99
1315.58
324.78
599.54
1538.31
275.49
230.08
57.49
235.53
25.73
25.73
25.73
25.73
25.73
140.84
63.54
156.49
109.46
109.46
1273.89
184.91
147.42
1459.54
147.27
260.72
