Drinking hot water in W
0.00
274.80
378.35
0.00
0.00
625.27
1879.79
1035.48
473.93
465.97
0.00
681.03
1676.68
446.05
776.61
302.68
796.52
1461.62
1449.67
2963.06
2815.71
2349.74
0.00
342.50
322.59
0.00
0.00
0.00
318.61
350.47
3508.68
1608.97
756.70
215.06
947.86
314.63
1425.77
238.96
0.00
0.00
657.13
2712.16
1541.27
4122.00
836.35
2246.19
0.00
0.00
230.99
0.00
0.00
0.00
0.00
0.00
1381.97
3098.47
326.57
442.07
633.24
995.65
1875.81
270.82
1135.04
1067.34
0.00
1907.67
2102.82
3006.87
1692.61
1704.56
0.00
0.00
0.00
0.00
0.00
0.00
0.00
398.26
1501.44
2102.82
995.65
0.00
0.00
473.93
2493.11
768.64
1441.71
736.78
1835.98
736.78
1413.83
2186.45
1449.67
1302.31
0.00
0.00
370.38
0.00
0.00
390.30
0.00
0.00
2975.01
3918.89
195.15
350.47
0.00
804.49
2210.35
358.44
290.73
370.38
0.00
0.00
967.77
1569.15
1812.09
1624.91
708.90
282.77
0.00
696.96
0.00
0.00
0.00
0.00
0.00
5069.86
1608.97
0.00
908.04
250.90
1091.24
238.96
1230.63
792.54
1457.64
410.21
362.42
250.90
577.48
2580.73
983.70
0.00
0.00
704.92
358.44
0.00
167.27
350.47
724.84
4388.84
3126.35
796.52
1039.46
0.00
358.44
1517.37
605.36
2791.81
720.85
266.83
0.00
912.02
2150.61
1425.77
2218.31
0.00
390.30
0.00
0.00
0.00
0.00
398.26
2823.67
1561.18
1354.09
238.96
0.00
653.15
1119.11
314.63
884.14
0.00
1023.53
517.74
2094.85
1095.22
517.74
2062.99
0.00
0.00
0.00
167.27
0.00
0.00
322.59
258.87
1648.80
3369.29
0.00
1143.01
744.75
545.62
1640.84
298.70
541.64
199.13
234.97
334.54
1935.55
2509.04
692.97
2345.76
234.97
0.00
0.00
0.00
0.00
0.00
0.00
0.00
4038.37
1469.58
716.87
0.00
856.26
0.00
1465.60
692.97
318.61
633.24
1071.32
561.55
1835.98
3158.21
2568.78
3094.49
274.80
438.09
0.00
230.99
0.00
461.98
0.00
0.00
1796.16
1800.14
0.00
621.29
346.49
892.10
2078.92
0.00
322.59
298.70
832.37
302.68
2927.22
1696.59
1672.70
1983.34
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
3229.90
2911.29
266.83
306.66
362.42
242.94
2007.24
0.00
0.00
1302.31
326.57
1453.65
1370.02
2206.37
1748.37
1557.20
0.00
0.00
0.00
0.00
609.34
302.68
0.00
358.44
322.59
3381.24
5858.42
904.05
294.71
876.17
1266.47
704.92
1150.97
3018.82
951.84
430.12
657.13
613.32
1075.31
1226.64
1449.67
0.00
338.52
975.74
0.00
593.41
0.00
0.00
338.52
5770.80
3297.60
1087.25
454.02
354.45
0.00
481.90
461.98
3321.50
1246.56
0.00
310.64
223.03
1111.15
653.15
1087.25
0.00
0.00
0.00
