Occupancy of persons
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
8.00
6.00
6.00
6.00
10.00
9.00
9.00
8.00
12.00
12.00
13.00
16.00
16.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
10.00
6.00
7.00
5.00
5.00
4.00
6.00
6.00
11.00
14.00
17.00
17.00
12.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
12.00
10.00
13.00
8.00
6.00
5.00
4.00
7.00
11.00
12.00
16.00
17.00
16.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
7.00
3.00
6.00
5.00
9.00
11.00
9.00
10.00
11.00
12.00
16.00
14.00
16.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
9.00
3.00
5.00
7.00
8.00
7.00
6.00
7.00
11.00
13.00
12.00
15.00
17.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
7.00
12.00
11.00
14.00
16.00
14.00
15.00
15.00
16.00
15.00
16.00
21.00
20.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
10.00
10.00
10.00
10.00
12.00
9.00
11.00
12.00
15.00
14.00
18.00
17.00
18.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
8.00
7.00
5.00
4.00
5.00
6.00
7.00
6.00
7.00
14.00
17.00
16.00
17.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
5.00
6.00
5.00
2.00
4.00
3.00
6.00
6.00
11.00
15.00
21.00
17.00
20.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
6.00
5.00
5.00
5.00
5.00
5.00
5.00
8.00
9.00
16.00
15.00
20.00
20.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
25.00
