id;building;year;retrofit;construction_type;night_setback;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV;ec_charging;consumption
55;MFH;1941;2;0;0;2785;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;421370.50000000006
56;MFH;2007;2;0;0;104;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;6032.0
57;MFH;1907;2;0;0;1925;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;253137.5
58;MFH;1954;2;0;0;2754;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;353725.3022
59;MFH;1947;2;0;0;438;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;102844.1045
60;MFH;2010;2;0;0;926;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;68061.0
61;MFH;1900;2;0;0;1316;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;173054.0
62;MFH;2012;2;0;0;1207;HP;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;132371.75
63;MFH;1959;2;0;0;3067;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;685430.6020666667
64;MFH;2019;2;0;0;1513;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;105818.860875
65;MFH;1992;2;0;0;9984;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;1079270.4
66;MFH;1910;2;0;0;1708;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;224602.0
67;MFH;2019;2;0;0;10402;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;629420.6325
68;MFH;1912;2;0;0;2137;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;200736.08255
69;MFH;1910;2;0;0;950;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;124925.0
70;MFH;2008;2;0;0;3892;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;268526.264
71;MFH;1930;2;0;0;5602;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;238677.34316666663
72;MFH;1964;2;0;0;2235;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;258142.5
73;MFH;1970;2;0;0;3085;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;196698.6331666667
74;MFH;1912;2;0;0;1900;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;249850.0
75;MFH;1957;2;0;0;2742;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;384702.60000000003
76;MFH;1957;2;0;0;1922;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;1865237.207966667
77;MFH;2011;2;0;0;7480;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;413827.33155
78;MFH;2005;2;0;0;2136;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;120181.23783333332
79;MFH;1995;2;0;0;2760;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;2578282.568666667
80;MFH;1910;2;0;0;1899;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;249718.5
81;MFH;1970;2;0;0;1100;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;89522.49633333333
82;MFH;1910;2;0;0;1906;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;188985.6367333333
83;MFH;1928;2;0;0;12317;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;464271.7806166666
84;MFH;1910;2;0;0;2393;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;314679.5
85;MFH;1908;2;0;0;1622;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;213293.0
86;MFH;1912;2;0;0;3167;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;381268.47159999993
87;MFH;1910;2;0;0;1951;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;256556.5
88;MFH;1907;2;0;0;1288;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;48388.256
89;MFH;1955;2;0;0;625;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;87687.5
90;MFH;1918;2;0;0;3601;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;473531.5
