id;building;year;retrofit;construction_type;night_setback;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV;ec_charging;consumption
0;MFH;1889;2;0;0;2735;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;551871.9422666666
1;MFH;1979;2;0;0;1112;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;264225.9468333333
2;MFH;1885;2;0;0;1176;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;244378.3688333333
3;MFH;1891;2;0;0;3138;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;676038.8616000001
4;MFH;1895;2;0;0;1551;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;318667.7171666666
5;MFH;1887;2;0;0;1108;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;194957.06666666665
6;MFH;1902;2;0;0;2431;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;262006.38959999997
7;MFH;1980;2;0;0;931;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;193624.12083333332
8;MFH;1886;2;0;0;2001;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;442345.6920666666
9;MFH;1916;2;0;0;1375;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;180812.5
10;MFH;1886;2;0;0;421;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;95628.23893333334
11;MFH;1903;2;0;0;1527;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;276068.7512
12;MFH;1904;2;0;0;4717;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;1149377.5765666666
13;MFH;1895;2;0;0;911;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;119796.5
14;MFH;1973;2;0;0;577;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;132661.2352
15;MFH;1958;2;0;0;1931;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;159846.13833333334
16;MFH;1979;2;0;0;911;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;176801.24949999998
17;MFH;1956;2;0;0;1126;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;89096.79566666666
18;MFH;1918;2;0;0;2548;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;335062.0
19;MFH;1909;2;0;0;1874;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;458217.7147666666
20;MFH;1900;2;0;0;308;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;40502.0
21;MFH;1902;2;0;0;1281;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;248617.25366666663
22;MFH;1890;2;0;0;974;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;92942.7616
23;MFH;1886;2;0;0;1785;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;171039.03300000002
24;MFH;1891;2;0;0;1454;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;293429.82413333334
25;MFH;1900;2;0;0;802;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;173294.0275666667
26;MFH;1973;2;0;0;814;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;97191.6
27;MFH;1900;2;0;0;790;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;147933.36786666667
28;MFH;1911;2;0;0;1360;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;1288982.041
29;MFH;1981;2;0;0;2195;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;456434.11066666665
30;MFH;1889;2;0;0;2819;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;601584.4131666665
31;MFH;1918;2;0;0;869;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;114273.5
32;MFH;1902;2;0;0;2609;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;441934.6513333333
33;MFH;1900;2;0;0;3318;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;436317.0
34;MFH;1979;2;0;0;960;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;199567.0431666666
35;MFH;1897;2;0;0;753;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;179044.8892
36;MFH;1983;2;0;0;2523;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;599287.5242999999
37;MFH;1891;2;0;0;919;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;120848.5
38;MFH;1888;2;0;0;888;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;211037.80426666667
39;MFH;1895;2;0;0;1300;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;170950.0
40;MFH;1900;2;0;0;3491;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;704423.4122333332
41;MFH;1889;2;0;0;2343;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;308104.5
42;MFH;1981;2;0;0;6109;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;1232693.3920999998
43;MFH;1990;2;0;0;2029;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;421608.2931666666
44;MFH;1979;2;0;0;1557;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;323647.17299999995
45;MFH;1893;2;0;0;2186;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;344627.7239333333
46;MFH;1920;2;0;0;1402;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;13755.5925
47;MFH;1978;2;0;0;2431;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;490646.6674666666
48;MFH;1983;2;0;0;3452;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;361769.6
49;MFH;1902;2;0;0;245;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;47540.264833333335
50;MFH;1981;2;0;0;1060;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;111088.0
51;MFH;1900;2;0;0;90;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;11835.0
52;MFH;1981;2;0;0;1223;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;128170.4
53;MFH;1973;2;0;0;667;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;79639.8
54;MFH;1891;2;0;0;2349;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;507265.7744666667
55;MFH;1918;2;0;0;1977;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;303197.2197333333
56;MFH;1895;2;0;0;1109;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;223773.32873333333
