id;building;year;retrofit;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV
0;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
1;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
2;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
3;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
4;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
5;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
6;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
7;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
8;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
9;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
10;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
11;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
12;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
13;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
14;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
15;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
16;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
17;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
18;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
19;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
20;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
21;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
22;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
23;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
24;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
25;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
26;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
27;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
28;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
29;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
30;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
31;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
32;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
33;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
34;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
35;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
36;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
37;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
38;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
39;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
