id;building;year;retrofit;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV
0;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
1;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
2;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
3;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
4;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
5;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
6;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
7;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
8;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
9;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
10;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
11;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
12;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
13;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
14;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
15;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
16;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
17;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
18;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
19;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
20;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
21;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
22;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
23;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
24;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
25;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
26;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
27;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
28;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
29;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
30;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
31;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
32;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
33;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
34;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
35;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
36;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
37;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
38;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
39;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
40;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
41;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
42;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
43;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
44;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
45;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
46;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
47;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
48;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
49;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
50;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
51;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
52;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
53;SFH;1978;2;173;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
54;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
55;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
56;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
57;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
58;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
59;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
60;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
61;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
62;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
63;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
64;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
65;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
66;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
67;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
68;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
69;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
70;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
71;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
72;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
73;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
74;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
75;MFH;1978;2;469;heat_grid;1;0;0;0;35;1;S;0.4;0.04;0
