Building_ID,Building_Type,Year_Of_Construction,retrofit_level,Net_Leased_Area,number_of_flats,number_of_occupants,Infiltration_Rate,T_set_min,T_set_max,T_bivalent,T_heatlimit,U_Value_Windows,U_Value_Walls,U_Value_Roof,U_Value_Floor,Window_Area_South,Window_Area_North,Window_Area_West,Window_Area_East,Window_Area_Roof,Wall_Area_South,Wall_Area_North,Wall_Area_West,Wall_Area_East,Wall_Area_Roof,Wall_Area_Floor,internal_wall_area
0,IWU Culture and Leisure,1980,1,187,,[125],0.5,21.0,24.0,-2.0,15.0,2.04,0.53,0.33,0.44,11.40021643475,11.40021643475,11.40021643475,11.40021643475,0.0,23.729312453,23.729312453,23.729312453,23.729312453,113.180854831,84.119708057,142.37587471799998
1,SFH,2022,1,187,1.0,[4],0.5,20.0,26.0,-2.0,15.0,1.0908802411837044,0.14695810489435882,0.11213755540129226,0.1493979332138456,10.50005,10.50005,10.50005,10.50005,0.0,122.844975,56.89475,122.844975,56.89475,129.359868,107.79989,539.2191750000001
