Zip	T_me	T_ne	Zone	Altitude	Latitude	Longitude
33611	10.2	-9.7	6	105	52.04868159999999	8.548692299999999
75196	10.5	-10.5	6	191	48.9346502	8.579352199999999
34497	8.4	-11.9	6	378	51.27461659999999	8.8579248
42659	10.4	-8.5	6	135	51.14611679999999	7.1220857
24805	9.0	-8.8	3	4	54.2256063	9.5184874
84030	8.8	-13.5	13	426	48.5929078	12.1275584
04603	9.4	-13.5	9	220	50.9828948	12.4845798
07751	9.9	-12.6	9	146	50.8753572	11.6205539
80539	10.2	-11.2	13	518	48.1447027	11.5821606
06721	9.2	-14.0	4	269	51.0798131	11.9302703
29394	9.3	-11.8	3	66	52.8083015	10.6651078
21360	9.4	-10.8	3	18	53.28263339999999	10.3438053
86748	8.8	-12.8	13	455	48.9253388	10.4656541
56283	9.5	-10.1	7	322	50.1586218	7.4879557
13465	9.7	-12.4	4	56	52.6324192	13.2880722
97828	9.3	-11.5	13	306	49.8444564	9.5719246
74360	10.1	-10.9	13	253	49.0600119	9.2559826
49584	10.0	-9.2	5	50	52.5079082	7.670191999999999
66978	9.4	-10.6	6	395	49.2602762	7.674636599999999
89195	8.7	-13.0	13	528	48.2954429	9.9824976
87730	7.6	-14.2	15	719	47.8716853	10.2402406
86495	8.4	-14.5	13	554	48.3352914	11.0831337
07427	8.3	-14.1	10	418	50.6454044	11.2013617
24869	9.1	-9.0	3	-1	54.4289651	9.3485116
78267	9.4	-10.3	13	514	47.8432211	8.8526869
53579	10.1	-9.3	5	224	50.5861868	7.236825700000001
67482	10.9	-9.8	12	127	49.2856935	8.211532199999999
48268	10.2	-9.1	5	48	52.0918867	7.652041299999999
79540	10.1	-10.2	12	391	47.6024396	7.659097499999999
94330	9.0	-13.8	13	331	48.8450742	12.619974
93449	7.8	-13.8	10	530	49.37832419999999	12.7058119
17248	9.1	-12.7	4	78	53.2920019	12.7461091
98559	6.2	-15.0	10	774	50.7063964	10.7258034
91058	9.5	-13.2	13	302	49.5613968	11.0043771
95369	8.3	-13.1	10	420	50.1327684	11.5258644
83233	8.6	-12.8	13	522	47.81905810000001	12.3776985
67310	10.3	-10.1	6	228	49.5372004	8.0769541
49393	9.8	-9.6	3	36	52.6505733	8.262597999999999
54578	8.3	-11.0	6	505	50.3052241	6.6969321
50677	11.4	-7.7	5	52	50.9200408	6.9533042
25867	9.3	-7.3	1	0		
78247	8.7	-11.3	13	639	47.7655126	8.777971599999999
33098	10.1	-9.6	6	140	51.7113515	8.754257599999999
74238	9.9	-11.1	13	296	49.3826269	9.6343848
24896	9.0	-9.0	3	4	54.524455	9.3279321
89129	8.9	-12.4	13	470	48.5060566	10.1092865
85129	8.8	-13.2	13	426	48.8282824	11.5933344
06406	9.6	-13.3	4	74	51.7804998	11.781959
56340	9.2	-10.2	7	371	50.23464250000001	7.671262700000001
76694	11.0	-10.0	12	112	49.1536427	8.5845395
66133	10.2	-9.5	6	227	49.2459115	7.0668599
49811	9.9	-9.1	3	52	52.5444308	7.3584
40625	11.1	-7.9	5	40	51.2358442	6.852315399999999
66265	10.1	-9.7	6	265	49.3499036	6.948682499999999
34396	9.1	-11.3	7	170	51.4972866	9.2814644
72829	7.9	-13.1	14	733	48.3872083	9.2905465
71394	10.3	-10.9	13	289	48.7894416	9.3346648
24855	9.0	-8.9	3	13	54.5568763	9.3982282
09577	9.1	-13.6	9	305	50.8633227	13.0154259
83071	8.8	-12.6	13	482	47.8601056	12.1838269
24989	9.0	-7.9	2	29	54.77923089999999	9.6799897
88416	8.3	-13.3	13	609	48.068223	9.9406056
88317	8.1	-13.7	13	617	47.88708099999999	10.067443
96172	9.1	-13.1	13	321	49.7551604	10.7767414
38159	9.7	-11.3	3	79	52.2583592	10.3626737
53619	10.2	-9.0	5	202	50.6216512	7.2286519
30880	9.8	-11.1	3	63	52.2812522	9.8482706
06258	9.8	-13.6	4	85	51.38975199999999	12.0528729
04838	9.7	-13.4	4	97	51.4869004	12.6411982
93499	7.7	-13.7	10	539	49.14627309999999	12.7222776
87662	7.7	-14.8	15	765	47.8893502	10.7532701
16548	9.8	-12.3	4	42	52.6299368	13.3273784
94145	6.5	-14.2	11	853	48.8255232	13.7767658
49632	9.9	-9.4	3	28	52.7157133	7.9407979
72119	9.6	-11.4	6	383	48.5605033	8.9722941
21684	9.2	-9.9	3	15	53.5652739	9.5091349
92367	7.8	-14.3	13	588	49.3281395	11.5434782
91330	9.2	-13.1	13	285	49.7846573	11.099593
91796	8.8	-13.6	13	473	49.0739408	11.0552892
83256	8.6	-12.8	13	515	47.89004389999999	12.4622373
84079	8.9	-13.5	13	436	48.5226346	11.9926998
57645	9.0	-10.1	6	372	50.675537	7.834824999999999
48431	10.5	-8.2	5	41	52.27155339999999	7.431114699999999
55257	10.7	-9.8	12	128	50.02428949999999	8.173988699999999
34323	8.8	-12.3	7	282	51.07544	9.5104508
01099	9.3	-14.0	4	253	51.0871884	13.8028038
89551	8.3	-12.8	14	602	48.7285526	10.1112206
31241	9.8	-11.1	3	75	52.2627117	10.193176
22149	9.6	-9.6	3	24	53.5898122	10.1693369
36124	8.7	-12.2	7	351	50.4712164	9.7141291
21706	9.3	-9.8	1	-2	53.7068002	9.3786001
25524	9.1	-9.7	1	38	53.93669670000001	9.5192039
70197	9.2	-11.8	12	469	48.7716577	9.1494571
04651	9.5	-13.5	4	173	51.1354419	12.6417913
04657	9.2	-13.8	9	247	51.01623	12.7169869
16827	9.3	-13.3	4	56	52.9843657	12.8708203
79694	9.0	-11.5	8	640	47.8129366	7.909313000000001
35794	8.8	-10.9	6	372	50.5465206	8.201441800000001
10997	10.3	-11.8	4	36	52.5004054	13.4334017
86706	9.1	-13.3	13	373	48.7110852	11.3251158
84088	8.6	-13.8	13	425	48.7318091	12.1607846
27336	9.8	-10.6	3	18	52.7850859	9.378944
30823	10.1	-10.8	3	47	52.4158598	9.5850152
14059	10.2	-11.8	4	39	52.5212611	13.2870699
24404	9.3	-6.8	0	-2	54.697122	10.0031293
94163	8.2	-12.6	10	518	48.7736375	13.3558458
76131	11.0	-10.1	12	125	49.0116951	8.4303821
97776	9.8	-11.0	13	198	50.0048529	9.824851
90449	10.0	-12.3	13	309	49.4243655	11.0098282
45529	10.0	-8.7	5	217	51.4050267	7.1393759
55774	8.9	-10.8	6	416	49.6412056	7.3639446
86663	9.1	-13.3	13	401	48.6885231	10.8250383
78661	8.8	-12.1	6	564	48.2057035	8.6460794
72415	8.8	-12.0	6	547	48.3320448	8.886119299999999
84434	8.5	-13.8	13	518	48.4053252	12.0482449
93483	8.8	-13.3	13	365	49.2367587	12.5554758
84333	8.7	-13.0	13	409	48.53429630000001	12.7441328
40489	10.8	-8.4	5	35	51.3305246	6.7625867
56220	10.4	-9.0	5	175	50.37287509999999	7.4604967
79418	10.4	-10.3	6	328	47.7596149	7.5975301
34270	8.2	-12.2	7	411	51.27897350000001	9.3613856
97840	9.5	-11.3	6	262	49.8682336	9.6034844
97778	9.1	-11.4	6	298	50.131611	9.5426606
28327	10.0	-8.8	3	3	53.0725631	8.9277404
73667	8.5	-12.7	13	559	48.9156635	9.6491962
30559	10.1	-10.8	3	72	52.3624123	9.8411816
22089	9.9	-9.2	3	16	53.56738060000001	10.0475077
24610	8.9	-9.8	3	39	54.0418554	10.1755383
34130	9.7	-10.6	7	215	51.3239504	9.4396634
91177	8.7	-13.6	13	463	49.0881926	11.2212889
90584	8.8	-13.8	13	424	49.23571339999999	11.2342036
09579	8.7	-13.7	10	367	50.7727755	13.1826447
41379	10.6	-8.6	5	71	51.2583557	6.1649406
41472	10.8	-8.2	5	53	51.1690416	6.6442567
44799	10.9	-7.9	5	146	51.452729	7.231304600000001
26919	9.7	-9.1	3	1	53.3184064	8.4522801
99976	8.8	-12.8	7	308	51.2562623	10.3591531
81677	9.0	-13.0	13	530	48.1365979	11.6307439
09306	9.3	-13.3	9	231	51.0447384	12.7905483
78652	8.7	-12.3	6	619	48.1119514	8.599936699999999
54486	10.2	-9.3	7	186	49.9070233	7.014203699999999
54614	8.9	-10.5	6	422	50.1584758	6.4593637
39218	9.8	-12.1	4	51	52.0091435	11.747048
97833	9.2	-11.5	6	284	50.0616125	9.384585
82402	8.3	-14.1	13	625	47.8139762	11.2735471
94474	9.1	-12.3	13	362	48.6187819	13.1748089
17454	9.0	-11.5	2	-4	54.0753339	13.9084665
92360	8.9	-13.6	13	424	49.17564429999999	11.4264509
73630	10.2	-11.1	13	292	48.8118534	9.432461
35398	9.7	-11.1	7	152	50.56156259999999	8.6404842
52385	9.9	-9.1	6	286	50.676347	6.4761942
56753	10.0	-9.5	6	212	50.2531155	7.3052432
27245	10.0	-10.3	3	46	52.56801960000001	8.8082741
78465	9.6	-9.8	13	493	47.7247566	9.1567227
74229	10.4	-10.6	13	206	49.2391418	9.2514674
26219	9.6	-9.6	3	5	53.00591069999999	7.954321599999999
31137	10.1	-10.8	3	76	52.1676714	9.9229728
24539	9.2	-9.2	3	19	54.0462788	9.9930497
87758	8.1	-13.8	13	628	47.90416339999999	10.156342
24211	8.9	-9.1	2	39	54.2240948	10.2988521
97274	9.4	-11.5	13	304	49.8615377	9.7988084
99996	8.5	-13.3	7	337	51.3003965	10.5743579
66459	9.9	-9.8	6	279	49.2953432	7.2551307
55483	8.9	-10.7	6	414	49.9380544	7.2676028
54344	10.3	-9.1	7	175	49.8017169	6.7212581
94315	9.5	-12.9	13	326	48.87033	12.5765189
29487	9.4	-11.7	4	27	52.9370099	11.0359408
82433	7.5	-14.2	15	750	47.6668311	11.0505781
02681	8.9	-14.3	10	258	51.0972443	14.3935792
51067	11.0	-8.2	5	47	50.9649145	7.039602299999999
55765	8.9	-10.7	6	416	49.6429337	7.173556899999999
55424	10.4	-9.5	12	154	49.941691	7.876486899999999
76779	11.0	-10.1	12	125	48.9821587	8.1394658
44263	10.8	-8.2	5	112	51.49074510000001	7.5079783
59067	10.7	-9.1	5	60	51.66302220000001	7.7868698
75446	9.4	-11.8	6	376	48.8865846	8.8777568
88441	8.5	-13.0	13	576	48.0745026	9.7517479
24366	9.1	-8.1	2	22	54.52247089999999	9.881873
73271	9.8	-11.2	6	359	48.6348177	9.5174801
19086	9.2	-11.5	4	55	53.5591845	11.4928682
24534	9.4	-8.8	3	25	54.07396800000001	9.9845763
83224	8.5	-12.8	13	538	47.7916318	12.4451192
23911	9.0	-11.2	3	48	53.6853945	10.8856583
04924	9.6	-13.4	4	87	51.53215369999999	13.3789452
09619	7.4	-14.7	10	574	50.7612417	13.4192075
17375	9.0	-13.3	2	0	53.7153729	14.1598146
45891	11.0	-8.1	5	49	51.5596768	7.0805146
44894	10.9	-8.1	5	102	51.49298169999999	7.3058408
96337	7.4	-14.3	10	567	50.4860051	11.3829163
