we;din_ha_kW_with_ww;din_strom_A_with_ww;din_fuse_A_with_ww;din_ha_kW_no_ww;din_strom_A_no_ww;din_fuse_A_no_ww
1;34;49;63;14.5;21;63
2;52;75;63;24;35;63
3;64;92;80;32;46;63
4;73;105;100;37;53;63
5;81;117;125;41;59;63
6;87;126;125;44;64;63
7;93;134;160;47;68;80
8;98;141;160;50;72;80
9;103;149;160;53;76;80
10;107;154;160;55;79;80
11;110;159;160;57;82;80
12;113;163;160;59;85;80
13;116;167;200;61;88;100
14;119;172;200;63;91;100
15;122;176;200;65;94;100
16;125;180;200;67;97;100
17;128;185;200;69;100;100
18;130;188;200;70;101;100
19;132;191;200;71;102;100
20;134;193;200;72;104;100
22;138;199;200;74;107;100
24;142;205;200;76;110;125
26;146;211;224;78;113;125
28;150;217;224;80;115;125
30;153;221;224;82;118;125
32;156;225;224;84;121;125
34;159;229;224;86;124;125
36;161;232;250;87;126;125
45;170;245;250;92;133;160
50;175;253;250;95;137;160
55;179;258;260;97;140;160
60;183;264;260;99;143;160
65;186;268;300;101;146;160
70;189;273;300;102;147;160
80;195;281;300;104;150;160
90;200;289;300;106;153;160
100;205;296;300;108;156;160
