district;Support_Year;from_network_total;to_network_total;from_main_grid_total;to_main_grid_total;from_grid_total;to_grid_total
ghd6;0;282.7473;0.0;3419.74727;0.0;3702.49457;0.0
ghd6;5;286.41161;0.0;3222.12206;0.0;3508.53366;0.0
ghd6;10;288.40564;0.0;3079.47448;0.0;3367.88012;0.0
ghd6;15;290.24612;0.0;2985.91495;0.0;3276.16107;0.0
ghd6;20;292.08213;0.0;2894.15314;0.0;3186.23526;0.0
mixed1;0;0.0;384.87823;792.35907;29.05646;792.35907;413.93469
mixed1;5;0.0;389.56505;701.80636;29.6021;701.80636;419.16715
mixed1;10;0.0;391.30881;656.42689;30.05957;656.42689;421.36838
mixed1;15;0.0;393.00014;616.15609;30.48542;616.15609;423.48556
mixed1;20;0.0;394.69519;575.91174;30.91273;575.91174;425.60791
residential2;0;77.94201;0.0;1025.78003;0.0;1103.72204;0.0
residential2;5;79.19685;0.0;906.03407;0.0;985.23092;0.0
residential2;10;79.1441;0.0;849.91772;0.0;929.06182;0.0
residential2;15;79.17997;0.0;800.13005;0.0;879.31002;0.0
residential2;20;79.22467;0.0;750.03541;0.0;829.26009;0.0
