Support_Year;Cluster;Timestep;total_demand;to_network;from_network;to_main_grid;from_main_grid;from_grid;to_grid;cluster_weight;from_grid_x_cluster_weight
0;0;0;147.77;0.0;0.0;0.0;147.77;147.77;0.0;5.0;738.85
0;0;1;499.781;0.0;0.0;0.0;499.781;499.781;0.0;5.0;2498.905
0;0;2;271.256;0.0;0.0;0.0;271.256;271.256;0.0;5.0;1356.2799999999997
0;0;3;412.00199999999995;0.0;0.0;0.0;412.002;412.002;0.0;5.0;2060.01
0;0;4;420.26;0.0;0.0;0.0;420.26;420.26;0.0;5.0;2101.3
0;0;5;425.257;0.0;0.0;0.0;425.257;425.257;0.0;5.0;2126.285
0;0;6;449.949;0.0;0.0;0.0;449.949;449.949;0.0;5.0;2249.745
0;0;7;705.361;0.0;0.0;0.0;705.361;705.361;0.0;5.0;3526.805
0;0;8;548.033;0.0;0.0;0.0;548.033;548.033;0.0;5.0;2740.165
0;0;9;94.31799999999998;0.0;0.0;0.0;94.318;94.318;0.0;5.0;471.59
0;0;10;8.798000000000059;0.0;0.0;0.0;8.798;8.798;0.0;5.0;43.99
0;0;11;218.676;0.0;0.0;0.0;218.676;218.676;0.0;5.0;1093.3799999999999
0;0;12;65.26099999999997;0.0;0.0;0.0;65.261;65.261;0.0;5.0;326.30499999999995
0;0;13;448.6959999999999;0.0;0.0;0.0;448.696;448.696;0.0;5.0;2243.48
0;0;14;242.328;0.0;0.0;0.0;242.328;242.328;0.0;5.0;1211.64
0;0;15;68.94400000000002;0.0;0.0;0.0;68.944;68.944;0.0;5.0;344.72
0;0;16;207.90500000000003;0.0;0.0;0.0;207.905;207.905;0.0;5.0;1039.525
0;0;17;484.128;0.0;0.0;0.0;484.128;484.128;0.0;5.0;2420.64
0;0;18;762.006;0.0;0.0;0.0;762.006;762.006;0.0;5.0;3810.0299999999997
0;0;19;444.103;0.0;0.0;0.0;444.103;444.103;0.0;5.0;2220.515
0;0;20;598.346;0.0;0.0;0.0;598.346;598.346;0.0;5.0;2991.73
0;0;21;543.397;0.0;0.0;0.0;543.397;543.397;0.0;5.0;2716.985
0;0;22;533.3399999999999;0.0;0.0;0.0;533.34;533.34;0.0;5.0;2666.7000000000003
0;0;23;526.419;0.0;0.0;0.0;526.419;526.419;0.0;5.0;2632.095
0;0;24;148.336;0.0;0.0;0.0;148.336;148.336;0.0;5.0;741.6800000000001
0;0;25;147.39;0.0;0.0;0.0;147.39;147.39;0.0;5.0;736.9499999999999
0;0;26;408.90099999999995;0.0;0.0;0.0;408.901;408.901;0.0;5.0;2044.505
0;0;27;506.068;0.0;0.0;0.0;506.068;506.068;0.0;5.0;2530.34
0;0;28;508.15;0.0;0.0;0.0;508.15;508.15;0.0;5.0;2540.75
0;0;29;513.585;0.0;0.0;0.0;513.585;513.585;0.0;5.0;2567.925
0;0;30;263.93899999999996;0.0;0.0;0.0;263.939;263.939;0.0;5.0;1319.6950000000002
0;0;31;744.896;0.0;0.0;0.0;744.896;744.896;0.0;5.0;3724.4799999999996
0;0;32;597.5930000000001;0.0;0.0;0.0;597.593;597.593;0.0;5.0;2987.9649999999997
0;0;33;188.714;0.0;0.0;0.0;188.714;188.714;0.0;5.0;943.5699999999999
0;0;34;5.684341886080802e-14;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
0;0;35;0.0010000000000331966;0.0;1.65e-05;0.0;0.0009835;0.001;0.0;5.0;0.005
0;0;36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
0;0;37;-238.149;121.4010533;0.0;116.7479467;0.0;0.0;238.149;5.0;0.0
0;0;38;-344.279;135.2144041;0.0;209.0645959;0.0;0.0;344.279;5.0;0.0
0;0;39;-177.264;132.2388668;0.0;45.0251332;0.0;0.0;177.264;5.0;0.0
