Support_Year;Cluster;Timestep;total_demand;to_network;from_network;to_main_grid;from_main_grid;from_grid;to_grid;cluster_weight;from_grid_x_cluster_weight
0;0;0;135.324;0.0;6.62784;0.0;128.69616;135.324;0.0;5.0;676.6200000000001
0;0;1;188.462;0.0;0.0;0.0;188.462;188.462;0.0;5.0;942.31
0;0;2;9.868;0.0;0.94114;0.0;8.92686;9.868;0.0;5.0;49.34
0;0;3;137.73;0.0;0.0;0.0;137.73;137.73;0.0;5.0;688.65
0;0;4;188.25099999999998;0.0;0.0;0.0;188.251;188.251;0.0;5.0;941.255
0;0;5;193.008;0.0;0.0;0.0;193.008;193.008;0.0;5.0;965.0400000000001
0;0;6;193.788;0.0;0.0;0.0;193.788;193.788;0.0;5.0;968.94
0;0;7;215.98600000000002;0.0;0.0;0.0;215.986;215.986;0.0;5.0;1079.9299999999998
0;0;8;198.51;0.0;0.0;0.0;198.51;198.51;0.0;5.0;992.55
0;0;9;185.187;0.0;0.0;0.0;185.187;185.187;0.0;5.0;925.9350000000001
0;0;10;155.60500000000002;0.0;0.0;0.0;155.605;155.605;0.0;5.0;778.025
0;0;11;144.764;0.0;0.0;0.0;144.764;144.764;0.0;5.0;723.82
0;0;12;139.147;0.0;0.0;0.0;139.147;139.147;0.0;5.0;695.7349999999999
0;0;13;125.484;0.0;0.0;0.0;125.484;125.484;0.0;5.0;627.42
0;0;14;198.405;0.0;0.0;0.0;198.405;198.405;0.0;5.0;992.025
0;0;15;149.28699999999998;0.0;0.0;0.0;149.287;149.287;0.0;5.0;746.4350000000001
0;0;16;189.824;0.0;0.0;0.0;189.824;189.824;0.0;5.0;949.1200000000001
0;0;17;56.5;0.0;0.0;0.0;56.5;56.5;0.0;5.0;282.5
0;0;18;217.98499999999999;0.0;0.0;0.0;217.985;217.985;0.0;5.0;1089.9250000000002
0;0;19;132.935;0.0;21.02756;0.0;111.90744;132.935;0.0;5.0;664.675
0;0;20;233.57;0.0;0.0;0.0;233.57;233.57;0.0;5.0;1167.85
0;0;21;179.397;0.0;0.0;0.0;179.397;179.397;0.0;5.0;896.9849999999999
0;0;22;180.119;0.0;0.0;0.0;180.119;180.119;0.0;5.0;900.595
0;0;23;36.401;0.0;0.0;0.0;36.401;36.401;0.0;5.0;182.00500000000002
