district;year;co2_base;grid_ef;from_network_total;deduction;co2_rebalanced
residential2;0;1565.0;0.328;112.795947;36.997071;1528.002929
residential2;5;436.0;0.103;117.100153;12.061316;423.938684
residential2;10;191.0;0.049;118.678633;5.815253;185.184747
residential2;15;98.0;0.027;118.927819;3.211051;94.788949
residential2;20;0.0;0.0;133.130264;0.0;0.0
residential0;0;1237.0;0.328;0.0;0.0;1237.0
residential0;5;336.0;0.103;0.0;0.0;336.0
residential0;10;148.0;0.049;0.0;0.0;148.0
residential0;15;76.0;0.027;0.0;0.0;76.0
residential0;20;0.0;0.0;0.0;0.0;0.0
residential3;0;2302.0;0.328;199.328251;65.379666;2236.620334
residential3;5;639.0;0.103;204.804684;21.094882;617.905118
residential3;10;288.0;0.049;208.621493;10.222453;277.777547
residential3;15;150.0;0.027;208.902859;5.640377;144.359623
residential3;20;0.0;0.0;231.125836;0.0;0.0
