scenario;category;metric;device;year;value;unit
rural;heat_by_year;heat_kW;BBOI;5;0;kW
rural;heat_by_year;heat_gen;WCHP;5;0.0;kWh
rural;heat_by_year;heat_kW;WCHP;5;0;kW
rural;heat_by_year;heat_gen;WBOI;5;0.0;kWh
rural;heat_by_year;heat_kW;WBOI;5;0;kW
rural;heat_by_year;heat_gen;FC;5;0.0;kWh
rural;heat_by_year;heat_kW;FC;5;0;kW
rural;heat_by_year;heat_gen;STC;10;308070.570204073;kWh
rural;heat_by_year;heat_kW;STC;10;410;kW
rural;heat_by_year;heat_gen;HP;10;1068277.8721999351;kWh
rural;heat_by_year;heat_kW;HP;10;303;kW
rural;heat_by_year;heat_gen;EB;10;0.0;kWh
rural;heat_by_year;heat_kW;EB;10;0;kW
rural;heat_by_year;heat_gen;AC;10;0.0;kWh
rural;heat_by_year;heat_kW;AC;10;0;kW
rural;heat_by_year;heat_gen;CHP;10;0.0;kWh
rural;heat_by_year;heat_kW;CHP;10;0;kW
rural;heat_by_year;heat_gen;BOI;10;0.0;kWh
rural;heat_by_year;heat_kW;BOI;10;0;kW
rural;heat_by_year;heat_gen;GHP;10;0.0;kWh
rural;heat_by_year;heat_kW;GHP;10;0;kW
rural;heat_by_year;heat_gen;BCHP;10;458782.8141346709;kWh
rural;heat_by_year;heat_kW;BCHP;10;144;kW
rural;heat_by_year;heat_gen;BBOI;10;0.0;kWh
rural;heat_by_year;heat_kW;BBOI;10;0;kW
rural;heat_by_year;heat_gen;WCHP;10;0.0;kWh
rural;heat_by_year;heat_kW;WCHP;10;0;kW
rural;heat_by_year;heat_gen;WBOI;10;0.0;kWh
rural;heat_by_year;heat_kW;WBOI;10;0;kW
rural;heat_by_year;heat_gen;FC;10;0.0;kWh
rural;heat_by_year;heat_kW;FC;10;0;kW
rural;heat_by_year;heat_gen;STC;15;308070.5702040728;kWh
rural;heat_by_year;heat_kW;STC;15;410;kW
rural;heat_by_year;heat_gen;HP;15;1068277.8721999356;kWh
rural;heat_by_year;heat_kW;HP;15;303;kW
rural;heat_by_year;heat_gen;EB;15;0.0;kWh
rural;heat_by_year;heat_kW;EB;15;0;kW
rural;heat_by_year;heat_gen;AC;15;0.0;kWh
rural;heat_by_year;heat_kW;AC;15;0;kW
rural;heat_by_year;heat_gen;CHP;15;0.0;kWh
rural;heat_by_year;heat_kW;CHP;15;0;kW
rural;heat_by_year;heat_gen;BOI;15;0.0;kWh
rural;heat_by_year;heat_kW;BOI;15;0;kW
rural;heat_by_year;heat_gen;GHP;15;0.0;kWh
rural;heat_by_year;heat_kW;GHP;15;0;kW
rural;heat_by_year;heat_gen;BCHP;15;458782.81413467147;kWh
rural;heat_by_year;heat_kW;BCHP;15;144;kW
rural;heat_by_year;heat_gen;BBOI;15;0.0;kWh
rural;heat_by_year;heat_kW;BBOI;15;0;kW
rural;heat_by_year;heat_gen;WCHP;15;0.0;kWh
rural;heat_by_year;heat_kW;WCHP;15;0;kW
rural;heat_by_year;heat_gen;WBOI;15;0.0;kWh
rural;heat_by_year;heat_kW;WBOI;15;0;kW
rural;heat_by_year;heat_gen;FC;15;0.0;kWh
rural;heat_by_year;heat_kW;FC;15;0;kW
rural;heat_by_year;heat_gen;STC;19;305707.86027106363;kWh
rural;heat_by_year;heat_kW;STC;19;410;kW
rural;heat_by_year;heat_gen;HP;19;1254248.954974256;kWh
rural;heat_by_year;heat_kW;HP;19;303;kW
rural;heat_by_year;heat_gen;EB;19;0.0;kWh
rural;heat_by_year;heat_kW;EB;19;0;kW
rural;heat_by_year;heat_gen;AC;19;0.0;kWh
rural;heat_by_year;heat_kW;AC;19;0;kW
rural;heat_by_year;heat_gen;CHP;19;0.0;kWh
rural;heat_by_year;heat_kW;CHP;19;0;kW
rural;heat_by_year;heat_gen;BOI;19;0.0;kWh
rural;heat_by_year;heat_kW;BOI;19;0;kW
rural;heat_by_year;heat_gen;GHP;19;0.0;kWh
rural;heat_by_year;heat_kW;GHP;19;0;kW
rural;heat_by_year;heat_gen;BCHP;19;275286.4968079953;kWh
rural;heat_by_year;heat_kW;BCHP;19;144;kW
rural;heat_by_year;heat_gen;BBOI;19;0.0;kWh
rural;heat_by_year;heat_kW;BBOI;19;0;kW
rural;heat_by_year;heat_gen;WCHP;19;0.0;kWh
rural;heat_by_year;heat_kW;WCHP;19;0;kW
rural;heat_by_year;heat_gen;WBOI;19;0.0;kWh
rural;heat_by_year;heat_kW;WBOI;19;0;kW
rural;heat_by_year;heat_gen;FC;19;0.0;kWh
rural;heat_by_year;heat_kW;FC;19;0;kW
rural;peak;peak_heat_uncl;;;858.3202360266681;kW
rural;peak;peak_power_uncl;;;134.01033983116048;kW
rural;peak;peak_heat_cl;;;567.6872931242839;kW
rural;peak;peak_power_cl;;;133.34116076254742;kW
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;0;308070.57;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;0;1068277.872;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;0;458782.814;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;0;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;5;308070.57;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;5;1068277.872;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;5;458782.814;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;5;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;10;308070.57;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;10;1068277.872;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;10;0.0;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;10;458782.814;kWh
rural;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;10;0.0;kWh
