district;Support_Year;Cluster;Timestep;total_demand;to_network;from_network;to_main_grid
ghd6;0;0;53;96.09;0.0;0.0;0.0
ghd6;0;0;54;101.66;0.0;0.0;0.0
ghd6;0;0;55;127.543;0.0;0.0;0.0
ghd6;0;0;56;124.457;0.0;0.0;0.0
ghd6;0;0;57;114.363;0.0;0.0;0.0
ghd6;0;0;58;104.613;0.0;0.0;0.0
ghd6;0;0;59;95.178;0.0;0.0;0.0
ghd6;0;0;60;262.671;0.0;0.0;0.0
ghd6;0;0;61;0.0;0.0;0.0;0.0
ghd6;0;0;62;0.0;0.0;0.0;0.0
ghd6;0;0;63;91.885;0.0;0.0;0.0
ghd6;0;0;64;69.209;0.0;2.146;0.0
ghd6;0;0;65;60.161;0.0;0.0;0.0
ghd6;0;0;66;69.999;0.0;0.0;0.0
ghd6;0;0;67;311.536;0.0;0.0;0.0
ghd6;0;0;68;294.687;0.0;0.0;0.0
ghd6;0;0;69;294.687;0.0;0.0;0.0
ghd6;0;0;70;299.117;0.0;0.0;0.0
ghd6;0;0;71;314.2;0.0;0.0;0.0
ghd6;0;0;72;0.0;0.0;0.0;0.0
ghd6;0;0;73;0.0;0.0;0.0;0.0
ghd6;0;0;74;0.0;0.0;0.0;0.0
ghd6;0;0;75;0.0;0.0;0.0;0.0
ghd6;0;0;76;0.0;0.0;0.0;0.0
ghd6;0;0;77;0.0;0.0;0.0;0.0
ghd6;0;0;78;0.0;0.0;0.0;0.0
ghd6;0;0;79;0.0;0.0;0.0;0.0
ghd6;0;0;80;0.0;0.0;0.0;0.0
ghd6;0;0;81;157.381;0.0;0.0;0.0
ghd6;0;0;82;355.965;0.0;0.0;0.0
ghd6;0;0;83;356.047;0.0;0.0;0.0
ghd6;0;0;84;357.833;0.0;0.0;0.0
ghd6;0;0;85;357.833;0.0;0.0;0.0
ghd6;0;0;86;358.726;0.0;0.0;0.0
ghd6;0;0;87;350.692;0.0;0.0;0.0
ghd6;0;0;88;350.692;0.0;0.0;0.0
ghd6;0;0;89;355.154;0.0;0.0;0.0
ghd6;0;0;90;361.406;0.0;0.0;0.0
ghd6;0;0;91;363.193;0.0;0.0;0.0
ghd6;0;0;92;364.981;0.0;0.0;0.0
ghd6;0;0;93;369.452;0.0;0.0;0.0
ghd6;0;0;94;370.347;0.0;0.0;0.0
ghd6;0;0;95;370.347;0.0;0.0;0.0
ghd6;0;0;96;373.031;0.0;0.0;0.0
ghd6;0;0;97;376.613;0.0;0.0;0.0
ghd6;0;0;98;378.404;0.0;0.0;0.0
ghd6;0;0;99;381.092;0.0;0.0;0.0
ghd6;0;0;100;381.092;0.0;0.0;0.0
ghd6;0;0;101;381.092;0.0;0.0;0.0
ghd6;0;0;102;379.3;0.0;0.0;0.0
ghd6;0;0;103;380.195;0.0;0.0;0.0
ghd6;0;0;104;377.508;0.0;0.0;0.0
ghd6;0;0;105;554.521;0.0;0.0;0.0
ghd6;0;0;106;650.541;0.0;0.0;0.0
ghd6;0;0;107;607.956;0.0;0.0;0.0
ghd6;0;0;108;527.301;0.0;0.0;0.0
ghd6;0;0;109;421.881;0.0;0.0;0.0
ghd6;0;0;110;382.98;0.0;0.0;0.0
ghd6;0;0;111;348.907;0.0;0.0;0.0
ghd6;0;0;112;349.799;0.0;0.0;0.0
ghd6;0;0;113;360.512;0.0;0.0;0.0
ghd6;0;0;114;364.087;0.0;0.0;0.0
ghd6;0;0;115;373.031;0.0;0.0;0.0
ghd6;0;0;116;380.195;0.0;0.0;0.0
ghd6;0;0;117;554.883;0.0;0.0;0.0
ghd6;0;0;118;547.638;0.0;0.0;0.0
ghd6;0;0;119;555.523;0.0;0.0;0.0
ghd6;0;0;120;597.314;0.0;0.0;0.0
ghd6;0;0;121;591.276;0.0;0.0;0.0
ghd6;0;0;122;595.466;0.0;0.0;0.0
ghd6;0;0;123;614.171;0.0;0.0;0.0
ghd6;0;0;124;616.066;0.0;0.0;0.0
ghd6;0;0;125;618.889;0.0;0.0;0.0
ghd6;0;0;126;654.733;0.0;0.0;0.0
ghd6;0;0;127;490.765;0.0;0.0;0.0
ghd6;0;0;128;391.148;0.0;0.0;0.0
ghd6;0;0;129;393.911;0.0;0.0;0.0
ghd6;0;0;130;374.822;0.0;0.0;0.0
ghd6;0;0;131;375.717;0.0;0.0;0.0
ghd6;0;0;132;379.3;0.0;0.0;0.0
ghd6;0;0;133;372.137;0.0;0.0;0.0
ghd6;0;0;134;367.663;0.0;0.0;0.0
ghd6;0;0;135;357.833;0.0;0.0;0.0
ghd6;0;0;136;359.619;0.0;0.0;0.0
ghd6;0;0;137;361.406;0.0;0.0;0.0
ghd6;0;0;138;369.452;0.0;0.0;0.0
ghd6;0;0;139;373.927;0.0;0.0;0.0
ghd6;0;0;140;378.404;0.0;0.0;0.0
ghd6;0;0;141;383.78;0.0;0.0;0.0
ghd6;0;0;142;390.059;0.0;0.0;0.0
ghd6;0;0;143;391.853;0.0;0.0;0.0
ghd6;0;0;144;391.853;0.0;0.0;0.0
ghd6;0;0;145;399.038;0.0;0.0;0.0
ghd6;0;0;146;398.139;0.0;0.0;0.0
ghd6;0;0;147;405.331;0.0;0.0;0.0
ghd6;0;0;148;408.03;0.0;0.0;0.0
ghd6;0;0;149;410.73;0.0;0.0;0.0
ghd6;0;0;150;430.593;0.0;0.0;0.0
ghd6;0;0;151;648.789;0.0;0.0;0.0
ghd6;0;0;152;582.841;0.0;0.0;0.0
ghd6;0;0;153;514.978;0.0;0.0;0.0
ghd6;0;0;154;398.139;0.0;0.0;0.0
ghd6;0;0;155;386.47;0.0;0.0;0.0
ghd6;0;0;156;381.092;0.0;0.0;0.0
ghd6;0;0;157;375.717;0.0;0.0;0.0
ghd6;0;0;158;381.092;0.0;0.0;0.0
ghd6;0;0;159;380.195;0.0;0.0;0.0
ghd6;0;0;160;390.956;0.0;0.0;0.0
ghd6;0;0;161;393.649;0.0;0.0;0.0
ghd6;0;0;162;393.649;0.0;0.0;0.0
ghd6;0;0;163;402.633;0.0;0.0;0.0
ghd6;0;0;164;532.12;0.0;0.0;0.0
ghd6;0;0;165;692.725;0.0;0.0;0.0
ghd6;0;0;166;697.229;0.0;0.0;0.0
ghd6;0;0;167;690.924;0.0;0.0;0.0
ghd6;0;1;0;0.0;0.0;0.0;0.0
ghd6;0;1;1;0.0;0.0;0.0;0.0
ghd6;0;1;2;0.0;0.0;0.0;0.0
ghd6;0;1;3;0.0;0.0;0.0;0.0
ghd6;0;1;4;0.0;0.0;0.0;0.0
ghd6;0;1;5;0.0;0.0;0.0;0.0
ghd6;0;1;6;0.0;0.0;0.0;0.0
ghd6;0;1;7;0.0;0.0;0.0;0.0
ghd6;0;1;8;0.0;0.0;0.0;0.0
ghd6;0;1;9;0.0;0.0;0.0;0.0
ghd6;0;1;10;0.0;0.0;0.0;0.0
ghd6;0;1;11;0.0;0.0;0.0;0.0
ghd6;0;1;12;0.0;0.0;0.0;0.0
ghd6;0;1;13;0.0;0.0;0.0;0.0
ghd6;0;1;14;0.0;0.0;0.0;0.0
ghd6;0;1;15;0.0;0.0;0.0;0.0
ghd6;0;1;16;0.0;0.0;0.0;0.0
ghd6;0;1;17;0.0;0.0;0.0;0.0
ghd6;0;1;18;54.531;0.0;0.0;0.0
ghd6;0;1;19;0.0;0.0;0.0;0.0
ghd6;0;1;20;0.0;0.0;0.0;0.0
ghd6;0;1;21;0.0;0.0;0.0;0.0
ghd6;0;1;22;0.0;0.0;0.0;0.0
ghd6;0;1;23;0.0;0.0;0.0;0.0
ghd6;0;1;24;6.026;0.0;0.0;0.0
ghd6;0;1;25;6.304;0.0;0.0;0.0
ghd6;0;1;26;6.165;0.0;0.0;0.0
ghd6;0;1;27;5.911;0.0;0.0;0.0
ghd6;0;1;28;7.581;0.0;0.0;0.0
ghd6;0;1;29;19.099;0.0;0.0;0.0
ghd6;0;1;30;0.0;0.0;0.0;0.0
ghd6;0;1;31;12.708;0.0;0.0;0.0
ghd6;0;1;32;0.0;0.0;10.286;0.0
ghd6;0;1;33;0.0;0.0;11.802;0.0
ghd6;0;1;34;0.0;0.0;14.175;0.0
ghd6;0;1;35;0.0;0.0;12.522;0.0
ghd6;0;1;36;0.0;0.0;12.134;0.0
ghd6;0;1;37;0.0;0.0;9.585;0.0
ghd6;0;1;38;0.0;0.0;10.756;0.0
ghd6;0;1;39;0.0;0.0;22.326;0.0
ghd6;0;1;40;0.0;0.0;0.0;0.0
ghd6;0;1;41;122.064;0.0;22.099;0.0
ghd6;0;1;42;0.0;0.0;0.0;0.0
ghd6;0;1;43;0.0;0.0;0.0;0.0
ghd6;0;1;44;0.0;0.0;0.0;0.0
ghd6;0;1;45;0.0;0.0;0.0;0.0
ghd6;0;1;46;0.0;0.0;0.0;0.0
ghd6;0;1;47;0.0;0.0;0.0;0.0
ghd6;0;1;48;0.0;0.0;0.0;0.0
ghd6;0;1;49;0.0;0.0;0.0;0.0
ghd6;0;1;50;0.0;0.0;0.0;0.0
ghd6;0;1;51;0.0;0.0;0.0;0.0
ghd6;0;1;52;0.0;0.0;0.0;0.0
ghd6;0;1;53;0.0;0.0;0.0;0.0
ghd6;0;1;54;0.0;0.0;0.0;0.0
ghd6;0;1;55;0.0;0.0;0.0;0.0
ghd6;0;1;56;0.0;0.0;0.0;0.0
ghd6;0;1;57;0.0;0.0;0.0;0.0
ghd6;0;1;58;0.0;0.0;9.496;0.0
ghd6;0;1;59;0.0;0.0;9.874;0.0
ghd6;0;1;60;0.0;0.0;9.001;0.0
ghd6;0;1;61;0.0;0.0;9.196;0.0
ghd6;0;1;62;0.0;0.0;8.449;0.0
ghd6;0;1;63;157.729;0.0;0.0;0.0
ghd6;0;1;64;0.0;0.0;0.0;0.0
ghd6;0;1;65;0.0;0.0;0.0;0.0
ghd6;0;1;66;0.0;0.0;0.0;0.0
ghd6;0;1;67;0.0;0.0;0.0;0.0
ghd6;0;1;68;0.0;0.0;0.0;0.0
ghd6;0;1;69;0.0;0.0;0.0;0.0
ghd6;0;1;70;0.0;0.0;0.0;0.0
ghd6;0;1;71;0.0;0.0;0.0;0.0
ghd6;0;1;72;0.0;0.0;0.0;0.0
ghd6;0;1;73;0.0;0.0;0.0;0.0
ghd6;0;1;74;0.0;0.0;0.0;0.0
ghd6;0;1;75;0.0;0.0;0.0;0.0
ghd6;0;1;76;0.0;0.0;0.0;0.0
ghd6;0;1;77;0.0;0.0;0.0;0.0
ghd6;0;1;78;0.0;0.0;0.0;0.0
ghd6;0;1;79;0.0;0.0;0.0;0.0
ghd6;0;1;80;0.0;0.0;0.0;0.0
ghd6;0;1;81;0.0;0.0;10.707;0.0
ghd6;0;1;82;0.0;0.0;8.523;0.0
ghd6;0;1;83;0.0;0.0;10.78;0.0
ghd6;0;1;84;0.0;0.0;10.167;0.0
ghd6;0;1;85;0.0;0.0;8.83;0.0
ghd6;0;1;86;0.0;0.0;8.64;0.0
ghd6;0;1;87;0.0;0.0;159.589;0.0
ghd6;0;1;88;0.0;0.0;0.0;0.0
ghd6;0;1;89;0.0;0.0;0.0;0.0
ghd6;0;1;90;0.0;0.0;0.0;0.0
ghd6;0;1;91;0.0;0.0;0.0;0.0
ghd6;0;1;92;0.0;0.0;0.0;0.0
ghd6;0;1;93;0.0;0.0;0.0;0.0
ghd6;0;1;94;0.0;0.0;0.0;0.0
ghd6;0;1;95;0.0;0.0;0.0;0.0
ghd6;0;1;96;0.0;0.0;0.0;0.0
ghd6;0;1;97;0.0;0.0;0.0;0.0
ghd6;0;1;98;0.0;0.0;0.0;0.0
ghd6;0;1;99;0.0;0.0;0.0;0.0
ghd6;0;1;100;0.0;0.0;0.0;0.0
ghd6;0;1;101;0.0;0.0;0.0;0.0
ghd6;0;1;102;0.0;0.0;0.0;0.0
ghd6;0;1;103;0.0;0.0;0.0;0.0
ghd6;0;1;104;0.0;0.0;0.0;0.0
ghd6;0;1;105;0.0;0.0;12.954;0.0
ghd6;0;1;106;0.0;0.0;17.236;0.0
ghd6;0;1;107;0.0;0.0;13.359;0.0
ghd6;0;1;108;0.0;0.0;13.244;0.0
ghd6;0;1;109;0.0;0.0;11.921;0.0
ghd6;0;1;110;0.0;0.0;10.557;0.0
ghd6;0;1;111;0.0;0.0;12.51;0.0
ghd6;0;1;112;0.0;0.0;11.304;0.0
ghd6;0;1;113;139.614;0.0;0.0;0.0
ghd6;0;1;114;0.0;0.0;0.0;0.0
ghd6;0;1;115;0.0;0.0;0.0;0.0
ghd6;0;1;116;0.0;0.0;0.0;0.0
ghd6;0;1;117;0.0;0.0;0.0;0.0
ghd6;0;1;118;0.0;0.0;0.0;0.0
ghd6;0;1;119;0.0;0.0;0.0;0.0
ghd6;0;1;120;0.0;0.0;0.0;0.0
ghd6;0;1;121;0.0;0.0;0.0;0.0
ghd6;0;1;122;0.0;0.0;0.0;0.0
ghd6;0;1;123;0.0;0.0;0.0;0.0
ghd6;0;1;124;0.0;0.0;0.0;0.0
ghd6;0;1;125;0.0;0.0;0.0;0.0
ghd6;0;1;126;0.0;0.0;0.0;0.0
ghd6;0;1;127;0.0;0.0;0.0;0.0
ghd6;0;1;128;0.0;0.0;0.0;0.0
ghd6;0;1;129;0.0;0.0;14.677;0.0
ghd6;0;1;130;0.0;0.0;14.852;0.0
ghd6;0;1;131;0.0;0.0;12.151;0.0
ghd6;0;1;132;0.0;0.0;13.121;0.0
ghd6;0;1;133;0.0;0.0;11.091;0.0
ghd6;0;1;134;0.0;0.0;11.179;0.0
ghd6;0;1;135;0.0;0.0;11.795;0.0
ghd6;0;1;136;0.0;0.0;10.305;0.0
ghd6;0;1;137;113.894;0.0;22.962;0.0
ghd6;0;1;138;0.0;0.0;0.0;0.0
ghd6;0;1;139;0.0;0.0;0.0;0.0
ghd6;0;1;140;0.0;0.0;0.0;0.0
ghd6;0;1;141;0.0;0.0;0.0;0.0
ghd6;0;1;142;0.0;0.0;0.0;0.0
ghd6;0;1;143;0.0;0.0;0.0;0.0
ghd6;0;1;144;0.0;0.0;0.0;0.0
ghd6;0;1;145;0.0;0.0;0.0;0.0
ghd6;0;1;146;0.0;0.0;0.0;0.0
ghd6;0;1;147;0.0;0.0;0.0;0.0
ghd6;0;1;148;0.0;0.0;0.0;0.0
ghd6;0;1;149;0.0;0.0;0.0;0.0
ghd6;0;1;150;0.0;0.0;0.0;0.0
ghd6;0;1;151;0.0;0.0;0.0;0.0
ghd6;0;1;152;0.0;0.0;0.0;0.0
ghd6;0;1;153;0.0;0.0;14.259;0.0
ghd6;0;1;154;0.0;0.0;14.524;0.0
ghd6;0;1;155;0.0;0.0;12.974;0.0
ghd6;0;1;156;0.0;0.0;14.247;0.0
ghd6;0;1;157;0.0;0.0;11.114;0.0
ghd6;0;1;158;0.0;0.0;11.654;0.0
ghd6;0;1;159;106.3;0.0;89.15;0.0
ghd6;0;1;160;0.0;0.0;0.0;0.0
ghd6;0;1;161;73.706;0.0;20.339;0.0
ghd6;0;1;162;0.0;0.0;0.0;0.0
ghd6;0;1;163;0.0;0.0;0.0;0.0
ghd6;0;1;164;0.0;0.0;0.0;0.0
ghd6;0;1;165;0.0;0.0;0.0;0.0
ghd6;0;1;166;0.0;0.0;0.0;0.0
ghd6;0;1;167;0.0;0.0;0.0;0.0
ghd6;0;2;0;328.42;0.0;0.0;0.0
ghd6;0;2;1;335.54;0.0;0.0;0.0
ghd6;0;2;2;340.884;0.0;0.0;0.0
ghd6;0;2;3;0.0;0.0;0.0;0.0
ghd6;0;2;4;0.0;0.0;0.0;0.0
ghd6;0;2;5;79.398;0.0;0.0;0.0
ghd6;0;2;6;0.0;0.0;0.0;0.0
ghd6;0;2;7;210.457;0.0;0.0;0.0
ghd6;0;2;8;174.19;0.0;0.0;0.0
ghd6;0;2;9;61.262;0.0;74.551;0.0
ghd6;0;2;10;0.0;0.0;103.591;0.0
ghd6;0;2;11;0.0;0.0;83.883;0.0
ghd6;0;2;12;0.0;0.0;60.462;0.0
ghd6;0;2;13;100.709;0.0;176.276;0.0
ghd6;0;2;14;226.206;0.0;48.127;0.0
ghd6;0;2;15;256.692;0.0;16.757;0.0
ghd6;0;2;16;257.522;0.0;15.928;0.0
ghd6;0;2;17;276.101;0.0;0.001;0.0
ghd6;0;2;18;282.292;0.0;0.0;0.0
ghd6;0;2;19;292.915;0.0;0.0;0.0
ghd6;0;2;20;43.037;0.0;0.0;0.0
ghd6;0;2;21;0.0;0.0;0.0;0.0
ghd6;0;2;22;0.0;0.0;0.0;0.0
ghd6;0;2;23;0.0;0.0;0.0;0.0
ghd6;0;2;24;0.0;0.0;0.0;0.0
ghd6;0;2;25;0.0;0.0;0.0;0.0
ghd6;0;2;26;0.0;0.0;0.0;0.0
ghd6;0;2;27;0.0;0.0;0.0;0.0
ghd6;0;2;28;0.0;0.0;0.0;0.0
ghd6;0;2;29;0.0;0.0;0.0;0.0
ghd6;0;2;30;0.0;0.0;0.0;0.0
ghd6;0;2;31;0.0;0.0;0.0;0.0
ghd6;0;2;32;146.918;0.0;4.003;0.0
ghd6;0;2;33;57.188;0.0;62.132;0.0
ghd6;0;2;34;0.0;0.0;80.067;0.0
ghd6;0;2;35;0.0;0.0;55.825;0.0
ghd6;0;2;36;0.0;0.0;42.045;0.0
ghd6;0;2;37;0.0;0.0;31.879;0.0
ghd6;0;2;38;108.405;0.0;151.664;0.0
ghd6;0;2;39;0.0;0.0;0.0;0.0
ghd6;0;2;40;191.046;0.0;16.594;0.0
ghd6;0;2;41;0.0;0.0;0.0;0.0
ghd6;0;2;42;0.0;0.0;0.0;0.0
ghd6;0;2;43;0.0;0.0;0.0;0.0
ghd6;0;2;44;0.0;0.0;0.0;0.0
ghd6;0;2;45;0.0;0.0;0.0;0.0
ghd6;0;2;46;0.0;0.0;0.0;0.0
ghd6;0;2;47;0.0;0.0;0.0;0.0
ghd6;0;2;48;0.0;0.0;0.0;0.0
ghd6;0;2;49;0.0;0.0;0.0;0.0
ghd6;0;2;50;0.0;0.0;0.0;0.0
ghd6;0;2;51;21.559;0.0;0.0;0.0
ghd6;0;2;52;24.721;0.0;0.0;0.0
ghd6;0;2;53;26.274;0.0;0.0;0.0
ghd6;0;2;54;26.749;0.0;0.0;0.0
ghd6;0;2;55;36.805;0.0;0.0;0.0
ghd6;0;2;56;37.683;0.0;0.0;0.0
ghd6;0;2;57;26.676;0.0;0.0;0.0
ghd6;0;2;58;22.663;0.0;0.0;0.0
ghd6;0;2;59;44.784;0.0;0.0;0.0
ghd6;0;2;60;0.0;0.0;0.0;0.0
ghd6;0;2;61;18.63;0.0;0.0;0.0
ghd6;0;2;62;14.434;0.0;0.0;0.0
ghd6;0;2;63;185.397;0.0;0.0;0.0
ghd6;0;2;64;0.0;0.0;0.0;0.0
ghd6;0;2;65;0.0;0.0;0.0;0.0
ghd6;0;2;66;0.0;0.0;0.0;0.0
ghd6;0;2;67;0.0;0.0;0.0;0.0
ghd6;0;2;68;0.0;0.0;0.0;0.0
ghd6;0;2;69;0.0;0.0;0.0;0.0
ghd6;0;2;70;0.0;0.0;0.0;0.0
ghd6;0;2;71;0.0;0.0;0.0;0.0
ghd6;0;2;72;291.144;0.0;0.0;0.0
ghd6;0;2;73;0.0;0.0;0.0;0.0
ghd6;0;2;74;0.0;0.0;0.0;0.0
ghd6;0;2;75;0.0;0.0;0.0;0.0
ghd6;0;2;76;0.0;0.0;0.0;0.0
ghd6;0;2;77;0.0;0.0;0.0;0.0
ghd6;0;2;78;0.0;0.0;0.0;0.0
ghd6;0;2;79;0.0;0.0;0.0;0.0
ghd6;0;2;80;131.914;0.0;0.0;0.0
ghd6;0;2;81;0.0;0.0;0.0;0.0
ghd6;0;2;82;54.939;0.0;0.0;0.0
ghd6;0;2;83;32.142;0.0;15.97;0.0
ghd6;0;2;84;0.0;0.0;37.739;0.0
ghd6;0;2;85;0.0;0.0;34.522;0.0
ghd6;0;2;86;280.523;0.0;0.0;0.0
ghd6;0;2;87;280.523;0.0;0.0;0.0
ghd6;0;2;88;291.144;0.0;0.0;0.0
ghd6;0;2;89;283.177;0.0;0.0;0.0
ghd6;0;2;90;298.231;0.0;0.0;0.0
ghd6;0;2;91;0.0;0.0;0.0;0.0
ghd6;0;2;92;303.551;0.0;0.0;0.0
ghd6;0;2;93;101.446;0.0;0.0;0.0
ghd6;0;2;94;308.873;0.0;0.0;0.0
ghd6;0;2;95;314.2;0.0;0.0;0.0
ghd6;0;2;96;108.392;0.0;0.0;0.0
ghd6;0;2;97;0.0;0.0;0.0;0.0
ghd6;0;2;98;0.0;0.0;0.0;0.0
ghd6;0;2;99;0.0;0.0;0.0;0.0
ghd6;0;2;100;0.0;0.0;0.0;0.0
ghd6;0;2;101;0.0;0.0;0.0;0.0
ghd6;0;2;102;0.0;0.0;0.0;0.0
ghd6;0;2;103;281.638;0.0;0.0;0.0
ghd6;0;2;104;249.675;0.0;0.0;0.0
ghd6;0;2;105;177.942;0.0;28.753;0.0
ghd6;0;2;106;96.31;0.0;48.933;0.0
ghd6;0;2;107;105.628;0.0;17.557;0.0
ghd6;0;2;108;44.227;0.0;55.336;0.0
ghd6;0;2;109;40.482;0.0;43.568;0.0
ghd6;0;2;110;42.16;0.0;34.161;0.0
ghd6;0;2;111;74.86;0.0;0.0;0.0
ghd6;0;2;112;72.492;0.0;0.0;0.0
ghd6;0;2;113;234.393;0.0;0.0;0.0
ghd6;0;2;114;0.0;0.0;0.0;0.0
ghd6;0;2;115;0.0;0.0;0.0;0.0
ghd6;0;2;116;183.505;0.0;0.0;0.0
ghd6;0;2;117;0.0;0.0;0.0;0.0
ghd6;0;2;118;206.188;0.0;0.0;0.0
ghd6;0;2;119;0.0;0.0;0.0;0.0
ghd6;0;2;120;112.561;0.0;0.0;0.0
ghd6;0;2;121;113.431;0.0;0.0;0.0
ghd6;0;2;122;117.636;0.0;0.0;0.0
ghd6;0;2;123;121.287;0.0;0.0;0.0
ghd6;0;2;124;125.837;0.0;0.0;0.0
ghd6;0;2;125;129.041;0.0;0.0;0.0
ghd6;0;2;126;138.105;0.0;0.0;0.0
ghd6;0;2;127;105.371;0.0;0.0;0.0
ghd6;0;2;128;89.939;0.0;0.0;0.0
ghd6;0;2;129;84.814;0.0;0.0;0.0
ghd6;0;2;130;77.349;0.0;0.001;0.0
ghd6;0;2;131;60.996;0.0;0.001;0.0
ghd6;0;2;132;24.424;0.0;21.961;0.0
ghd6;0;2;133;0.0;0.0;32.909;0.0
ghd6;0;2;134;23.834;0.0;0.0;0.0
ghd6;0;2;135;24.059;0.0;0.0;0.0
ghd6;0;2;136;21.52;0.0;0.0;0.0
ghd6;0;2;137;257.661;0.0;0.0;0.0
ghd6;0;2;138;261.274;0.0;0.0;0.0
ghd6;0;2;139;264.29;0.0;0.0;0.0
ghd6;0;2;140;0.0;0.0;0.0;0.0
ghd6;0;2;141;32.527;0.0;0.0;0.0
ghd6;0;2;142;273.449;0.0;0.0;0.0
ghd6;0;2;143;0.0;0.0;0.0;0.0
ghd6;0;2;144;0.0;0.0;0.0;0.0
ghd6;0;2;145;0.0;0.0;0.0;0.0
ghd6;0;2;146;0.0;0.0;0.0;0.0
ghd6;0;2;147;0.0;0.0;0.0;0.0
ghd6;0;2;148;0.0;0.0;0.0;0.0
ghd6;0;2;149;0.0;0.0;0.0;0.0
ghd6;0;2;150;0.0;0.0;0.0;0.0
ghd6;0;2;151;0.0;0.0;0.0;0.0
ghd6;0;2;152;0.0;0.0;0.0;0.0
ghd6;0;2;153;87.291;0.0;0.0;0.0
ghd6;0;2;154;82.175;0.0;0.0;0.0
ghd6;0;2;155;72.255;0.0;0.0;0.0
ghd6;0;2;156;56.105;0.0;0.0;0.0
ghd6;0;2;157;44.747;0.0;0.0;0.0
ghd6;0;2;158;37.985;0.0;0.0;0.0
ghd6;0;2;159;89.561;0.0;0.0;0.0
ghd6;0;2;160;271.681;0.0;0.0;0.0
ghd6;0;2;161;0.0;0.0;0.0;0.0
ghd6;0;2;162;0.0;0.0;0.0;0.0
ghd6;0;2;163;0.0;0.0;0.0;0.0
ghd6;0;2;164;0.0;0.0;0.0;0.0
ghd6;0;2;165;0.0;0.0;0.0;0.0
ghd6;0;2;166;126.037;0.0;0.0;0.0
ghd6;0;2;167;286.717;0.0;0.0;0.0
ghd6;0;3;0;387.367;0.0;0.0;0.0
ghd6;0;3;1;388.264;0.0;0.0;0.0
ghd6;0;3;2;385.574;0.0;0.0;0.0
ghd6;0;3;3;386.47;0.0;0.0;0.0
ghd6;0;3;4;387.367;0.0;0.0;0.0
ghd6;0;3;5;393.649;0.0;0.0;0.0
ghd6;0;3;6;393.649;0.0;0.0;0.0
ghd6;0;3;7;392.751;0.0;0.0;0.0
ghd6;0;3;8;384.302;0.0;0.0;0.0
ghd6;0;3;9;363.129;0.0;0.0;0.0
ghd6;0;3;10;353.177;0.0;0.0;0.0
