district;Support_Year;Cluster;Timestep;total_demand;to_network;from_network;to_main_grid
ghd6;0;0;0;0.0;0.0;0.0;0.0
ghd6;0;0;1;340.884;0.0;0.0;0.0
ghd6;0;0;2;74.378;0.0;0.0;0.0
ghd6;0;0;3;263.467;0.0;0.0;0.0
ghd6;0;0;4;271.291;0.0;0.0;0.0
ghd6;0;0;5;277.992;0.0;0.0;0.0
ghd6;0;0;6;296.762;0.0;0.0;0.0
ghd6;0;0;7;249.75;0.0;0.0;0.0
ghd6;0;0;8;226.589;0.0;0.0;0.0
ghd6;0;0;9;228.31;0.0;0.0;0.0
ghd6;0;0;10;196.34;0.0;0.0;0.0
ghd6;0;0;11;181.332;0.0;0.0;0.0
ghd6;0;0;12;156.506;0.0;0.0;0.0
ghd6;0;0;13;279.698;0.0;0.0;0.0
ghd6;0;0;14;0.0;0.0;0.0;0.0
ghd6;0;0;15;145.584;0.0;0.0;0.0
ghd6;0;0;16;136.418;0.0;0.0;0.0
ghd6;0;0;17;128.746;0.0;0.0;0.0
ghd6;0;0;18;321.307;0.0;0.0;0.0
ghd6;0;0;19;0.0;0.0;0.0;0.0
ghd6;0;0;20;274.389;0.0;0.0;0.0
ghd6;0;0;21;326.641;0.0;0.0;0.0
ghd6;0;0;22;331.979;0.0;0.0;0.0
ghd6;0;0;23;336.43;0.0;0.0;0.0
ghd6;0;0;24;0.0;0.0;0.0;0.0
ghd6;0;0;25;0.0;0.0;0.0;0.0
ghd6;0;0;26;264.977;0.0;0.0;0.0
ghd6;0;0;27;350.692;0.0;0.0;0.0
ghd6;0;0;28;351.584;0.0;0.0;0.0
ghd6;0;0;29;357.833;0.0;0.0;0.0
ghd6;0;0;30;124.017;0.0;0.0;0.0
ghd6;0;0;31;288.293;0.0;0.0;0.0
ghd6;0;0;32;260.814;0.0;0.0;0.0
ghd6;0;0;33;257.687;0.0;0.0;0.0
ghd6;0;0;34;224.024;0.0;0.0;0.0
ghd6;0;0;35;192.635;0.0;1.676;0.0
ghd6;0;0;36;193.152;0.0;0.0;0.0
ghd6;0;0;37;111.736;0.0;47.519;0.0
ghd6;0;0;38;76.667;0.0;68.216;0.0
ghd6;0;0;39;108.493;0.0;35.417;0.0
ghd6;0;0;40;317.752;0.0;0.0;0.0
ghd6;0;0;41;320.418;0.0;0.0;0.0
ghd6;0;0;42;320.418;0.0;0.0;0.0
ghd6;0;0;43;325.752;0.0;0.0;0.0
ghd6;0;0;44;330.199;0.0;0.0;0.0
ghd6;0;0;45;0.0;0.0;0.0;0.0
ghd6;0;0;46;193.136;0.0;0.0;0.0
ghd6;0;0;47;0.0;0.0;0.0;0.0
ghd6;0;0;48;0.0;0.0;0.0;0.0
ghd6;0;0;49;0.0;0.0;0.0;0.0
ghd6;0;0;50;0.0;0.0;0.0;0.0
ghd6;0;0;51;0.0;0.0;0.0;0.0
ghd6;0;0;52;0.0;0.0;0.0;0.0
