Support_Year;Cluster;Timestep;Power_Demand_kW;PV;HP;EB;from_grid;to_grid;from_main_grid;to_main_grid;to_network
0;0;0;16.917;0;0;0;16.917;0;16.917;0;0
0;0;1;20.252;0;113.026;0;133.277;0;133.277;0;0
0;0;2;20.233;0;0;0;20.233;0;20.233;0;0
0;0;3;21.322;0;114.778;0;136.1;0;136.1;0;0
0;0;4;18.806;0;118.043;0;136.849;0;136.849;0;0
0;0;5;20.756;0;120.376;0;141.132;0;141.132;0;0
0;0;6;25.416;0;136.623;0;162.039;0;162.039;0;0
0;0;7;61.582;0;134.484;0;196.066;0;196.066;0;0
0;0;8;58.982;90.667;124.125;0;92.44;0;92.44;0;0
0;0;9;52.5;297.386;118.017;0;0;126.869;0;0;126.869
0;0;10;48.088;344.493;110.719;0;0;185.686;0;0;185.686
0;0;11;43.522;201.271;113.459;0;0;44.291;0;0;44.291
0;0;12;49.385;266.441;147.788;0;0;69.269;0;0;69.269
0;0;13;52;119.182;67.183;0;0;0;0;0;0
0;0;14;60.819;92.025;31.206;0;0;0;0;0;0
0;0;15;50.338;255.949;147.383;0;0;58.227;0;0;58.227
0;0;16;51.659;159.828;108.169;0;0;0;0;0;0
0;0;17;70.634;48.966;8.288;0;29.956;0;29.956;0;0
0;0;18;73.924;0.941;146.17;0;219.153;0;219.153;0;0
0;0;19;73.206;0;0;0;73.206;0;73.206;0;0
0;0;20;83.508;0;140.63;0;224.138;0;224.138;0;0
0;0;21;63.241;0;148.597;0;211.838;0;211.838;0;0
0;0;22;51.868;0;151.025;0;202.893;0;202.893;0;0
0;0;23;44.369;0;153.05;0;197.419;0;197.419;0;0
0;0;24;16.85;0;0;0;16.85;0;16.85;0;0
0;0;25;18.334;0;0;0;18.334;0;18.334;0;0
0;0;26;19.988;0;118.722;0;138.71;0;138.71;0;0
0;0;27;19.67;0;159.538;0;179.208;0;179.208;0;0
0;0;28;18.562;0;159.944;0;178.506;0;178.506;0;0
0;0;29;20.173;0;162.787;0;182.96;0;182.96;0;0
0;0;30;23.287;0;53.212;0;76.499;0;76.499;0;0
0;0;31;61.958;0;154.124;0;216.083;0;216.083;0;0
0;0;32;65.764;83.781;140.981;0;122.965;0;122.965;0;0
