Support_Year;Cluster;Timestep;to_network_kW;from_network_kW;to_main_grid_kW;from_main_grid_kW;to_grid_kW;from_grid_kW
0;0;0;0.0;0.0;0.0;0.462;0.0;0.462
0;0;1;0.0;0.0;0.0;0.561;0.0;0.561
0;0;2;0.0;0.0;0.0;0.689;0.0;0.689
0;0;3;0.0;0.0;0.0;46.613;0.0;46.613
0;0;4;0.0;0.0;0.0;2.048;0.0;2.048
0;0;5;0.0;0.0;0.0;1.926;0.0;1.926
0;0;6;0.0;0.0;0.0;40.212;0.0;40.212
0;0;7;0.0;0.0;0.0;3.079;0.0;3.079
0;0;8;0.0;21.699;0.0;27.75;0.0;49.448
0;0;9;0.0;27.289;0.0;19.112;0.0;46.401
0;0;10;0.0;22.587;0.0;18.823;0.0;41.409
0;0;11;0.0;17.167;0.0;1.336;0.0;18.503
0;0;12;0.0;11.826;0.0;2.369;0.0;14.195
0;0;13;0.0;25.157;0.0;0.0;0.0;25.157
0;0;14;0.0;27.394;0.0;0.0;0.0;27.394
0;0;15;0.0;31.37;0.0;0.044;0.0;31.414
0;0;16;0.0;17.839;0.0;14.553;0.0;32.392
0;0;17;0.0;5.868;0.0;30.126;0.0;35.995
0;0;18;0.0;5.316;0.0;29.739;0.0;35.055
0;0;19;0.0;2.226;0.0;30.93;0.0;33.156
0;0;20;0.0;0.139;0.0;34.072;0.0;34.211
0;0;21;0.0;0.0;0.0;34.482;0.0;34.482
0;0;22;0.0;0.0;0.0;9.772;0.0;9.772
0;0;23;0.0;0.0;0.0;6.565;0.0;6.565
0;0;24;0.0;0.0;0.0;1.325;0.0;1.325
0;0;25;0.0;0.0;0.0;1.567;0.0;1.567
0;0;26;0.0;0.0;0.0;1.525;0.0;1.525
0;0;27;0.0;0.0;0.0;1.493;0.0;1.493
0;0;28;0.0;0.0;0.0;1.506;0.0;1.506
0;0;29;0.0;0.0;0.0;1.875;0.0;1.875
0;0;30;0.0;1.075;0.0;49.013;0.0;50.088
0;0;31;0.0;6.993;0.0;40.629;0.0;47.623
0;0;32;0.0;15.243;0.0;28.57;0.0;43.813
0;0;33;0.0;22.509;0.0;21.687;0.0;44.196
0;0;34;0.0;23.271;0.0;8.372;0.0;31.643
0;0;35;0.0;10.44;0.0;9.342;0.0;19.782
0;0;36;0.0;12.076;0.0;10.824;0.0;22.9
0;0;37;0.0;13.686;0.0;11.069;0.0;24.755
0;0;38;0.0;33.869;0.0;0.0;0.0;33.869
0;0;39;0.0;24.401;0.0;0.0;0.0;24.401
0;0;40;0.0;12.874;0.0;18.113;0.0;30.987
0;0;41;0.0;8.29;0.0;43.723;0.0;52.012
0;0;42;0.0;9.973;0.0;0.0;0.0;9.973
0;0;43;0.0;0.0;0.0;32.305;0.0;32.305
0;0;44;0.0;0.099;0.0;30.64;0.0;30.74
0;0;45;0.0;0.0;0.0;29.297;0.0;29.297
0;0;46;0.0;0.0;0.0;1.244;0.0;1.244
0;0;47;0.0;0.0;0.0;7.004;0.0;7.004
0;0;48;0.0;0.0;0.0;1.561;0.0;1.561
0;0;49;0.0;0.0;0.0;1.514;0.0;1.514
0;0;50;0.0;0.0;0.0;2.161;0.0;2.161
0;0;51;0.0;0.0;0.0;0.547;0.0;0.547
0;0;52;0.0;0.0;0.0;1.359;0.0;1.359
0;0;53;0.0;0.0;0.0;1.523;0.0;1.523
0;0;54;0.0;1.226;0.0;41.849;0.0;43.075
0;0;55;0.0;4.874;0.0;38.269;0.0;43.142
0;0;56;0.0;7.232;0.0;37.308;0.0;44.54
0;0;57;0.0;10.596;0.0;28.628;0.0;39.224
0;0;58;0.0;22.988;0.0;0.0;0.0;22.988
0;0;59;0.0;9.983;0.0;0.0;0.0;9.983
0;0;60;0.0;9.389;0.0;0.0;0.0;9.389
0;0;61;0.0;28.449;0.0;0.0;0.0;28.449
0;0;62;0.0;5.164;0.0;0.0;0.0;5.164
0;0;63;0.0;16.104;0.0;0.0;0.0;16.104
0;0;64;0.0;15.904;0.0;0.0;0.0;15.904
0;0;65;0.0;8.396;0.0;0.0;0.0;8.396
0;0;66;0.0;8.193;0.0;0.0;0.0;8.193
0;0;67;0.0;2.069;0.0;24.061;0.0;26.13
0;0;68;0.0;0.088;0.0;43.641;0.0;43.729
0;0;69;0.0;0.0;0.0;3.514;0.0;3.514
0;0;70;0.0;0.0;0.0;45.758;0.0;45.758
0;0;71;0.0;0.0;0.0;3.124;0.0;3.124
0;0;72;0.0;0.0;0.0;0.462;0.0;0.462
0;0;73;0.0;0.0;0.0;3.202;0.0;3.202
0;0;74;0.0;0.0;0.0;1.991;0.0;1.991
0;0;75;0.0;0.0;0.0;0.868;0.0;0.868
0;0;76;0.0;0.0;0.0;0.462;0.0;0.462
0;0;77;0.0;0.0;0.0;0.462;0.0;0.462
0;0;78;0.0;1.521;0.0;0.0;0.0;1.521
0;0;79;0.0;6.885;0.0;56.871;0.0;63.755
0;0;80;0.0;13.516;0.0;9.677;0.0;23.192
0;0;81;0.0;24.737;0.0;17.743;0.0;42.48
0;0;82;0.0;28.229;0.0;0.0;0.0;28.229
0;0;83;0.0;18.616;0.0;0.0;0.0;18.616
0;0;84;0.0;26.483;0.0;0.0;0.0;26.483
0;0;85;0.0;36.257;0.0;0.0;0.0;36.257
0;0;86;0.0;19.404;0.0;0.0;0.0;19.404
0;0;87;0.0;12.886;0.0;0.0;0.0;12.886
0;0;88;0.0;4.943;0.0;0.0;0.0;4.943
0;0;89;0.0;2.312;0.0;0.411;0.0;2.723
0;0;90;0.0;1.391;0.0;23.506;0.0;24.896
0;0;91;0.0;1.133;0.0;25.442;0.0;26.575
0;0;92;0.0;0.0;0.0;35.328;0.0;35.328
0;0;93;0.0;0.0;0.0;24.493;0.0;24.493
0;0;94;0.0;0.0;0.0;6.399;0.0;6.399
0;0;95;0.0;0.0;0.0;4.201;0.0;4.201
0;0;96;0.0;0.0;0.0;1.218;0.0;1.218
0;0;97;0.0;0.0;0.0;1.343;0.0;1.343
0;0;98;0.0;0.0;0.0;1.634;0.0;1.634
0;0;99;0.0;0.0;0.0;1.21;0.0;1.21
0;0;100;0.0;0.0;0.0;1.672;0.0;1.672
0;0;101;0.0;0.0;0.0;1.202;0.0;1.202
0;0;102;0.0;0.0;0.0;37.788;0.0;37.788
0;0;103;0.0;0.0;0.0;35.413;0.0;35.413
0;0;104;0.0;15.869;0.0;18.181;0.0;34.05
0;0;105;0.0;24.903;0.0;8.045;0.0;32.948
0;0;106;0.0;15.562;0.0;0.0;0.0;15.562
0;0;107;0.0;19.138;0.0;0.0;0.0;19.138
0;0;108;0.0;21.889;0.0;0.0;0.0;21.889
0;0;109;0.0;12.254;0.0;0.0;0.0;12.254
0;0;110;0.0;13.523;0.0;8.388;0.0;21.911
0;0;111;0.0;0.0;0.0;24.392;0.0;24.392
0;0;112;0.0;2.801;0.0;19.75;0.0;22.551
0;0;113;0.0;2.572;0.0;55.675;0.0;58.247
0;0;114;0.0;9.567;0.0;0.0;0.0;9.567
0;0;115;0.0;2.432;0.0;2.161;0.0;4.593
0;0;116;0.0;0.387;0.0;23.591;0.0;23.978
0;0;117;0.0;0.0;0.0;30.268;0.0;30.268
0;0;118;0.0;0.0;0.0;4.598;0.0;4.598
0;0;119;0.0;0.0;0.0;2.772;0.0;2.772
0;0;120;0.0;0.0;0.0;1.186;0.0;1.186
0;0;121;0.0;0.0;0.0;1.335;0.0;1.335
0;0;122;0.0;0.0;0.0;1.23;0.0;1.23
0;0;123;0.0;0.0;0.0;1.291;0.0;1.291
0;0;124;0.0;0.0;0.0;1.107;0.0;1.107
0;0;125;0.0;0.0;0.0;1.153;0.0;1.153
0;0;126;0.0;0.0;0.0;27.236;0.0;27.236
0;0;127;0.0;0.0;0.0;27.113;0.0;27.113
0;0;128;0.0;0.0;0.0;23.803;0.0;23.803
0;0;129;0.0;4.592;0.0;17.621;0.0;22.213
0;0;130;0.0;7.964;0.0;7.41;0.0;15.374
0;0;131;0.0;17.777;0.0;21.018;0.0;38.795
0;0;132;0.0;25.065;0.0;0.0;0.0;25.065
0;0;133;0.0;18.515;0.0;0.0;0.0;18.515
0;0;134;0.0;8.022;0.0;0.0;0.0;8.022
0;0;135;0.0;6.281;0.0;3.52;0.0;9.801
0;0;136;0.0;0.0;0.0;17.637;0.0;17.637
0;0;137;0.0;3.129;0.0;9.389;0.0;12.518
0;0;138;0.0;0.0;0.0;7.351;0.0;7.351
0;0;139;0.0;0.746;0.0;2.474;0.0;3.219
0;0;140;0.0;0.0;0.0;22.35;0.0;22.35
0;0;141;0.0;0.0;0.0;20.585;0.0;20.585
0;0;142;0.0;0.0;0.0;5.261;0.0;5.261
0;0;143;0.0;0.0;0.0;1.599;0.0;1.599
0;0;144;0.0;0.0;0.0;1.164;0.0;1.164
0;0;145;0.0;0.0;0.0;1.179;0.0;1.179
0;0;146;0.0;0.0;0.0;1.167;0.0;1.167
