Support_Year;Cluster;Timestep;Power_Demand_kW
0;0;0;6.165
0;0;1;8.677
0;0;2;8.656
0;0;3;7.923
0;0;4;9.883
0;0;5;12.481
0;0;6;19.065
0;0;7;22.734
0;0;8;36.512
0;0;9;31.086
0;0;10;23.848
0;0;11;19.456
0;0;12;28.771
0;0;13;33.182
0;0;14;38.586
0;0;15;29.427
0;0;16;45.13
0;0;17;40.066
0;0;18;44.772
0;0;19;54.009
0;0;20;62.948
0;0;21;60.576
0;0;22;62.633
0;0;23;34.222
0;0;24;6.038
0;0;25;11.196
0;0;26;8.876
0;0;27;9.807
0;0;28;9.581
0;0;29;9.151
0;0;30;12.864
0;0;31;22.703
0;0;32;30.806
0;0;33;24.441
0;0;34;20.202
0;0;35;30.229
0;0;36;14.594
0;0;37;29.404
0;0;38;31.978
0;0;39;27.529
0;0;40;40.763
0;0;41;65.102
0;0;42;53.503
0;0;43;69.633
0;0;44;74.991
0;0;45;71.764
0;0;46;48.715
0;0;47;55.339
0;0;48;6.044
0;0;49;13.244
0;0;50;8.074
0;0;51;9.16
0;0;52;9.049
0;0;53;12.276
0;0;54;17.627
0;0;55;27.625
0;0;56;38.401
0;0;57;25.093
0;0;58;29.49
0;0;59;27.027
0;0;60;30.241
0;0;61;43.983
0;0;62;38.645
0;0;63;34.523
0;0;64;34.643
0;0;65;40.202
0;0;66;40.823
0;0;67;58.924
0;0;68;66.107
0;0;69;69.246
0;0;70;70.712
0;0;71;46.077
0;0;72;6.052
0;0;73;15.054
0;0;74;9.483
0;0;75;11.386
0;0;76;8.112
0;0;77;10.521
0;0;78;11.477
0;0;79;23.174
0;0;80;25.907
0;0;81;26.265
0;0;82;39.604
0;0;83;34.847
0;0;84;42.11
0;0;85;32.176
0;0;86;34.634
0;0;87;39.732
0;0;88;37.285
0;0;89;51.527
0;0;90;51.767
0;0;91;82.909
0;0;92;83.305
0;0;93;60.648
0;0;94;58.719
0;0;95;43.849
0;0;96;6.771
0;0;97;10.08
0;0;98;9.196
0;0;99;8.331
0;0;100;9.41
0;0;101;8.999
0;0;102;10.229
0;0;103;14.656
0;0;104;25.619
0;0;105;32.741
0;0;106;44.746
0;0;107;39.261
0;0;108;42.696
0;0;109;31.032
0;0;110;49.137
0;0;111;36.191
0;0;112;51.17
0;0;113;54.222
0;0;114;54.699
0;0;115;51.346
0;0;116;67.375
0;0;117;58.904
0;0;118;56.648
0;0;119;59.857
0;0;120;7.948
0;0;121;17.261
0;0;122;10.004
0;0;123;8.356
0;0;124;8.167
0;0;125;10.591
0;0;126;15.267
0;0;127;22.692
0;0;128;34.446
0;0;129;38.977
0;0;130;38.171
0;0;131;29.024
0;0;132;31.126
0;0;133;42.568
0;0;134;39.774
0;0;135;30.7
0;0;136;27.829
0;0;137;40.14
0;0;138;65.464
0;0;139;63.852
0;0;140;55.799
0;0;141;70.26
0;0;142;74.226
0;0;143;48.44
0;0;144;6.115
0;0;145;11.76
0;0;146;9.378
0;0;147;8.912
0;0;148;9.578
0;0;149;9.31
0;0;150;9.879
0;0;151;19.596
0;0;152;36.589
0;0;153;31.593
0;0;154;42.873
0;0;155;25.265
0;0;156;27.063
0;0;157;45.203
0;0;158;27.309
0;0;159;32.377
0;0;160;44.862
0;0;161;60.245
0;0;162;51.756
0;0;163;59.793
0;0;164;61.141
0;0;165;67.352
0;0;166;53.186
0;0;167;36.309
0;1;0;6.093
0;1;1;12.892
0;1;2;8.928
0;1;3;10.454
0;1;4;8.585
0;1;5;9.902
0;1;6;17.167
0;1;7;23.654
0;1;8;31.516
0;1;9;35.323
0;1;10;36.239
0;1;11;28.908
0;1;12;29.564
0;1;13;48.185
0;1;14;28.262
0;1;15;23.954
0;1;16;38.995
0;1;17;52.275
0;1;18;40.603
0;1;19;57.797
0;1;20;92.058
0;1;21;62.011
0;1;22;81.149
0;1;23;58.432
0;1;24;6.145
0;1;25;11.689
0;1;26;9.335
0;1;27;9.604
0;1;28;9.233
0;1;29;8.441
0;1;30;11.41
0;1;31;29.399
0;1;32;33.152
0;1;33;28.146
0;1;34;36.032
0;1;35;19.7
0;1;36;22.082
0;1;37;28.014
0;1;38;33.795
0;1;39;33.935
0;1;40;31.408
0;1;41;51.764
0;1;42;42.483
0;1;43;71.186
0;1;44;65.233
0;1;45;77.633
0;1;46;72.15
0;1;47;43.43
0;1;48;6.064
0;1;49;11.273
0;1;50;8.816
0;1;51;9.836
0;1;52;8.658
0;1;53;11.768
0;1;54;13.358
0;1;55;32.188
0;1;56;35.034
0;1;57;39.352
0;1;58;31.817
0;1;59;32.816
0;1;60;28.474
0;1;61;36.757
0;1;62;28.711
0;1;63;28.735
0;1;64;43.668
0;1;65;45.952
0;1;66;48.406
0;1;67;61.671
0;1;68;65.979
0;1;69;73.202
0;1;70;77.605
0;1;71;32.048
0;1;72;6.194
0;1;73;10.575
0;1;74;15.941
0;1;75;14.585
0;1;76;9.099
0;1;77;9.218
0;1;78;9.351
0;1;79;13.974
0;1;80;31.226
0;1;81;31.68
0;1;82;41.785
0;1;83;45.069
0;1;84;48.405
0;1;85;51.421
0;1;86;29.17
0;1;87;31.086
0;1;88;42.48
0;1;89;47.728
0;1;90;67.699
0;1;91;64.736
0;1;92;64.946
0;1;93;62.984
0;1;94;72.827
0;1;95;32.386
0;1;96;6.319
0;1;97;12.21
0;1;98;10.266
0;1;99;11.426
0;1;100;8.444
0;1;101;9.087
0;1;102;12.844
0;1;103;17.001
0;1;104;28.178
0;1;105;27.021
0;1;106;45.236
0;1;107;36.066
0;1;108;36.218
0;1;109;47.095
0;1;110;47.412
0;1;111;42.02
0;1;112;45.938
0;1;113;49.612
0;1;114;46.77
0;1;115;53.809
0;1;116;60.97
0;1;117;62.69
0;1;118;59.364
0;1;119;49.95
0;1;120;6.09
0;1;121;13.161
0;1;122;8.474
0;1;123;11.241
0;1;124;9.754
0;1;125;8.768
0;1;126;18.497
0;1;127;29.766
0;1;128;38.134
0;1;129;42.245
0;1;130;31.237
0;1;131;24.851
0;1;132;31.371
0;1;133;40.867
0;1;134;29.925
0;1;135;35.918
0;1;136;45.278
0;1;137;41.355
0;1;138;56.072
0;1;139;62.426
0;1;140;78.6
0;1;141;79.994
0;1;142;63.582
0;1;143;66.712
0;1;144;7.121
0;1;145;16.276
0;1;146;9.605
0;1;147;9.853
0;1;148;9.185
0;1;149;10.873
0;1;150;15.421
0;1;151;40.638
0;1;152;40.84
0;1;153;40.357
0;1;154;39.852
0;1;155;31.03
0;1;156;28.501
0;1;157;46.574
0;1;158;34.558
0;1;159;26.85
0;1;160;40.464
0;1;161;48.073
0;1;162;48.018
0;1;163;56.222
0;1;164;55.194
0;1;165;73.693
0;1;166;61.774
0;1;167;43.063
0;2;0;7.739
0;2;1;11.367
0;2;2;8.582
0;2;3;10.156
0;2;4;8.604
0;2;5;10.218
0;2;6;8.568
0;2;7;25.86
0;2;8;47.736
0;2;9;37.993
0;2;10;30.449
0;2;11;27.346
0;2;12;29.675
0;2;13;42.117
0;2;14;30.556
0;2;15;22.767
0;2;16;42.592
0;2;17;55.676
0;2;18;54.331
0;2;19;67.144
0;2;20;62.379
0;2;21;67.71
0;2;22;69.535
0;2;23;49.4
0;2;24;7.127
0;2;25;9.255
0;2;26;8.486
0;2;27;9.112
0;2;28;8.863
0;2;29;9.551
0;2;30;14.826
0;2;31;30.214
0;2;32;43.063
0;2;33;30.833
0;2;34;33.877
0;2;35;24.407
0;2;36;32.432
0;2;37;29.224
0;2;38;27.99
0;2;39;18.708
0;2;40;38.947
0;2;41;53.351
0;2;42;58.062
0;2;43;50.443
0;2;44;67.175
0;2;45;69.403
0;2;46;66.761
0;2;47;45.421
0;2;48;6.092
0;2;49;9.196
0;2;50;9.857
0;2;51;9.738
0;2;52;9.008
0;2;53;12.328
0;2;54;12.365
0;2;55;26.17
0;2;56;32.701
0;2;57;35.514
0;2;58;24.083
0;2;59;29.37
0;2;60;28.514
0;2;61;40.245
0;2;62;27.593
0;2;63;42.386
0;2;64;39.609
0;2;65;46.398
0;2;66;59.622
0;2;67;70.63
0;2;68;60.665
0;2;69;67.921
0;2;70;66.189
0;2;71;40.592
0;2;72;6.12
0;2;73;10.917
0;2;74;9.363
0;2;75;9.786
0;2;76;9.106
0;2;77;9.495
0;2;78;9.931
0;2;79;17.502
0;2;80;24.33
0;2;81;41.62
0;2;82;37.724
0;2;83;36.429
0;2;84;40.897
0;2;85;34.515
0;2;86;42.106
0;2;87;38.948
0;2;88;53.302
0;2;89;41.915
0;2;90;52.153
0;2;91;60.956
0;2;92;59.214
0;2;93;63.681
0;2;94;57.026
0;2;95;40.431
0;2;96;6.091
0;2;97;22.404
0;2;98;8.626
0;2;99;13.087
0;2;100;8.515
0;2;101;9.264
0;2;102;11.012
0;2;103;16.282
0;2;104;38.36
0;2;105;35.006
0;2;106;44.704
0;2;107;39.749
0;2;108;39.155
0;2;109;36.051
0;2;110;32.667
0;2;111;39.911
0;2;112;46.586
0;2;113;61.829
0;2;114;78.139
0;2;115;59.53
0;2;116;76.942
0;2;117;74.513
0;2;118;58.855
0;2;119;34.432
0;2;120;6.138
0;2;121;12.269
0;2;122;8.7
0;2;123;11.193
0;2;124;8.79
0;2;125;9.646
0;2;126;14.941
0;2;127;33.902
0;2;128;44.322
0;2;129;36.09
0;2;130;46.128
0;2;131;29.983
0;2;132;30.25
0;2;133;38.677
0;2;134;23.892
0;2;135;37.452
0;2;136;36.562
0;2;137;55.022
0;2;138;63.37
0;2;139;65.521
0;2;140;74.574
0;2;141;77.801
0;2;142;69.617
0;2;143;49.15
0;2;144;6.107
0;2;145;13.637
0;2;146;8.811
0;2;147;9.538
0;2;148;7.952
0;2;149;9.001
0;2;150;16.065
0;2;151;27.137
0;2;152;42.024
0;2;153;43.938
0;2;154;38.766
0;2;155;27.716
0;2;156;22.05
0;2;157;34.647
0;2;158;35.393
0;2;159;20.801
0;2;160;39.983
0;2;161;47.085
0;2;162;79.872
0;2;163;58.64
0;2;164;76.583
0;2;165;73.261
0;2;166;66.707
0;2;167;45.335
0;3;0;6.006
0;3;1;12.709
0;3;2;9.627
0;3;3;8.511
0;3;4;8.244
0;3;5;9.2
0;3;6;13.074
0;3;7;36.61
0;3;8;37.419
0;3;9;36.698
0;3;10;33.742
0;3;11;23.342
0;3;12;27.41
0;3;13;30.339
0;3;14;28.54
0;3;15;25.112
0;3;16;38.884
0;3;17;50.289
0;3;18;55.85
0;3;19;60.167
0;3;20;60.584
0;3;21;64.997
0;3;22;50.678
0;3;23;45.632
0;3;24;6.205
0;3;25;13.548
0;3;26;9.539
0;3;27;9.523
0;3;28;8.845
0;3;29;11.028
0;3;30;16.136
0;3;31;29.465
0;3;32;34.753
0;3;33;40.095
0;3;34;38.324
0;3;35;32.235
0;3;36;28.915
0;3;37;31.071
0;3;38;23.278
0;3;39;48.195
0;3;40;46.122
0;3;41;55.211
0;3;42;64.657
0;3;43;66.007
0;3;44;67.892
0;3;45;59.938
0;3;46;73.873
0;3;47;32.808
0;3;48;6.194
0;3;49;10.31
0;3;50;9.616
0;3;51;10.153
0;3;52;10.949
0;3;53;11.885
0;3;54;15.123
0;3;55;37.831
0;3;56;43.422
0;3;57;48.432
0;3;58;42.652
0;3;59;31.662
0;3;60;32.743
0;3;61;43.807
0;3;62;37.398
0;3;63;35.986
0;3;64;41.043
0;3;65;48.68
0;3;66;55.628
0;3;67;65.763
0;3;68;75.865
0;3;69;65.32
0;3;70;61.677
0;3;71;38.144
0;3;72;6.036
0;3;73;8.58
0;3;74;9.354
0;3;75;11.194
0;3;76;9.025
0;3;77;10.276
0;3;78;11.544
0;3;79;12.431
0;3;80;32.104
0;3;81;46.086
0;3;82;39.311
0;3;83;51.014
0;3;84;40.89
0;3;85;33.629
0;3;86;37.156
0;3;87;48.495
0;3;88;38.653
0;3;89;48.166
0;3;90;60.105
0;3;91;73.372
0;3;92;64.736
0;3;93;74.228
0;3;94;60.714
0;3;95;53.976
0;3;96;6.99
0;3;97;19.366
0;3;98;9.122
0;3;99;11.0
0;3;100;9.734
0;3;101;8.586
0;3;102;14.538
0;3;103;17.06
0;3;104;35.362
0;3;105;52.099
0;3;106;54.285
0;3;107;46.193
0;3;108;55.727
0;3;109;44.978
0;3;110;58.317
0;3;111;49.276
0;3;112;50.898
0;3;113;66.942
0;3;114;68.471
0;3;115;63.464
0;3;116;61.463
0;3;117;71.26
0;3;118;59.38
0;3;119;56.879
0;3;120;6.303
