Support_Year;Cluster;Timestep;to_network_kW;from_network_kW;to_main_grid_kW;from_main_grid_kW;to_grid_kW;from_grid_kW
0;0;91;26.575;0.0;0.0;25.83;26.575;25.83
0;0;92;35.328;0.0;0.0;35.492;35.328;35.492
0;0;93;24.493;0.0;0.0;25.534;24.493;25.534
0;0;94;0.0;1.085;0.0;0.0;0.0;1.085
0;0;95;0.0;1.069;0.0;0.0;0.0;1.069
0;0;96;0.0;1.101;0.0;0.0;0.0;1.101
0;0;97;0.0;1.088;0.0;0.0;0.0;1.088
0;0;98;0.0;1.245;0.0;0.0;0.0;1.245
0;0;99;0.0;1.673;0.0;0.0;0.0;1.673
0;0;100;0.0;2.723;0.0;0.0;0.0;2.723
0;0;101;1.202;0.0;0.0;30.925;1.202;30.925
0;0;102;37.788;0.0;0.0;62.241;37.788;62.241
0;0;103;35.413;0.0;0.0;47.141;35.413;47.141
0;0;104;34.05;0.0;0.0;30.647;34.05;30.647
0;0;105;17.301;0.0;0.0;0.0;17.301;0.0
0;0;106;19.618;0.0;0.0;0.0;19.618;0.0
0;0;107;21.269;0.0;0.0;0.0;21.269;0.0
0;0;108;16.228;0.0;0.0;0.0;16.228;0.0
0;0;109;8.775;0.0;0.0;0.0;8.775;0.0
0;0;110;11.514;0.0;0.0;0.0;11.514;0.0
0;0;111;24.392;0.0;0.0;22.817;24.392;22.817
0;0;112;22.551;0.0;0.0;21.432;22.551;21.432
0;0;113;23.231;0.0;0.0;23.486;23.231;23.486
0;0;114;9.015;0.0;0.0;0.0;9.015;0.0
0;0;115;25.507;0.0;0.0;23.483;25.507;23.483
0;0;116;23.978;0.0;0.0;23.98;23.978;23.98
0;0;117;30.268;0.0;0.0;31.343;30.268;31.343
0;0;118;0.0;1.151;0.0;0.0;0.0;1.151
0;0;119;0.0;1.057;0.0;0.0;0.0;1.057
0;0;120;0.0;1.074;0.0;0.0;0.0;1.074
0;0;121;0.0;1.126;0.0;0.0;0.0;1.126
0;0;122;0.0;1.107;0.0;0.0;0.0;1.107
0;0;123;0.0;1.091;0.0;0.0;0.0;1.091
0;0;124;0.0;1.164;0.0;0.0;0.0;1.164
0;0;125;0.0;13.55;0.0;0.0;0.0;13.55
0;0;126;27.236;0.0;0.0;38.292;27.236;38.292
0;0;127;27.113;0.0;0.0;37.337;27.113;37.337
0;0;128;23.803;0.0;0.0;30.269;23.803;30.269
0;0;129;22.213;0.0;0.0;22.001;22.213;22.001
0;0;130;3.516;0.0;0.0;0.0;3.516;0.0
0;0;131;15.552;0.0;0.0;0.0;15.552;0.0
0;0;132;22.714;0.0;0.0;0.0;22.714;0.0
0;0;133;17.974;0.0;0.0;0.0;17.974;0.0
0;0;134;7.11;0.0;0.0;0.0;7.11;0.0
0;0;135;4.123;0.0;0.0;0.0;4.123;0.0
0;0;136;10.461;0.0;0.0;0.0;10.461;0.0
0;0;137;2.124;0.0;0.0;0.0;2.124;0.0
0;0;138;23.719;0.0;0.0;22.5;23.719;22.5
0;0;139;20.717;0.0;0.0;20.401;20.717;20.401
0;0;140;22.35;0.0;0.0;23.306;22.35;23.306
0;0;141;20.585;0.0;0.0;21.644;20.585;21.644
0;0;142;0.0;1.075;0.0;0.0;0.0;1.075
0;0;143;0.0;1.172;0.0;0.0;0.0;1.172
0;0;144;0.0;1.085;0.0;0.0;0.0;1.085
0;0;145;0.0;1.091;0.0;0.0;0.0;1.091
0;0;146;0.0;1.179;0.0;0.0;0.0;1.179
0;0;147;0.0;1.083;0.0;0.0;0.0;1.083
0;0;148;0.0;1.216;0.0;0.0;0.0;1.216
0;0;149;1.441;0.0;0.0;14.271;1.441;14.271
0;0;150;32.589;0.0;0.0;42.216;32.589;42.216
0;0;151;32.722;0.0;0.0;37.935;32.722;37.935
0;0;152;31.46;0.0;0.0;27.903;31.46;27.903
0;0;153;11.615;0.0;0.0;0.0;11.615;0.0
0;0;154;9.723;0.0;0.0;0.0;9.723;0.0
0;0;155;14.503;0.0;0.0;0.0;14.503;0.0
0;0;156;30.464;0.0;0.0;0.0;30.464;0.0
0;0;157;28.675;0.0;0.0;0.0;28.675;0.0
0;0;158;30.544;0.0;0.0;0.0;30.544;0.0
0;0;159;21.006;0.0;0.0;0.0;21.006;0.0
0;0;160;17.723;0.0;0.0;17.379;17.723;17.379
0;0;161;10.812;0.0;0.0;0.0;10.812;0.0
0;0;162;7.953;0.0;0.0;0.0;7.953;0.0
0;0;163;22.893;0.0;0.0;20.936;22.893;20.936
0;0;164;22.302;0.0;0.0;22.579;22.302;22.579
0;0;165;22.423;0.0;0.0;23.456;22.423;23.456
0;0;166;0.0;1.118;0.0;0.0;0.0;1.118
0;0;167;0.0;1.108;0.0;0.0;0.0;1.108
0;1;0;0.0;0.93;0.0;0.0;0.0;0.93
0;1;1;0.0;0.92;0.0;0.0;0.0;0.92
0;1;2;0.0;0.969;0.0;0.0;0.0;0.969
0;1;3;0.0;1.082;0.0;0.0;0.0;1.082
0;1;4;0.0;1.019;0.0;0.0;0.0;1.019
0;1;5;0.0;0.985;0.0;0.0;0.0;0.985
0;1;6;0.0;0.483;0.0;0.0;0.0;0.483
0;1;7;1.767;0.0;0.0;0.0;1.767;0.0
0;1;8;10.401;0.0;0.0;0.0;10.401;0.0
0;1;9;20.044;0.0;0.0;0.0;20.044;0.0
0;1;10;19.764;0.0;7.521;0.0;27.285;0.0
0;1;11;16.047;0.0;15.864;0.0;31.911;0.0
0;1;12;11.324;0.0;24.743;0.0;36.067;0.0
0;1;13;0.0;36116.789;36159.008;0.0;36159.008;36116.789
0;1;14;0.0;4.858;38.067;0.0;38.067;4.858
0;1;15;2.729;0.0;16.632;0.0;19.361;0.0
0;1;16;11.122;0.0;0.0;0.0;11.122;0.0
0;1;17;6.783;0.0;0.0;0.0;6.783;0.0
0;1;18;3.885;0.0;0.0;0.0;3.885;0.0
0;1;19;0.0;0.777;0.0;0.0;0.0;0.777
