Support_Year;Cluster;Timestep;Heat_Demand_kW;Heat_Demand_TES_kW
0;0;0;564.427;-30.85
0;0;1;589.915;128.887
0;0;2;622.432;-622.432
0;0;3;643.53;-131.888
0;0;4;659.223;33.743
0;0;5;668.866;49.935
0;0;6;772.151;-53.35
0;0;7;747.667;-28.866
0;0;8;632.741;0.0
0;0;9;581.877;0.0
0;0;10;520.14;0.0
0;0;11;479.963;0.0
0;0;12;481.945;0.0
0;0;13;412.444;0.0
0;0;14;373.741;345.06
0;0;15;380.011;93.876
0;0;16;368.826;349.975
0;0;17;358.872;-358.872
0;0;18;424.754;294.048
0;0;19;439.545;-173.049
0;0;20;452.371;266.43
0;0;21;490.102;8.906
0;0;22;470.645;8.906
0;0;23;505.947;-505.947
0;0;24;558.14;-270.956
0;0;25;580.853;0.0
0;0;26;608.032;0.0
0;0;27;628.125;29.995
0;0;28;649.184;69.618
0;0;29;661.789;57.013
0;0;30;787.425;-68.623
0;0;31;803.105;-84.304
0;0;32;700.307;0.0
0;0;33;698.072;0.0
0;0;34;667.132;0.0
0;0;35;636.579;0.0
0;0;36;655.833;62.969
0;0;37;613.458;-62.339
0;0;38;599.236;0.0
0;0;39;586.55;0.0
0;0;40;559.502;0.0
0;0;41;540.865;0.0
0;0;42;590.356;0.0
0;0;43;610.822;0.0
0;0;44;627.824;0.0
0;0;45;644.267;0.0
0;0;46;559.537;0.0
0;0;47;585.035;0.0
0;0;48;535.637;0.0
0;0;49;536.056;0.0
0;0;50;542.922;0.0
0;0;51;551.242;0.0
0;0;52;555.863;0.0
0;0;53;561.786;0.0
0;0;54;566.185;71.99
0;0;55;757.554;-38.753
0;0;56;750.993;-32.192
0;0;57;562.379;0.0
0;0;58;546.499;0.0
0;0;59;494.532;0.0
0;0;60;454.245;0.0
0;0;61;417.986;0.0
0;0;62;399.922;0.0
0;0;63;437.981;0.0
0;0;64;384.092;0.0
0;0;65;277.164;0.0
0;0;66;269.741;0.0
0;0;67;270.457;448.344
0;0;68;327.273;-104.338
0;0;69;336.128;-336.128
0;0;70;347.946;0.0
0;0;71;319.998;0.0
0;0;72;351.307;367.494
0;0;73;367.673;-363.819
0;0;74;386.504;0.0
0;0;75;396.351;0.0
0;0;76;398.839;0.0
0;0;77;405.86;0.0
0;0;78;408.185;0.0
0;0;79;592.14;0.0
0;0;80;597.671;0.0
0;0;81;409.188;0.0
0;0;82;393.728;0.0
0;0;83;361.588;0.0
0;0;84;348.494;0.0
0;0;85;320.449;0.0
0;0;86;313.721;0.0
0;0;87;378.288;13.813
0;0;88;349.791;369.01
0;0;89;259.619;459.182
0;0;90;321.251;-321.251
0;0;91;329.997;335.762
0;0;92;413.089;-300.587
0;0;93;403.497;315.304
0;0;94;459.47;-393.549
0;0;95;424.793;294.008
0;0;96;597.699;121.102
0;0;97;616.873;8.906
0;0;98;649.412;8.906
0;0;99;676.005;-632.546
0;0;100;693.527;25.274
0;0;101;710.087;8.714
0;0;102;821.494;-102.693
0;0;103;826.458;-107.656
0;0;104;736.041;-17.239
0;0;105;703.605;0.0
0;0;106;652.441;0.0
0;0;107;627.592;0.0
0;0;108;647.358;0.0
0;0;109;589.048;0.0
0;0;110;577.312;0.0
0;0;111;557.944;0.0
0;0;112;533.808;0.0
0;0;113;498.8;59.684
0;0;114;556.006;162.795
0;0;115;532.486;186.315
0;0;116;559.765;159.036
0;0;117;587.489;131.313
0;0;118;547.258;171.544
0;0;119;585.103;8.906
0;0;120;653.021;-653.021
0;0;121;663.895;16.67
0;0;122;691.981;26.82
0;0;123;701.204;17.597
0;0;124;708.271;10.53
0;0;125;730.297;-11.496
0;0;126;827.817;-109.015
0;0;127;813.266;-94.465
0;0;128;738.884;-20.082
0;0;129;730.218;-11.417
0;0;130;692.685;0.0
0;0;131;659.448;0.0
0;0;132;658.903;0.0
0;0;133;580.72;0.0
0;0;134;566.736;152.065
0;0;135;555.277;163.525
0;0;136;538.204;180.597
0;0;137;539.692;-145.927
0;0;138;602.583;116.218
0;0;139;608.252;110.549
0;0;140;627.658;91.143
0;0;141;639.5;79.301
0;0;142;569.775;149.027
0;0;143;646.199;8.906
0;0;144;702.305;-254.707
0;0;145;714.097;4.704
0;0;146;736.85;-18.048
0;0;147;747.526;-28.725
0;0;148;764.518;-45.716
0;0;149;776.232;-57.43
0;0;150;880.025;-161.224
0;0;151;858.561;-139.76
0;0;152;766.418;-47.617
0;0;153;764.087;-45.285
0;0;154;739.729;-20.928
0;0;155;704.824;0.0
0;0;156;694.538;0.0
0;0;157;606.39;0.0
0;0;158;567.8;0.0
0;0;159;539.647;0.0
0;0;160;492.669;226.132
0;0;161;478.739;111.288
0;0;162;520.685;198.116
0;0;163;533.335;185.466
0;0;164;555.912;162.889
0;0;165;600.281;-160.302
0;0;166;542.379;176.422
0;0;167;578.433;-72.702
0;1;0;6.896;-6.896
0;1;1;6.479;-6.479
0;1;2;7.895;-7.895
0;1;3;7.545;-7.545
0;1;4;6.482;-6.482
0;1;5;8.031;-8.031
0;1;6;69.445;-69.445
0;1;7;65.494;-65.494
0;1;8;17.76;-17.76
0;1;9;21.566;-21.566
0;1;10;22.426;-22.426
0;1;11;23.736;-23.736
0;1;12;44.218;-44.218
0;1;13;24.357;-24.357
0;1;14;27.297;-27.297
0;1;15;25.279;-25.279
0;1;16;23.423;246.745
0;1;17;22.849;-22.849
0;1;18;53.085;-53.085
0;1;19;51.668;-51.668
0;1;20;55.665;-55.665
0;1;21;49.874;-49.874
0;1;22;7.812;-7.812
0;1;23;7.084;-7.084
0;1;24;7.043;-7.043
0;1;25;6.415;-6.415
0;1;26;6.533;-6.533
0;1;27;8.275;-8.275
0;1;28;6.929;-6.929
0;1;29;7.2;-7.2
0;1;30;63.102;-63.102
0;1;31;71.825;-71.825
0;1;32;21.812;0.0
0;1;33;21.819;0.0
0;1;34;21.421;-0.0
0;1;35;23.022;0.0
0;1;36;48.707;0.0
0;1;37;18.951;0.0
0;1;38;23.51;-0.0
0;1;39;19.175;458.976
0;1;40;25.986;-25.986
0;1;41;20.592;187.568
0;1;42;53.205;-53.205
0;1;43;54.638;-54.638
0;1;44;55.705;-55.705
0;1;45;61.841;-61.841
0;1;46;9.56;-9.56
0;1;47;6.72;-6.72
0;1;48;8.018;-8.018
0;1;49;9.003;-9.003
0;1;50;8.723;-8.723
0;1;51;10.279;-10.279
0;1;52;9.06;-9.06
0;1;53;11.591;-11.591
0;1;54;7.664;-7.664
0;1;55;116.585;-116.585
0;1;56;113.528;-113.528
0;1;57;21.98;-21.98
0;1;58;25.534;0.0
0;1;59;22.307;0.0
0;1;60;21.439;0.0
0;1;61;19.081;0.0
0;1;62;24.941;304.272
0;1;63;63.062;60.286
0;1;64;63.125;179.043
0;1;65;14.354;-14.354
0;1;66;17.604;-17.604
0;1;67;13.192;-13.192
0;1;68;40.08;-40.08
0;1;69;35.159;-35.159
0;1;70;43.288;-43.288
0;1;71;9.65;-9.65
0;1;72;9.034;-9.034
0;1;73;9.578;-9.578
0;1;74;11.802;-11.802
0;1;75;10.606;-10.606
0;1;76;10.663;-10.663
0;1;77;8.785;-8.785
0;1;78;7.619;-7.619
0;1;79;122.698;-122.698
0;1;80;116.832;-116.832
0;1;81;22.633;0.0
0;1;82;23.475;0.0
0;1;83;23.214;0.0
0;1;84;19.058;-0.0
0;1;85;25.296;0.0
0;1;86;19.632;0.0
0;1;87;65.285;472.814
0;1;88;60.367;-60.367
0;1;89;12.008;-12.008
0;1;90;14.895;-14.895
0;1;91;15.33;-15.33
0;1;92;36.63;-36.63
0;1;93;43.441;-43.441
0;1;94;40.011;-40.011
0;1;95;8.415;-8.415
0;1;96;6.785;-6.785
0;1;97;7.784;-7.784
0;1;98;5.978;-5.978
0;1;99;8.36;-8.36
0;1;100;7.649;-7.649
0;1;101;6.854;-6.854
0;1;102;59.355;-59.355
0;1;103;74.291;-74.291
0;1;104;22.387;-22.387
0;1;105;21.908;0.0
0;1;106;21.536;0.0
0;1;107;25.228;0.0
0;1;108;46.61;0.0
0;1;109;20.108;0.0
0;1;110;25.576;0.0
0;1;111;20.511;198.79
0;1;112;23.724;287.011
0;1;113;20.798;-20.798
0;1;114;55.785;-55.785
0;1;115;53.591;-53.591
0;1;116;51.436;-51.436
0;1;117;50.226;-50.226
0;1;118;8.771;-8.771
0;1;119;6.756;-6.756
0;1;120;7.068;-7.068
0;1;121;7.051;-7.051
0;1;122;7.025;-7.025
0;1;123;6.352;-6.352
0;1;124;8.204;-8.204
0;1;125;7.818;-7.818
0;1;126;63.369;-63.369
0;1;127;73.837;-73.837
0;1;128;17.482;-17.482
0;1;129;23.079;0.0
0;1;130;28.206;0.0
0;1;131;21.104;0.0
0;1;132;43.307;0.0
0;1;133;23.719;0.0
0;1;134;21.002;0.0
0;1;135;22.398;156.706
0;1;136;19.141;335.495
0;1;137;21.768;-21.768
0;1;138;54.654;-54.654
0;1;139;56.797;-56.797
0;1;140;53.163;-53.163
0;1;141;49.209;-49.209
0;1;142;8.454;-8.454
0;1;143;6.528;-6.528
0;1;144;7.346;-7.346
0;1;145;6.264;-6.264
0;1;146;7.27;-7.27
0;1;147;8.959;-8.959
0;1;148;8.028;-8.028
0;1;149;6.484;-6.484
0;1;150;59.688;-59.688
0;1;151;75.419;-75.419
0;1;152;21.771;-21.771
0;1;153;22.98;0.0
0;1;154;21.092;0.0
0;1;155;21.182;0.0
0;1;156;47.978;0.0
0;1;157;20.145;0.0
0;1;158;23.405;0.0
0;1;159;21.208;697.593
0;1;160;25.051;199.256
0;1;161;22.773;8.906
0;1;162;55.652;8.906
0;1;163;50.882;-50.882
0;1;164;54.487;-54.487
0;1;165;52.668;-52.668
0;1;166;7.294;-7.294
0;1;167;7.247;-7.247
0;2;0;164.095;-164.095
0;2;1;184.909;-184.909
0;2;2;203.392;449.527
0;2;3;230.556;-230.556
0;2;4;245.584;-202.835
0;2;5;265.574;453.228
0;2;6;370.321;-370.321
0;2;7;375.557;-53.373
0;2;8;329.099;-329.099
0;2;9;331.669;0.0
0;2;10;310.223;0.393
0;2;11;281.669;437.133
0;2;12;232.535;342.896
0;2;13;157.93;8.906
0;2;14;136.61;8.906
0;2;15;114.552;8.906
0;2;16;109.979;8.906
0;2;17;106.491;8.906
0;2;18;205.141;-205.141
0;2;19;226.502;220.813
0;2;20;239.707;8.906
0;2;21;266.523;-266.523
0;2;22;239.476;281.582
0;2;23;288.893;8.906
0;2;24;343.462;-343.462
0;2;25;369.36;-369.36
0;2;26;390.457;328.344
0;2;27;423.509;-386.773
0;2;28;439.026;279.775
0;2;29;468.212;-276.977
0;2;30;562.825;0.0
0;2;31;568.758;0.0
0;2;32;511.429;0.0
0;2;33;493.257;0.0
0;2;34;444.749;0.0
0;2;35;395.281;0.0
0;2;36;335.676;158.704
0;2;37;240.587;360.599
0;2;38;183.805;-183.805
0;2;39;137.641;-137.641
0;2;40;100.581;618.22
0;2;41;101.082;8.906
0;2;42;156.204;8.906
0;2;43;192.488;8.906
0;2;44;217.334;8.906
0;2;45;213.431;8.906
0;2;46;183.168;-183.168
0;2;47;208.385;-166.083
0;2;48;209.737;-209.737
0;2;49;228.387;-228.387
0;2;50;237.239;0.0
0;2;51;248.171;0.0
0;2;52;254.851;0.0
0;2;53;263.345;0.0
0;2;54;249.658;0.0
0;2;55;384.683;0.0
0;2;56;384.236;0.0
0;2;57;247.508;0.0
0;2;58;223.896;0.0
0;2;59;202.545;0.0
0;2;60;161.076;0.0
0;2;61;138.728;112.96
0;2;62;111.83;-111.83
