district;year;TAC;heat_demand;Power_Demand_kW_total;from_network_total;to_network_total;p_stromaustausch_verbundnetz;p_einspeisung_hauptnetz;p_strombezug_hauptnetz;network_LCOE;LCOE_adjusted
ghd6;0;676745.0;4120.671369;2276.01847;311.486011;0.0;0.1069;0.0794;0.159;True;105.7961253395
ghd6;5;588493.0;3770.926312;2276.01847;315.943417;0.0;0.0979;0.0794;0.141;True;97.3207166974
ghd6;10;543503.0;3453.317754;2276.01847;317.792966;0.0;0.0939;0.0794;0.133;True;94.8631706614
ghd6;15;488550.0;3165.018425;2276.01847;319.62621;0.0;0.0869;0.0794;0.119;True;89.7898708396
ghd6;20;478368.0;2884.815851;2276.01847;321.574705;0.0;0.0869;0.0794;0.119;True;92.6919893646
residential2;0;219471.0;2182.646754;335.678623;53.006963;0.0;0.1069;0.0794;0.159;True;87.1495804444
residential2;5;184739.0;1952.032411;335.678623;53.391204;0.0;0.0979;0.0794;0.141;True;80.752768724
residential2;10;170623.0;1783.936851;335.678623;53.453728;0.0;0.0939;0.0794;0.133;True;80.4971477425
residential2;15;152688.0;1635.597751;335.678623;53.476394;0.0;0.0869;0.0794;0.119;True;77.4564145579
residential2;20;146768.0;1485.810886;335.678623;53.403448;0.0;0.0869;0.0794;0.119;True;80.5758140458
mixed1;0;195411.0;2057.83972;405.559295;0.0;358.281602;0.1069;0.0794;0.159;True;79.3257603874
mixed1;5;173501.0;1853.777594;405.559295;0.0;363.134983;0.0979;0.0794;0.141;True;76.7928859383
mixed1;10;164960.0;1699.894722;405.559295;0.0;364.955074;0.0939;0.0794;0.133;True;78.3488970328
mixed1;15;164960.0;1570.272094;405.559295;0.0;366.716835;0.0869;0.0794;0.119;True;83.4889054319
mixed1;20;164960.0;1420.618096;405.559295;0.0;368.482494;0.0869;0.0794;0.119;True;90.3307645904
