scenario;category;metric;device;year;value;unit
example3;power_profile_devs_by_year;power_kW;EB;0;0;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;CC;0;0.0;kWh
example3;power_profile_devs_by_year;power_kW;CC;0;0;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;CHP;0;0.0;kWh
example3;power_profile_devs_by_year;power_kW;CHP;0;0;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;BCHP;0;42679.371;kWh
example3;power_profile_devs_by_year;power_kW;BCHP;0;10;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;WCHP;0;0.0;kWh
example3;power_profile_devs_by_year;power_kW;WCHP;0;0;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;ELYZ;0;0.0;kWh
example3;power_profile_devs_by_year;power_kW;ELYZ;0;0;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;FC;0;0.0;kWh
example3;power_profile_devs_by_year;power_kW;FC;0;0;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;from_grid;0;15170.943;kWh
example3;power_profile_devs_by_year;power_kW;from_grid;0;20;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;to_grid;0;11070.169;kWh
example3;power_profile_devs_by_year;power_kW;to_grid;0;10;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;from_main_grid;0;626.507;kWh
example3;power_profile_devs_by_year;power_kW;from_main_grid;0;20;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;to_main_grid;0;0.0;kWh
example3;power_profile_devs_by_year;power_kW;to_main_grid;0;0;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;from_network;0;14544.436;kWh
example3;power_profile_devs_by_year;power_kW;from_network;0;8;kW
example3;power_profile_devs_by_year;power_profile_energy_kwh;to_network;0;11070.169;kWh
example3;power_profile_devs_by_year;power_kW;to_network;0;10;kW
example3;yearly_totals;from_el_grid_total;;0;15;MWh
example3;yearly_totals;to_el_grid_total;;0;11;MWh
example3;yearly_totals;from_el_main_grid_total;;0;0;MWh
example3;yearly_totals;to_el_main_grid_total;;0;0;MWh
example3;yearly_totals;from_network_total;;0;14;MWh
example3;yearly_totals;to_network_total;;0;11;MWh
example3;yearly_totals;from_gas_grid_total;;0;0;MWh
example3;yearly_totals;to_gas_grid_total;;0;0;MWh
example3;yearly_totals;biom_import_total;;0;121;MWh
example3;yearly_totals;waste_import_total;;0;0;MWh
example3;yearly_totals;hydrogen_import_total;;0;0;MWh
example3;yearly_totals;total_heat_demand_by_year;;0;106.42049063056763;MWh
example3;yearly_totals;total_heat_demand_by_year_only_dem;;0;105.53053496068235;MWh
example3;yearly_totals;total_heat_demand_by_year_only_tes;;0;0.8899556698852795;MWh
example3;yearly_totals;total_power_demand_by_year;;0;57.85031399466628;MWh
example3;yearly_totals;total_heat_supply_by_year;;0;106.420491;MWh
example3;yearly_totals;total_power_supply_by_year;;0;57.85031399999999;MWh
