Support_Year;Cluster;Timestep;HP;EB;from_grid;from_main_grid;Power_Demand_kW
0;0;0;5.441;204.638;0.0;210.079;210.079
0;0;1;7.569;199.019;0.0;206.588;206.588
0;0;2;7.575;194.704;0.0;202.279;202.279
0;0;3;7.682;192.549;0.0;200.232;200.232
0;0;4;7.433;195.567;0.0;202.999;202.999
0;0;5;8.777;199.019;0.0;207.796;207.796
0;0;6;8.799;202.908;0.0;211.707;211.707
0;0;7;23.945;205.07;57.518;286.534;286.534
0;0;8;28.062;205.503;248.019;481.584;481.584
0;0;9;34.716;206.802;195.973;437.491;437.491
0;0;10;43.635;206.802;201.579;452.016;452.016
0;0;11;27.06;202.043;194.953;424.056;424.056
0;0;12;26.952;196.429;165.053;388.434;388.434
0;0;13;29.446;191.688;131.571;352.704;352.704
0;0;14;24.958;188.244;110.666;323.868;323.868
0;0;15;37.252;185.663;124.8;347.715;347.715
0;0;16;42.446;185.663;108.402;336.511;336.511
0;0;17;45.656;186.953;81.321;313.93;313.93
0;0;18;44.483;187.383;90.652;322.518;322.518
0;0;19;54.742;186.523;88.604;329.869;329.869
0;0;20;44.147;186.523;112.117;342.787;342.787
0;0;21;54.243;187.383;104.884;346.51;346.51
0;0;22;52.92;186.523;109.165;348.608;348.608
0;0;23;40.003;188.244;95.522;323.769;323.769
0;0;24;5.5;188.244;48.708;242.452;242.452
0;0;25;13.648;186.953;46.929;247.53;247.53
0;0;26;7.762;186.523;52.944;247.229;247.229
0;0;27;11.201;185.663;51.28;248.145;248.145
0;0;28;8.582;184.374;52.227;245.183;245.183
0;0;29;10.704;182.655;48.769;242.128;242.128
0;0;30;11.694;182.226;84.95;278.87;278.87
0;0;31;25.095;181.796;86.917;293.808;293.808
0;0;32;41.734;181.367;47.812;270.913;270.913
0;0;33;33.09;182.226;49.503;264.819;264.819
0;0;34;35.039;180.938;41.944;257.921;257.921
0;0;35;28.74;179.65;23.434;231.824;231.824
0;0;36;31.043;178.792;20.87;230.704;230.704
0;0;37;26.953;177.934;0.0;204.888;204.888
0;0;38;29.747;177.077;0.0;206.824;206.824
0;0;39;58.153;174.934;0.0;233.087;233.087
0;0;40;50.045;174.934;0.0;224.978;224.978
0;0;41;55.783;175.362;0.0;231.145;231.145
0;0;42;48.996;177.506;0.0;226.501;226.501
0;0;43;47.675;178.363;0.0;226.038;226.038
0;0;44;57.274;178.792;0.0;236.066;236.066
0;0;45;65.014;177.506;0.0;242.519;242.519
0;0;46;46.244;179.65;0.0;225.895;225.895
0;0;47;46.572;178.363;0.0;224.935;224.935
0;0;48;5.851;179.65;0.0;185.501;185.501
0;0;49;10.105;179.65;0.0;189.756;189.756
0;0;50;7.677;178.792;0.0;186.47;186.47
0;0;51;7.246;181.367;0.0;188.613;188.613
0;0;52;8.001;180.509;0.0;188.509;188.509
0;0;53;8.718;178.363;0.0;187.081;187.081
0;0;54;13.673;175.362;0.0;189.036;189.036
0;0;55;31.302;172.364;0.0;203.666;203.666
0;0;56;31.473;172.792;0.0;204.265;204.265
0;0;57;39.338;168.598;0.0;207.936;207.936
0;0;58;45.61;160.662;0.0;206.272;206.272
0;0;59;33.827;153.102;0.0;186.929;186.929
0;0;60;29.735;138.996;0.0;168.731;168.731
0;0;61;28.874;124.772;0.0;153.646;153.646
0;0;62;24.732;119.014;0.0;143.746;143.746
