Support_Year;Cluster;Timestep;HP;EB
0;0;0;0.0;0.0
0;0;1;1118.152;0.0
0;0;2;269.537;0.0
0;0;3;847.637;0.0
0;0;4;870.567;0.0
0;0;5;892.07;0.0
0;0;6;945.016;0.0
0;0;7;795.311;0.0
0;0;8;721.557;0.0
0;0;9;1118.152;0.0
0;0;10;1118.152;0.0
0;0;11;975.084;0.0
0;0;12;1118.152;0.0
0;0;13;87.348;0.0
0;0;14;0.0;0.0
0;0;15;1118.152;0.0
0;0;16;658.642;0.0
0;0;17;0.0;0.0
0;0;18;1118.152;0.0
0;0;19;0.0;0.0
0;0;20;0.0;0.0
0;0;21;1118.152;0.0
0;0;22;1118.152;0.0
0;0;23;1118.152;0.0
0;0;24;0.0;0.0
0;0;25;0.0;0.0
0;0;26;620.002;0.0
0;0;27;1118.152;0.0
0;0;28;1118.152;0.0
0;0;29;1118.152;0.0
0;0;30;368.831;0.0
0;0;31;877.712;0.0
0;0;32;795.998;0.0
0;0;33;1118.152;0.0
0;0;34;1118.152;0.0
0;0;35;1118.152;0.0
0;0;36;1118.152;0.0
0;0;37;1118.152;0.0
0;0;38;1118.152;0.0
0;0;39;1118.152;0.0
0;0;40;1118.152;0.0
0;0;41;0.0;0.0
0;0;42;1118.152;0.0
0;0;43;1039.544;0.0
0;0;44;0.0;0.0
0;0;45;0.0;0.0
0;0;46;0.0;0.0
0;0;47;0.0;0.0
0;0;48;0.0;0.0
0;0;49;0.0;0.0
0;0;50;0.0;0.0
0;0;51;0.0;0.0
0;0;52;0.0;0.0
0;0;53;0.0;0.0
0;0;54;311.79;0.0
0;0;55;394.082;0.0
0;0;56;391.332;0.0
0;0;57;550.189;0.0
0;0;58;1118.152;0.0
0;0;59;1118.152;0.0
0;0;60;1118.152;0.0
0;0;61;0.0;0.0
0;0;62;0.0;0.0
0;0;63;1118.152;0.0
0;0;64;1118.152;0.0
0;0;65;0.0;0.0
0;0;66;0.0;0.0
0;0;67;179.526;0.0
0;0;68;1118.152;0.0
0;0;69;1118.152;0.0
0;0;70;1118.152;0.0
0;0;71;1118.152;0.0
0;0;72;0.0;0.0
0;0;73;0.0;0.0
0;0;74;0.0;0.0
0;0;75;0.0;0.0
0;0;76;0.0;0.0
0;0;77;0.0;0.0
0;0;78;0.0;0.0
0;0;79;0.0;0.0
0;0;80;0.0;0.0
0;0;81;0.0;0.0
0;0;82;1118.152;0.0
0;0;83;1118.152;0.0
0;0;84;1118.152;0.0
0;0;85;1118.152;0.0
0;0;86;1118.152;0.0
0;0;87;1118.152;0.0
0;0;88;1118.152;0.0
0;0;89;1118.152;0.0
0;0;90;1118.152;0.0
0;0;91;1118.152;0.0
0;0;92;1118.152;0.0
0;0;93;1118.152;0.0
0;0;94;1118.152;0.0
0;0;95;1118.152;0.0
0;0;96;1118.152;0.0
0;0;97;1118.152;0.0
0;0;98;1118.152;0.0
0;0;99;1118.152;0.0
0;0;100;1118.152;0.0
0;0;101;1118.152;0.0
0;0;102;1118.152;0.0
0;0;103;1118.152;0.0
0;0;104;1118.152;0.0
0;0;105;1118.152;0.0
0;0;106;1118.152;0.0
0;0;107;1118.152;0.0
0;0;108;1118.152;0.0
0;0;109;1118.152;0.0
0;0;110;1118.152;258.136
0;0;111;1118.152;258.136
0;0;112;1118.152;0.0
0;0;113;1118.152;0.0
0;0;114;1118.152;0.0
0;0;115;1118.152;0.0
0;0;116;1118.152;0.0
0;0;117;1118.152;0.0
0;0;118;1118.152;0.0
0;0;119;1118.152;0.0
0;0;120;1118.152;36.46
0;0;121;1118.152;202.068
0;0;122;1118.152;207.103
0;0;123;1118.152;222.071
0;0;124;1118.152;223.947
0;0;125;1118.152;232.669
0;0;126;1118.152;258.136
0;0;127;1118.152;100.787
0;0;128;1118.152;2.166
0;0;129;1118.152;157.376
0;0;130;1118.152;123.581
0;0;131;1118.152;0.0
0;0;132;1118.152;0.0
0;0;133;1118.152;0.0
0;0;134;1118.152;0.0
0;0;135;1118.152;105.444
0;0;136;1118.152;0.0
0;0;137;1118.152;12.579
0;0;138;1118.152;0.0
0;0;139;1118.152;0.0
0;0;140;1118.152;0.0
0;0;141;1118.152;0.0
0;0;142;1118.152;0.0
0;0;143;1118.152;0.0
0;0;144;1118.152;0.0
0;0;145;1118.152;0.0
0;0;146;1118.152;0.0
0;0;147;1118.152;0.0
0;0;148;1118.152;0.0
0;0;149;1118.152;0.0
0;0;150;1118.152;0.0
0;0;151;1118.152;0.0
0;0;152;1118.152;0.0
0;0;153;1118.152;99.857
0;0;154;1118.152;84.269
0;0;155;1118.152;258.136
0;0;156;1118.152;258.136
0;0;157;1118.152;184.413
0;0;158;1118.152;0.0
0;0;159;1118.152;0.0
0;0;160;1118.152;163.232
0;0;161;1118.152;0.0
0;0;162;1118.152;0.0
0;0;163;1118.152;0.0
0;0;164;1118.152;0.0
0;0;165;1118.152;0.0
0;0;166;1118.152;0.0
0;0;167;1118.152;0.0
0;1;0;0.0;0.0
0;1;1;0.0;0.0
0;1;2;0.0;0.0
0;1;3;0.0;0.0
0;1;4;0.0;0.0
0;1;5;0.0;0.0
0;1;6;0.0;0.0
0;1;7;0.0;0.0
0;1;8;0.0;0.0
0;1;9;0.0;0.0
0;1;10;0.0;0.0
0;1;11;0.0;0.0
0;1;12;0.0;0.0
0;1;13;0.0;0.0
0;1;14;0.0;0.0
