district;year;ghg_base;grid_ef;from_network_total;deduction;ghg_rebalanced
ghd6;2025;6072.0;0.328;0.0;0.0;6072.0
ghd6;2030;1806.0;0.103;0.0;0.0;1806.0
ghd6;2035;825.0;0.049;0.0;0.0;825.0
ghd6;2040;442.0;0.027;0.0;0.0;442.0
ghd6;2045;0.0;0.025;0.0;0.0;0.0
residential2;2025;2584.0;0.328;0.0;0.0;2584.0
residential2;2030;1755.0;0.103;0.0;0.0;1755.0
residential2;2035;492.0;0.049;0.0;0.0;492.0
residential2;2040;220.0;0.027;0.0;0.0;220.0
residential2;2045;0.0;0.025;0.0;0.0;0.0
mixed1;2025;1341.0;0.328;0.0;0.0;1341.0
mixed1;2030;372.0;0.103;0.0;0.0;372.0
mixed1;2035;165.0;0.049;0.0;0.0;165.0
mixed1;2040;85.0;0.027;0.0;0.0;85.0
mixed1;2045;0.0;0.025;0.0;0.0;0.0
