Support_Year;Cluster;Timestep;Heat_Demand_kW;Heat_Demand_TES_kW
0;0;0;774.211;-774.211
0;0;1;791.662;224.146
0;0;2;842.26;-842.26
0;0;3;847.637;0.0
0;0;4;870.567;0.0
0;0;5;892.07;0.0
0;0;6;945.016;0.0
0;0;7;795.311;0.0
0;0;8;721.557;0.0
0;0;9;734.528;0.0
0;0;10;643.265;0.0
0;0;11;608.437;0.0
0;0;12;536.64;0.0
0;0;13;479.685;489.978
0;0;14;485.079;-485.079
0;0;15;500.558;0.0
0;0;16;475.567;0.0
0;0;17;447.578;0.0
0;0;18;516.85;874.454
0;0;19;558.248;-558.248
0;0;20;606.668;-304.387
0;0;21;660.175;731.128
0;0;22;664.157;727.147
0;0;23;720.845;670.459
0;0;24;787.298;-787.298
0;0;25;814.711;-814.711
0;0;26;845.957;-466.141
0;0;27;873.014;518.29
0;0;28;886.792;504.512
0;0;29;937.459;453.844
0;0;30;1012.329;-1012.329
0;0;31;877.712;-430.001
0;0;32;795.998;0.0
0;0;33;802.166;0.0
0;0;34;707.97;0.0
0;0;35;645.067;0.0
0;0;36;637.834;0.0
0;0;37;543.093;0.0
0;0;38;498.151;0.0
0;0;39;504.492;0.0
0;0;40;455.285;533.062
0;0;41;454.186;937.118
0;0;42;537.699;853.605
0;0;43;533.895;857.409
0;0;44;629.577;761.727
0;0;45;703.117;-703.117
0;0;46;709.001;-709.001
0;0;47;756.768;-756.768
0;0;48;213.471;-213.471
0;0;49;232.725;-232.725
0;0;50;247.572;-247.572
0;0;51;266.904;-266.904
0;0;52;290.949;-290.949
0;0;53;295.433;-295.433
0;0;54;311.79;0.0
0;0;55;394.082;0.0
0;0;56;391.332;0.0
0;0;57;356.897;0.0
0;0;58;337.435;0.0
0;0;59;316.81;0.0
0;0;60;285.172;603.33
0;0;61;296.732;-296.732
0;0;62;297.559;-297.559
0;0;63;308.31;0.0
0;0;64;250.838;0.0
0;0;65;213.284;0.0
0;0;66;246.768;0.0
0;0;67;232.387;304.79
0;0;68;231.489;1159.814
0;0;69;207.847;1183.457
0;0;70;225.646;1165.657
0;0;71;241.08;1150.223
0;0;72;327.372;-327.372
0;0;73;352.682;-352.682
0;0;74;392.446;-392.446
0;0;75;408.49;-408.49
0;0;76;429.106;-429.106
0;0;77;459.945;-459.945
0;0;78;479.812;-479.812
0;0;79;581.079;-581.079
0;0;80;613.141;-613.141
0;0;81;548.594;-548.594
0;0;82;548.183;0.0
0;0;83;515.058;0.0
0;0;84;513.575;0.0
