scenario;category;metric;device;year;value;unit
example1;optimization;tac_distr;;;14418;EUR/a
example1;optimization;co2_distr;;;1;t/a
example1;optimization;tac_per_distr_year;;0;14418;EUR/a
example1;optimization;co2_sum_distr_year;;0;1;t/a
example1;optimization;LCOE_year;;0;121.71917417803614;EUR/MWh
example1;cost;co2_tax_total;;;0;EUR/a
example1;cost;total_inv_cost;;;110972;EUR/a
example1;cost;total_inv_cost_unsubsidized;;;131290;EUR/a
example1;cost;total_ann_inv_cost;;;9423;EUR/a
example1;cost;total_ann_inv_cost_unsubsidized;;;10914;EUR/a
example1;cost;total_om_cost;;;2325;EUR/a
example1;cost;supply_costs_el;;;2669;EUR/a
example1;cost;cap_costs_el;;;0;EUR/a
example1;cost;total_el_costs;;;2669;EUR/a
example1;cost;rev_feed_in_el;;;0;EUR/a
example1;cost;supply_costs_gas;;;0;EUR/a
example1;cost;cap_costs_gas;;;0;EUR/a
example1;cost;total_gas_costs;;;0;EUR/a
example1;cost;rev_feed_in_gas;;;0;EUR/a
example1;cost;supply_costs_biom;;;2626;EUR/a
example1;cost;supply_costs_waste;;;0;EUR/a
example1;cost;supply_costs_hydrogen;;;0;EUR/a
example1;co2;co2_onsite_emissions;;;0;t/a
example1;co2;co2_credit_feedin;;;0;t/a
example1;co2;total_co2_el;;;0;t/a
example1;co2;total_co2_el_feed_in;;;0;t/a
example1;co2;total_co2_gas;;;0;t/a
example1;co2;total_co2_gas_feed_in;;;0;t/a
example1;co2;total_co2_biom;;;0;t/a
example1;co2;total_co2_waste;;;0;t/a
example1;co2;total_co2_hydrogen;;;0;t/a
example1;grid;from_el_grid_total;;;14;MWh
example1;grid;to_el_grid_total;;;2;MWh
example1;grid;from_el_main_grid_total;;;0;MWh
example1;grid;to_el_main_grid_total;;;0;MWh
example1;grid;from_network_total;;;13;MWh
example1;grid;to_network_total;;;2;MWh
example1;grid;from_gas_grid_total;;;0;MWh
example1;grid;to_gas_grid_total;;;0;MWh
example1;grid;biom_import_total;;;45;MWh
example1;grid;waste_import_total;;;0;MWh
example1;grid;hydrogen_import_total;;;0;MWh
example1;grid;max_el_from_grid;;;14;kW
example1;grid;max_el_to_grid;;;3;kW
example1;grid;max_el_from_main_grid;;;7;kW
example1;grid;max_el_to_main_grid;;;0;kW
example1;grid;max_el_from_network;;;10;kW
example1;grid;max_el_to_network;;;3;kW
example1;grid;max_gas_from_grid;;;0;kW
example1;grid;max_gas_to_grid;;;0;kW
example1;grid;max_biom;;;10;
example1;grid;max_waste;;;0;
example1;grid;max_hydrogen;;;0;
example1;area;PV;PV;;0;qm
example1;area;STC;STC;;0;qm
example1;storage_volume;vol_liter;TES;;1283.0;l
example1;storage_volume;vol_liter;CTES;;0;l
example1;device;capacity;HP;;57.0;kW
example1;device_cost;inv;HP;;0.0;EUR
example1;device_cost;ann_inv;HP;;0.0;EUR/a
example1;device_cost;ann_inv_unsubsidized;HP;;5694.72;EUR/a
example1;device_cost;om_cost;HP;;2088.06;EUR/a
example1;device;capacity;BCHP;;3.5;kW
example1;device_cost;inv;BCHP;;4032.05;EUR
example1;device_cost;ann_inv;BCHP;;403.2;EUR/a
example1;device_cost;ann_inv_unsubsidized;BCHP;;403.2;EUR/a
example1;device_cost;om_cost;BCHP;;120.96;EUR/a
example1;device;capacity;TES;;44.7;kWh
example1;device_cost;inv;TES;;82.15;EUR
example1;device_cost;ann_inv;TES;;8.22;EUR/a
example1;device_cost;ann_inv_unsubsidized;TES;;70.57;EUR/a
example1;device_cost;om_cost;TES;;9.17;EUR/a
example1;peak;peak_heat_uncl;;;37.7217078203059;kW
example1;peak;peak_power_uncl;;;7.462492787812535;kW
example1;peak;peak_heat_cl;;;27.36112317478506;kW
example1;peak;peak_power_cl;;;5.471073012499147;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;STC;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;HP;0;63694.767;kWh
example1;heat_profile_devs_by_year;heat_kW;HP;0;57;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;EB;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;EB;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;AC;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;AC;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;CHP;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;CHP;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;BOI;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;BOI;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;GHP;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;GHP;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;BCHP;0;24905.535;kWh
example1;heat_profile_devs_by_year;heat_kW;BCHP;0;5;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;BBOI;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;BBOI;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;WCHP;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;WCHP;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;WBOI;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;WBOI;0;0;kW
example1;heat_profile_energy_by_year;heat_profile_energy_kwh;FC;0;0.0;kWh
example1;heat_profile_devs_by_year;heat_kW;FC;0;0;kW
example1;tes_charge_loss_by_year;tes_charge_loss_kwh;TES;0;;MWh
example1;power_profile_devs_by_year;power_profile_energy_kwh;PV;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;PV;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;WT;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;WT;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;WAT;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;WAT;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;HP;0;20522.397;kWh
example1;power_profile_devs_by_year;power_kW;HP;0;17;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;EB;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;EB;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;CC;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;CC;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;CHP;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;CHP;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;BCHP;0;15848.977;kWh
example1;power_profile_devs_by_year;power_kW;BCHP;0;3;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;WCHP;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;WCHP;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;ELYZ;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;ELYZ;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;FC;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;FC;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;from_grid;0;14003.71;kWh
example1;power_profile_devs_by_year;power_kW;from_grid;0;14;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;to_grid;0;2392.977;kWh
example1;power_profile_devs_by_year;power_kW;to_grid;0;3;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;from_main_grid;0;272.812;kWh
example1;power_profile_devs_by_year;power_kW;from_main_grid;0;7;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;to_main_grid;0;0.0;kWh
example1;power_profile_devs_by_year;power_kW;to_main_grid;0;0;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;from_network;0;13730.898;kWh
example1;power_profile_devs_by_year;power_kW;from_network;0;10;kW
example1;power_profile_devs_by_year;power_profile_energy_kwh;to_network;0;2392.977;kWh
example1;power_profile_devs_by_year;power_kW;to_network;0;3;kW
example1;yearly_totals;from_el_grid_total;;0;14;MWh
example1;yearly_totals;to_el_grid_total;;0;2;MWh
example1;yearly_totals;from_el_main_grid_total;;0;0;MWh
example1;yearly_totals;to_el_main_grid_total;;0;0;MWh
example1;yearly_totals;from_network_total;;0;13;MWh
example1;yearly_totals;to_network_total;;0;2;MWh
example1;yearly_totals;from_gas_grid_total;;0;0;MWh
example1;yearly_totals;to_gas_grid_total;;0;0;MWh
example1;yearly_totals;biom_import_total;;0;45;MWh
example1;yearly_totals;waste_import_total;;0;0;MWh
example1;yearly_totals;hydrogen_import_total;;0;0;MWh
example1;yearly_totals;total_heat_demand_by_year;;0;88.60030149104774;MWh
example1;yearly_totals;total_heat_demand_by_year_only_dem;;0;87.83172638286835;MWh
example1;yearly_totals;total_heat_demand_by_year_only_tes;;0;0.7685751081793897;MWh
example1;yearly_totals;total_power_demand_by_year;;0;29.852686980645984;MWh
example1;yearly_totals;total_heat_supply_by_year;;0;88.600302;MWh
example1;yearly_totals;total_power_supply_by_year;;0;29.852687;MWh
