Support_Year;Cluster;Timestep;PV;HP;EB;from_grid;to_grid;from_main_grid;to_main_grid;to_network
0;0;0;0.0;235.261;0.0;252.334;0.0;252.334;0.0;0.0
0;0;1;0.0;237.588;0.0;261.636;0.0;261.636;0.0;0.0
0;0;2;0.0;242.246;0.0;263.751;0.0;263.751;0.0;0.0
0;0;3;0.0;243.994;0.0;267.608;0.0;267.608;0.0;0.0
0;0;4;0.0;244.577;0.0;268.226;0.0;268.226;0.0;0.0
0;0;5;0.0;243.411;0.0;268.803;0.0;268.803;0.0;0.0
0;0;6;0.0;241.081;0.0;267.149;0.0;267.149;0.0;0.0
0;0;7;1.491;235.842;0.0;304.181;0.0;304.181;0.0;0.0
0;0;8;20.855;228.867;0.0;311.566;0.0;311.566;0.0;0.0
0;0;9;209.246;0.0;0.0;0.0;123.587;0.0;0.0;123.587
0;0;10;217.791;12.694;0.0;0.0;127.983;0.0;0.0;127.983
0;0;11;122.2;47.052;0.0;0.0;0.0;0.0;0.0;0.0
0;0;12;422.152;133.637;0.0;0.0;223.651;0.0;0.0;223.651
0;0;13;660.977;199.909;0.0;0.0;382.269;0.0;0.0;382.269
0;0;14;473.762;197.599;0.0;0.0;195.404;0.0;0.0;195.404
0;0;15;185.298;0.0;0.0;0.0;114.548;0.0;0.0;114.548
0;0;16;116.073;27.517;0.0;0.0;0.67;0.0;0.0;0.67
0;0;17;66.516;210.315;0.0;255.256;0.0;255.256;0.0;0.0
0;0;18;26.653;210.315;0.0;312.839;0.0;312.839;0.0;0.0
0;0;19;0.0;212.63;0.0;348.39;0.0;348.39;0.0;0.0
0;0;20;0.0;213.788;0.0;351.967;0.0;351.967;0.0;0.0
0;0;21;0.0;221.902;0.0;346.475;0.0;346.475;0.0;0.0
0;0;22;0.0;234.097;0.0;330.445;0.0;330.445;0.0;0.0
0;0;23;0.0;201.557;0.0;285.133;0.0;285.133;0.0;0.0
0;0;24;0.0;239.916;0.0;257.227;0.0;257.227;0.0;0.0
0;0;25;0.0;240.498;0.0;268.045;0.0;268.045;0.0;0.0
0;0;26;0.0;242.246;0.0;266.183;0.0;266.183;0.0;0.0
0;0;27;0.0;243.994;0.0;267.964;0.0;267.964;0.0;0.0
0;0;28;0.0;243.994;0.0;265.334;0.0;265.334;0.0;0.0
0;0;29;0.0;244.577;0.0;268.301;0.0;268.301;0.0;0.0
0;0;30;0.0;248.658;8.693;286.043;0.0;286.043;0.0;0.0
0;0;31;1.5;248.658;88.031;410.212;0.0;410.212;0.0;0.0
0;0;32;89.181;248.075;88.031;352.226;0.0;352.226;0.0;0.0
0;0;33;189.942;110.125;0.0;0.0;0.0;0.0;0.0;0.0
0;0;34;205.243;126.197;0.0;0.0;0.0;0.0;0.0;0.0
0;0;35;173.812;98.798;0.0;0.0;0.0;0.0;0.0;0.0
0;0;36;153.455;82.536;0.0;0.0;0.0;0.0;0.0;0.0
0;0;37;128.677;49.73;0.0;0.0;0.0;0.0;0.0;0.0
0;0;38;148.907;72.671;0.0;0.0;0.0;0.0;0.0;0.0
0;0;39;231.31;153.15;0.0;0.0;0.0;0.0;0.0;0.0
0;0;40;145.627;64.828;0.0;0.0;0.0;0.0;0.0;0.0
0;0;41;50.759;173.314;0.0;226.872;0.0;226.872;0.0;0.0
0;0;42;14.922;188.699;0.0;306.771;0.0;306.771;0.0;0.0
0;0;43;0.0;195.241;0.0;321.262;0.0;321.262;0.0;0.0
0;0;44;0.0;202.689;0.0;332.017;0.0;332.017;0.0;0.0
0;0;45;0.0;206.964;0.0;323.134;0.0;323.134;0.0;0.0
0;0;46;0.0;180.643;0.0;300.832;0.0;300.832;0.0;0.0
0;0;47;0.0;189.344;0.0;262.826;0.0;262.826;0.0;0.0
0;0;48;0.0;205.741;0.0;222.773;0.0;222.773;0.0;0.0
0;0;49;0.0;232.934;0.0;258.612;0.0;258.612;0.0;0.0
0;0;50;0.0;232.353;0.0;255.671;0.0;255.671;0.0;0.0
0;0;51;0.0;232.934;0.0;254.815;0.0;254.815;0.0;0.0
0;0;52;0.0;231.772;0.0;252.078;0.0;252.078;0.0;0.0
0;0;53;0.0;231.772;0.0;253.282;0.0;253.282;0.0;0.0
0;0;54;0.0;230.61;0.0;257.466;0.0;257.466;0.0;0.0
0;0;55;2.975;228.867;0.0;292.238;0.0;292.238;0.0;0.0
0;0;56;64.212;228.867;0.0;257.399;0.0;257.399;0.0;0.0
0;0;57;151.97;0.0;0.0;0.0;69.705;0.0;0.0;69.705
0;0;58;315.687;31.533;0.0;0.0;206.272;0.0;0.0;206.272
0;0;59;642.212;175.399;0.0;0.0;405.963;0.0;0.0;405.963
0;0;60;736.963;209.736;0.0;0.0;461.063;0.0;74.552;386.51
0;0;61;399.111;103.381;0.0;0.0;222.734;0.0;0.0;222.734
0;0;62;415.754;70.323;0.0;0.0;270.604;0.0;0.0;270.604
0;0;63;872.12;199.909;0.0;0.0;603.52;0.0;227.441;376.08
0;0;64;543.904;86.916;0.0;0.0;374.906;0.0;0.0;374.906
0;0;65;203.575;0.0;0.0;0.0;122.353;0.0;0.0;122.353
0;0;66;44.972;50.486;0.0;118.87;0.0;118.87;0.0;0.0
0;0;67;0.0;202.219;0.0;331.029;0.0;331.029;0.0;0.0
0;0;68;0.0;61.294;0.0;185.388;0.0;185.388;0.0;0.0
0;0;69;0.0;0.0;0.0;126.043;0.0;126.043;0.0;0.0
0;0;70;0.0;100.087;0.0;222.254;0.0;222.254;0.0;0.0
0;0;71;0.0;92.303;0.0;171.902;0.0;171.902;0.0;0.0
0;0;72;0.0;209.736;0.0;227.505;0.0;227.505;0.0;0.0
0;0;73;0.0;149.271;0.0;175.176;0.0;175.176;0.0;0.0
0;0;74;0.0;213.209;0.0;234.287;0.0;234.287;0.0;0.0
0;0;75;0.0;213.209;0.0;236.219;0.0;236.219;0.0;0.0
0;0;76;0.0;211.472;0.0;232.575;0.0;232.575;0.0;0.0
0;0;77;0.0;210.893;0.0;231.676;0.0;231.676;0.0;0.0
0;0;78;0.0;210.893;0.0;238.311;0.0;238.311;0.0;0.0
0;0;79;0.0;210.315;0.0;252.49;0.0;252.49;0.0;0.0
0;0;80;44.321;208.579;0.0;218.747;0.0;218.747;0.0;0.0
0;0;81;101.23;0.0;0.0;0.0;36.837;0.0;0.0;36.837
0;0;82;140.443;0.0;0.0;0.0;54.793;0.0;0.0;54.793
0;0;83;161.225;0.0;0.0;0.0;87.594;0.0;0.0;87.594
0;0;84;177.993;0.0;0.0;0.0;106.72;0.0;0.0;106.72
0;0;85;180.952;57.248;0.0;0.0;52.048;0.0;0.0;52.048
0;0;86;88.343;15.971;0.0;0.0;0.0;0.0;0.0;0.0
0;0;87;131.276;63.373;0.0;0.0;0.0;0.0;0.0;0.0
0;0;88;108.999;45.48;0.0;0.0;0.0;0.0;0.0;0.0
0;0;89;51.48;201.064;0.0;252.068;0.0;252.068;0.0;0.0
0;0;90;13.321;216.105;0.0;314.364;0.0;314.364;0.0;0.0
0;0;91;0.0;216.684;0.0;327.27;0.0;327.27;0.0;0.0
0;0;92;0.0;219.002;0.0;319.348;0.0;319.348;0.0;0.0
0;0;93;0.0;220.742;0.0;341.197;0.0;341.197;0.0;0.0
0;0;94;0.0;168.192;0.0;256.508;0.0;256.508;0.0;0.0
0;0;95;0.0;227.124;0.0;304.441;0.0;304.441;0.0;0.0
0;0;96;0.0;230.61;0.0;247.154;0.0;247.154;0.0;0.0
0;0;97;0.0;207.1;0.0;240.154;0.0;240.154;0.0;0.0
0;0;98;0.0;221.408;0.0;244.32;0.0;244.32;0.0;0.0
0;0;99;0.0;207.959;0.0;229.709;0.0;229.709;0.0;0.0
0;0;100;0.0;243.994;0.0;266.403;0.0;266.403;0.0;0.0
0;0;101;0.0;245.742;0.0;272.03;0.0;272.03;0.0;0.0
0;0;102;0.0;245.159;0.0;274.027;0.0;274.027;0.0;0.0
0;0;103;2.997;243.994;0.0;300.473;0.0;300.473;0.0;0.0
0;0;104;222.773;0.0;0.0;0.0;162.026;0.0;0.0;162.026
0;0;105;554.185;242.246;0.0;0.0;235.104;0.0;0.0;235.104
0;0;106;774.426;239.334;0.0;0.0;440.82;0.0;0.0;440.82
0;0;107;294.659;26.432;0.0;0.0;188.442;0.0;0.0;188.442
0;0;108;551.929;235.261;0.0;0.0;231.793;0.0;0.0;231.793
0;0;109;463.24;172.394;0.0;0.0;196.476;0.0;0.0;196.476
0;0;110;529.549;230.029;0.0;0.0;227.276;0.0;0.0;227.276
0;0;111;320.61;31.018;0.0;0.0;209.023;0.0;0.0;209.023
0;0;112;648.809;228.286;0.0;0.0;345.118;0.0;0.0;345.118
0;0;113;599.191;227.124;0.0;0.0;273.807;0.0;0.0;273.807
0;0;114;182.307;0.0;0.0;0.0;81.547;0.0;0.0;81.547
0;0;115;1.486;229.448;0.0;358.531;0.0;358.531;0.0;0.0
0;0;116;0.0;230.029;0.0;339.876;0.0;339.876;0.0;0.0
0;0;117;0.0;231.772;0.0;341.119;0.0;341.119;0.0;0.0
0;0;118;0.0;238.752;0.0;340.604;0.0;340.604;0.0;0.0
0;0;119;0.0;242.828;0.0;323.313;0.0;323.313;0.0;0.0
0;0;120;0.0;250.409;0.0;267.573;0.0;267.573;0.0;0.0
0;0;121;0.0;249.242;0.0;281.942;0.0;281.942;0.0;0.0
0;0;122;0.0;251.576;0.0;276.088;0.0;276.088;0.0;0.0
0;0;123;0.0;249.242;0.0;273.351;0.0;273.351;0.0;0.0
0;0;124;0.0;247.492;0.0;269.491;0.0;269.491;0.0;0.0
0;0;125;0.0;249.825;0.0;273.297;0.0;273.297;0.0;0.0
0;0;126;0.0;248.075;0.0;278.025;0.0;278.025;0.0;0.0
0;0;127;13.49;246.909;0.0;323.124;0.0;323.124;0.0;0.0
0;0;128;90.765;248.658;0.0;262.286;0.0;262.286;0.0;0.0
0;0;129;180.473;0.0;0.0;0.0;110.157;0.0;0.0;110.157
0;0;130;409.78;243.411;0.0;0.0;81.667;0.0;0.0;81.667
0;0;131;337.381;238.17;0.0;0.0;25.682;0.0;0.0;25.682
0;0;132;188.152;118.632;0.0;0.0;0.0;0.0;0.0;0.0
