Support_Year;Cluster;Timestep;HP
0;0;0;610.355
0;0;1;610.355
0;0;2;0.0
0;0;3;378.69
0;0;4;507.849
0;0;5;512.246
0;0;6;565.44
0;0;7;563.548
0;0;8;478.318
0;0;9;438.353
0;0;10;392.685
0;0;11;353.034
0;0;12;354.799
0;0;13;610.355
0;0;14;610.355
0;0;15;610.355
0;0;16;610.355
0;0;17;0.0
0;0;18;610.355
0;0;19;284.31
0;0;20;610.355
0;0;21;373.847
0;0;22;0.0
0;0;23;0.0
0;0;24;0.0
0;0;25;249.119
0;0;26;468.091
0;0;27;483.971
0;0;28;494.82
0;0;29;610.355
0;0;30;483.163
0;0;31;589.049
0;0;32;533.595
0;0;33;524.279
0;0;34;504.254
0;0;35;484.658
0;0;36;610.355
0;0;37;334.552
0;0;38;450.61
0;0;39;446.116
0;0;40;419.667
0;0;41;413.923
0;0;42;450.15
0;0;43;462.292
0;0;44;467.819
0;0;45;479.735
0;0;46;438.088
0;0;47;450.125
0;0;48;385.245
0;0;49;385.016
0;0;50;392.405
0;0;51;403.49
0;0;52;408.093
0;0;53;416.608
0;0;54;416.163
0;0;55;515.084
0;0;56;525.493
0;0;57;418.852
0;0;58;395.268
0;0;59;355.212
0;0;60;322.658
0;0;61;302.376
0;0;62;296.561
0;0;63;302.398
0;0;64;268.436
0;0;65;204.14
0;0;66;195.054
0;0;67;610.355
0;0;68;112.978
0;0;69;0.0
0;0;70;272.16
0;0;71;252.565
0;0;72;567.127
0;0;73;0.0
0;0;74;302.352
0;0;75;306.704
0;0;76;306.223
0;0;77;311.311
0;0;78;312.957
0;0;79;416.285
0;0;80;413.524
0;0;81;311.908
0;0;82;296.007
0;0;83;280.382
0;0;84;260.65
0;0;85;245.863
0;0;86;610.355
0;0;87;610.355
0;0;88;610.355
0;0;89;610.355
0;0;90;0.0
0;0;91;561.692
0;0;92;54.38
0;0;93;610.355
0;0;94;0.0
0;0;95;610.355
0;0;96;592.762
0;0;97;506.611
0;0;98;173.293
0;0;99;0.0
0;0;100;0.0
0;0;101;552.398
0;0;102;604.531
0;0;103;610.355
0;0;104;551.726
0;0;105;537.895
0;0;106;507.658
0;0;107;474.064
0;0;108;488.886
0;0;109;453.44
0;0;110;440.287
0;0;111;433.962
0;0;112;403.706
0;0;113;610.355
0;0;114;610.355
0;0;115;610.355
0;0;116;610.355
0;0;117;610.355
0;0;118;610.355
0;0;119;610.355
0;0;120;0.0
0;0;121;0.0
0;0;122;312.585
0;0;123;538.581
0;0;124;542.479
0;0;125;568.934
0;0;126;610.355
0;0;127;610.355
0;0;128;555.974
0;0;129;556.79
0;0;130;531.5
0;0;131;489.015
0;0;132;488.431
0;0;133;439.896
0;0;134;610.355
0;0;135;610.355
0;0;136;610.355
0;0;137;206.973
0;0;138;610.355
0;0;139;610.355
0;0;140;610.355
0;0;141;610.355
0;0;142;610.355
0;0;143;0.0
0;0;144;0.0
0;0;145;544.061
0;0;146;559.306
0;0;147;585.353
0;0;148;610.355
0;0;149;610.355
0;0;150;610.355
0;0;151;610.355
0;0;152;576.135
0;0;153;574.338
0;0;154;560.052
0;0;155;532.815
0;0;156;517.183
0;0;157;458.914
0;0;158;425.798
0;0;159;401.689
0;0;160;610.355
0;0;161;610.355
0;0;162;610.355
0;0;163;610.355
0;0;164;610.355
0;0;165;0.0
0;0;166;578.914
0;0;167;0.0
0;1;0;0.0
0;1;1;0.0
0;1;2;0.0
0;1;3;0.0
0;1;4;0.0
0;1;5;0.0
0;1;6;0.0
0;1;7;0.0
0;1;8;0.0
0;1;9;0.0
0;1;10;0.0
0;1;11;0.0
0;1;12;0.0
0;1;13;0.0
0;1;14;0.0
0;1;15;0.0
0;1;16;15.295
0;1;17;12.966
0;1;18;139.033
0;1;19;0.0
0;1;20;0.0
0;1;21;0.0
0;1;22;0.0
0;1;23;0.0
0;1;24;5.004
0;1;25;6.39
0;1;26;6.674
0;1;27;6.724
0;1;28;6.066
0;1;29;43.699
0;1;30;0.0
0;1;31;46.561
0;1;32;14.892
0;1;33;15.574
0;1;34;20.324
0;1;35;15.802
0;1;36;27.639
0;1;37;13.811
0;1;38;14.684
0;1;39;31.71
0;1;40;0.0
0;1;41;396.847
0;1;42;0.0
0;1;43;0.0
0;1;44;0.0
0;1;45;0.0
