elec,dhw,occ,gains
584.3237165326777,0.0,34.0,2572.826826455784
822.2609966847774,0.0,34.0,2651.3461289059765
1224.0426258738905,190.6581117816364,34.0,2783.934066538384
859.1987538323583,0.0,34.0,2663.535588764678
1067.9731521400554,0.0,34.0,2732.431140206218
939.6045784689322,4158.10734741109,34.0,2690.069510894748
1186.8642254876495,13772.735153842548,34.0,2866.390989390741
1719.2804521357334,9183.166910365602,34.0,3132.709555985272
7828.858298944739,2630.961917240656,11.0,3737.983036656464
2368.4815711311926,1398.2695769901543,10.0,1718.5437967744576
2255.2121199853223,1321.795985091836,9.0,1576.3964639095368
3243.350851116178,704.6580905531064,8.0,1747.0175323477288
3462.676869816505,1215.0180061344263,10.0,1895.4873906199773
2849.1197491328703,1833.4340146829422,12.0,1817.1226716119447
8596.188304833351,1532.0090594948483,12.0,3705.8099237913693
1305.5194101041284,1283.7025426548082,14.0,1419.5524210496187
6553.496133787243,2605.3499619478666,21.0,3659.192970376871
9438.950968370882,2953.21429297294,25.0,4965.745207056893
5617.580437287678,2739.2365920266507,25.0,3965.001990340456
8284.73082810274,4107.308962624736,24.0,4886.735922470367
10444.547276877482,5097.898526627262,25.0,5731.353652078421
9510.00681937577,2499.2123902364165,34.0,6113.329993424594
9441.91907417123,3139.410338758513,34.0,6025.886397977321
8755.12196313325,851.379024841898,34.0,5778.145128795326
584.3237165326777,0.0,34.0,2572.826826455784
831.4614594327129,0.0,34.0,2676.673750799278
1044.3726179727903,0.0,34.0,2724.6429639310204
658.0424617103431,0.0,34.0,2597.1540123644136
754.4358078509663,0.0,34.0,2628.9638165908186
995.7015464521442,1313.1743245622629,34.0,2708.581510329207
2827.313871832783,3066.655423579322,34.0,3359.7256234195715
969.4095042074282,6805.91434251674,34.0,2783.6303444358523
1298.2640785765348,3350.436292212813,8.0,1163.5738516786885
1254.3951409792207,1628.6493405584315,8.0,1055.1622250802782
5445.537135265467,2147.7798444193977,6.0,2375.7232455506023
2357.792626721276,1428.2288722203862,8.0,1396.1657041769333
2490.334701726435,3031.188186276997,13.0,1765.8509392685323
7646.020743057869,4057.8912334840093,13.0,3467.0770952859452
4195.301986131181,1530.7217938443555,10.0,2089.019063694481
6857.545420332678,2908.2014825578103,8.0,2844.3535644484605
1210.8863576213612,1882.781297913625,17.0,1589.5924980150492
4783.686907713574,2773.665535312634,17.0,2768.6166795454797
6597.203061635075,2465.1289729258838,15.0,3321.119414972295
3940.246704288955,5110.554996086881,20.0,2991.4126600301142
12904.062642355639,4129.833626696457,20.0,6033.213342958082
6755.852020724116,1358.676022213323,34.0,5073.590026614277
5323.816919381171,2909.6520712695033,34.0,4436.460149273152
6003.521777815389,922.691042709828,34.0,4662.733723448705
584.3237165326777,0.0,34.0,2572.826826455784
801.1168368642752,0.0,34.0,2644.368556165211
1071.556881421558,47.04029571828141,34.0,2733.613770869114
671.9068815415287,914.4748229867993,34.0,2615.104152420594
584.3237165326777,0.0,34.0,2572.826826455784
676.6902208473161,3022.661264264932,34.0,2603.3077728796147
1047.3903549694928,4542.636974972354,34.0,2783.105119511473
1426.8821898699555,9571.615812482414,34.0,2906.967038655807
4477.597147721861,4671.370921186203,13.0,2597.2196871957844
2717.9419575923525,1378.2544802251505,13.0,1982.1570971573083
4815.79748080949,2116.194775677871,10.0,2554.5895916159843
2690.7685534796196,962.2961278706234,5.0,1405.6807783654685
2722.9908728800797,426.06763072164125,5.0,1389.149394248005
1699.7521410419895,1015.2336080073476,6.0,1104.9183599886549
4551.014883939004,980.9830230065253,7.0,2164.572224761687
1886.9017037473195,1314.1323721112617,9.0,1435.1402743375481
4498.375059800419,2250.2488821726984,16.0,2849.8235079336714
7534.665541904791,3030.41403730955,16.0,4001.7123531079096
4915.320416274634,2515.786132641722,21.0,3471.964999805555
10654.805182579043,3160.7485615480737,28.0,5834.732454200842
8123.279550026749,4493.266772588482,25.0,4856.459431969781
7918.096581064394,1764.8141607789487,34.0,5415.148926869129
6699.218474796501,2777.040629827641,34.0,5207.606210342372
4211.05436044803,387.68398401778245,34.0,3984.3824552231354
617.419152185003,181.21867739624963,34.0,2594.338859629795
1768.76652012597,0.0,34.0,3029.649616536075
1012.9942174859559,211.97155549216552,34.0,2714.2880917703656
992.1748025770218,0.0,34.0,2714.086891872354
1237.6289141665593,0.0,34.0,2803.969396275995
966.1695818592596,888.1521803985719,34.0,2723.7375629567355
757.4274552965053,10531.6879092669,34.0,2681.994649842283
1413.325336530962,7323.34967590954,34.0,2979.391789902269
8166.089409580761,3508.549869063544,10.0,3661.8898437820153
3404.60074731418,1244.0893247641566,9.0,1987.0072264763771
4661.776842622401,1665.3151729869676,7.0,2273.237776748695
2242.612083916968,440.0272147026165,7.0,1402.962636077264
3371.498481126324,1317.9680392136875,7.0,1742.1823818635403
1319.9707987201223,2558.7493667482545,8.0,1113.339442753753
6663.950353426078,1397.426435422383,12.0,3278.8388298714813
1843.2817838914177,1474.8062165353524,11.0,1580.7716689469212
5886.7857279198415,1810.8402251729053,17.0,3380.966008467141
6134.46537346033,1388.7633230741972,21.0,4009.619080261885
4299.840295398046,2462.428110725202,22.0,3428.4162182155787
7889.823826021445,4914.104915312278,26.0,5017.522937902323
10960.923246912209,3772.72514831717,28.0,6199.313512439662
11881.824810955331,3259.6185429271136,34.0,6888.356265203594
9436.647621993347,1200.7939248163982,34.0,5946.63911632112
6761.387278997651,898.4092523219084,34.0,5001.172592124774
584.3237165326777,0.0,34.0,2572.826826455784
902.5446675117043,0.0,34.0,2677.839740278863
732.0918513998981,0.0,34.0,2621.590310961966
631.1786593389356,0.0,34.0,2588.2889575818485
1083.3620207604959,0.0,34.0,2737.509466850964
1876.1382085195924,1245.045072425762,34.0,2999.1256088114656
1425.4401821261008,15411.315638924661,34.0,2878.486800492505
2466.8764374406037,16132.299654825898,34.0,3510.288006342555
4266.5108193619435,4291.654837470774,14.0,2862.153171432188
2359.8306980399434,2462.135835391054,8.0,1511.8186032965104
1959.9127990666395,1570.8342205272909,7.0,1365.18191043965
3872.0932562278367,1882.2812377680577,10.0,2056.4760328864845
6331.184526594406,1379.8749602846763,9.0,2739.3725576367756
4931.580459812345,1382.1454706271004,11.0,2439.228792460845
3889.4291986227154,2754.0682679834485,9.0,1923.7381372210295
4773.661680311031,1528.969292069692,11.0,2359.6665524234227
1142.2531347024512,3166.5833968338425,16.0,1539.405112105541
8051.1684800784315,2097.5612301017236,20.0,4092.2420120014785
3793.571135135473,1185.7633748856956,21.0,3019.833875018912
3958.839228660486,4618.956774095787,19.0,2948.172354450378
3880.2044464004935,4884.266685575278,20.0,3083.9237779547884
9486.693954355093,2802.040208777477,34.0,6025.337708268853
5463.919222927677,2310.5509716261004,34.0,4740.481532247226
4476.956595494891,746.8021884173562,34.0,4111.050137751343
584.3237165326777,115.49715147997873,34.0,2572.826826455784
1581.2197660132072,0.0,34.0,2911.8063333172636
892.6545651032338,0.0,34.0,2674.5760064840674
900.7224625632194,159.4791735324116,34.0,2677.2384126458624
584.3237165326777,0.0,34.0,2572.826826455784
1048.2759058574813,1076.7541154087057,34.0,2737.3545696109445
847.4728493203672,1731.8138239154262,34.0,2659.666040275721
1130.5964078519935,9009.54459736174,34.0,2826.7687930304223
5909.962572702587,6999.799536391527,18.0,3438.154216688752
6036.466242181788,4146.066137752692,19.0,3758.1784182920496
6029.298101300524,2411.112585293781,17.0,3566.433663139212
9502.12997814908,1305.5889657657904,16.0,4747.272803801013
8085.736107283972,3264.9138495226525,17.0,4438.091043458951
4497.9479490307795,1917.8457091225912,17.0,2864.411845444043
3331.1873895066087,1637.6088744808533,11.0,1944.5081208903257
921.2590509572107,1345.0478978670396,10.0,1023.4607333613577
3570.1085233977687,1305.9496250960296,11.0,1974.6372761889995
1999.3023294246582,1488.1369740446407,16.0,1801.9165854845737
6617.821267148761,2503.743061238925,18.0,3708.5583099295386
2934.425071130036,4224.21077573096,23.0,3042.9236118544477
6135.425760599626,2651.623549119988,24.0,4186.717727602058
6296.915570944056,2882.1837382752196,34.0,5082.101777687069
3530.5490661874474,1548.6992276041342,34.0,4035.922617567181
4940.002378933569,655.7613435581248,34.0,4306.621165037026
637.9250769047206,0.0,34.0,2607.6677106976117
3506.945781716668,0.0,34.0,3707.748520208709
758.1033001659117,0.0,34.0,2630.174089054751
664.0481120335602,0.0,34.0,2599.1358769710746
914.9010140251671,484.3953398556235,34.0,2681.9173346283055
700.2934302043293,1403.6228351912073,34.0,2645.9889027840804
937.8752872315825,1048.338099798762,34.0,2689.498844786422
2722.474724624951,9128.0369542825,34.0,3316.927897812578
5816.679120130861,6196.293520023365,16.0,3325.162945750222
4384.250467404501,4167.274256850235,21.0,3363.6797989244774
5547.907705345118,3055.6075683997906,19.0,3645.699256240372
8641.034686298997,4219.567238659661,17.0,4310.939929269827
4534.715821298587,4862.429244022397,24.0,3274.769374722404
5950.459346008278,2944.8390116575406,24.0,3890.4067897633554
6270.414208062638,3245.028778556288,19.0,3859.6218744468197
