elec,dhw,occ,gains
405.6564566142448,0.0,29.0,2163.866630682701
464.34541824519323,0.0,29.0,2183.233988020914
468.2171837164616,0.0,29.0,2184.511670626432
593.6669961588956,0.0,29.0,2225.9101087324357
623.9010418954405,0.0,29.0,2235.8873438254955
604.0340656170673,1070.888684763146,29.0,2229.3312416536323
671.248913615124,8059.2975664703545,29.0,2261.4253481679757
1020.3340049763472,6561.103138542549,29.0,2453.266561386491
1641.7168360048772,3479.8111873289986,5.0,1074.08338392129
2468.1513324729754,1100.6453526701537,5.0,1236.0979841495405
2780.3249141829383,451.68754056405305,7.0,1549.1075309712683
3550.6234576131583,1953.2281969376404,7.0,1778.7080875656245
3766.2931829880126,1192.3388642593416,9.0,1903.8056672890232
1300.8682041614752,1501.1588396056427,7.0,938.8540306353891
1439.5724241796404,1590.2868715817203,6.0,912.4137291158664
965.2219572227102,404.0838572431792,4.0,634.0541300283558
4188.748603611087,1488.0999439918946,8.0,2005.7536915202127
3117.291740416715,1955.8355279352963,11.0,1939.0499427557472
5000.100422271934,1889.3923028527377,14.0,2762.6400569964767
7679.378361568069,3518.8062229380666,17.0,3948.997613657476
3549.4462205023283,3242.654738955581,14.0,2425.2440298254387
5682.1556144842925,1854.3938878394097,29.0,4132.6568075194455
1955.96909166963,1118.4044372487313,29.0,3000.315247284902
5408.844466439349,777.384111358406,29.0,4046.303014453984
420.19267901923416,66.5243973362827,29.0,2173.315175245944
3144.752363072644,0.0,29.0,3150.7174625554126
773.881172403566,0.0,29.0,2285.3807868931767
838.1410904862885,0.0,29.0,2306.586559860475
484.322050296331,224.34466646787382,29.0,2189.8262765977893
484.322050296331,1041.6509900862836,29.0,2189.8262765977893
576.5799152008257,7358.750700841742,29.0,2233.467440253768
3694.7039299129056,5305.5071532233815,29.0,3419.856444900053
4916.956704913489,3335.896304508365,10.0,2608.2747658362864
3796.6448787296717,2173.9565756104193,9.0,2182.2214488800905
1503.0647087249083,926.7800307649135,8.0,1322.7554824424908
3856.8820665254043,1862.0188383690465,8.0,2079.5320177649614
3059.210873636493,2268.293108318051,9.0,1781.3451240852835
3069.6696572142555,1158.4199025246694,8.0,1684.1969189844322
939.28855738436,534.1214072758099,6.0,744.9857520302126
1058.3222428846175,557.069011419069,8.0,924.5560228575908
2786.005947629524,1505.2812282119482,10.0,1679.1198335951385
6697.517588264033,2357.9969384214764,19.0,3766.7833584416417
3035.41362951683,951.075069625111,22.0,2903.843338497131
3576.5181402319004,3910.3891979291475,25.0,3253.61955972581
4208.817969523291,3385.703479090901,25.0,3652.295145459301
9525.811749879707,308.09955243008346,29.0,5741.298247156994
7601.505766728801,1876.374713428461,29.0,4921.951879574895
6908.833469086335,510.6675692999261,29.0,4612.972968673652
405.6564566142448,153.06788042470774,29.0,2163.866630682701
831.6146384265555,201.51518824031226,29.0,2345.532404121734
405.6564566142448,0.0,29.0,2163.866630682701
485.6900893265188,0.0,29.0,2190.277729477751
482.6684209243471,231.54052400234116,29.0,2189.280578905035
840.4384160045305,1983.5658455044245,29.0,2313.1029616033115
872.0548159696821,11108.394879241803,29.0,2342.090845295442
3594.7179444286708,7038.914006380586,29.0,3308.9041344455854
2585.4135092436645,2861.1131392036086,8.0,1574.4176085517142
4116.938337993303,1725.1977565347138,9.0,2172.2228684217234
2538.4459935361847,1942.801158650135,10.0,1756.986195374593
3671.3929727029727,2445.192483030209,10.0,2002.9356207467654
4583.141670179243,1061.359337836735,8.0,2160.217156925061
2039.5377465497304,945.9212993361639,8.0,1263.336035396886
3677.4708371708166,517.9041647150948,5.0,1563.5653762663696
947.3283228521391,1937.2985368527202,9.0,1014.3639524986042
3881.438132730669,942.9881325454489,9.0,2105.6710196375216
3895.768401791872,1338.2800895359026,12.0,2261.0521212605513
2651.7881504999605,3494.3133305246615,13.0,2091.245336938154
2987.5204438052046,1891.8529221675844,15.0,2237.2056643141345
3451.611502643763,3662.4537933883717,18.0,2672.9153319583893
8493.83509465649,2759.014386644121,29.0,5201.590852896499
7688.668552181609,1133.3613175793648,29.0,4948.983390117282
6030.0312620412815,1115.5582966859547,29.0,4325.837653967415
425.88276435479173,194.96835346346487,29.0,2177.0137307140562
757.9863939404393,0.0,29.0,2347.8840778209074
405.6564566142448,98.690041359157,29.0,2163.866630682701
769.8976867847213,19.696875955410846,29.0,2291.996801978946
817.4654407340998,0.0,29.0,2299.763595442253
669.067134970454,2636.825029371421,29.0,2256.4765451538756
1558.2683818370144,8660.965353865211,29.0,2551.366074812204
1391.1566339539204,5525.045168340409,29.0,2614.576810717515
3720.338293316643,2927.8715305337178,6.0,1918.7530656762865
6498.5953180133965,302.4881387454341,4.0,2500.1644637185277
958.5194783725,0.0,1.0,429.5988992444374
841.7738121205467,0.0,1.0,347.78535799978044
2829.193578008579,942.359437813767,4.0,1213.6338807428313
951.3676139858475,819.7759873633233,5.0,663.9513126153296
858.9461570987932,503.83007356435803,4.0,563.4522318426017
971.9281205862021,1455.5118307261787,5.0,670.7362797934468
1953.1332878587418,2788.5516476791177,13.0,1592.5008677267683
4746.563433118072,1094.005503853653,18.0,3084.285914822155
6534.811469162265,1136.179201676939,19.0,3950.231182044453
5291.580078538129,4665.312880064638,24.0,3912.1806289606966
4301.226678317392,2623.9900986802572,25.0,3580.1824523942773
4394.01299083545,1114.5156027698656,29.0,4045.097052794261
7807.067182653518,1130.7579045230057,29.0,4920.967903648441
2901.6914929958803,650.8450937325232,29.0,3205.684103182612
405.6564566142448,0.0,29.0,2163.866630682701
495.1348291050622,0.0,29.0,2193.3944936046705
720.0290082852976,0.0,29.0,2267.609572734148
837.9226879451898,369.42274736999144,29.0,2306.5144870219124
535.2783759611974,0.0,29.0,2206.641864067195
540.6475660475035,514.9424288733203,29.0,2208.413696795676
721.5975213508179,10195.97306928688,29.0,2287.160538861741
1253.7398698159882,11161.927360176856,29.0,2522.0697985945662
6809.827160610402,3699.153867649854,11.0,3372.368233112673
2688.6708252335798,1670.9045729556356,7.0,1603.6968305072123
1486.7360328532304,1059.7635623663857,8.0,1126.1688157800595
1552.1568198416464,1045.22165424875,9.0,1174.039420911544
3719.646441013633,1284.0679140989396,6.0,1680.806463255151
1346.2517008926484,536.836209461547,7.0,940.7558213852423
2386.5163670759252,2435.623943643146,10.0,1494.0431612257235
7572.826007201949,2189.882472648454,13.0,3415.002124377626
5333.870365737922,1586.9921536330717,16.0,2898.1455279647516
4739.467122526538,2461.061053111377,17.0,2992.1791519568515
2122.7031585703176,2555.111879390614,16.0,2175.0989689933895
2520.61267985328,4178.93525247325,17.0,2374.971985527418
7845.077853954119,2738.063102436217,15.0,3994.8737784194745
6347.8038241993145,1022.2175966282725,29.0,4507.766922428838
6027.3061047167475,1974.968557932195,29.0,4224.158144356901
5748.498284417584,1103.5383025180372,29.0,4121.3906440002465
421.1458420439087,0.0,29.0,2173.934731211982
671.6051324723485,0.0,29.0,2260.9869057388264
832.5324310595566,393.74619395789534,29.0,2307.5778975564667
645.0661519544783,0.0,29.0,2260.013517364135
552.8088437202888,147.32456895669455,29.0,2212.4269184276955
405.6564566142448,1079.0773949334632,29.0,2163.866630682701
706.6599085385224,1488.1753329591825,29.0,2303.228037329822
866.35101201754,3450.277366806324,29.0,2365.3984845477735
4408.264825732076,4828.748646774459,14.0,2532.3616072635023
5010.456602794698,2883.236879985034,18.0,3219.033070025668
4336.159118109138,2569.0678134930627,14.0,2628.262018121516
2370.412608642017,1882.467535482056,11.0,1803.7398086913113
1473.0333357858835,793.8508020845591,11.0,1366.2606350708588
2419.3684259400607,1997.10768616326,13.0,1749.7307573762596
1434.482081251566,1225.4820870233216,15.0,1555.5882866216382
1598.9925465322792,1037.6181179417588,16.0,1769.323566790793
2234.2147383008487,2221.4907136047295,20.0,2403.4600484270136
3066.736250339009,2025.570069102159,22.0,2898.666808932513
5142.102044053219,2772.6940633358045,21.0,3627.9429510367677
4933.4682195662635,2789.9240827673584,19.0,3282.5462623958474
6481.136913861807,2864.943755349649,22.0,4076.69058555527
5469.856617730296,1664.920938772747,29.0,4312.655769778573
8003.904413929852,436.15642152656415,29.0,5063.500465963774
4437.021290141154,1264.1358992137286,29.0,3704.099994409849
405.6564566142448,0.0,29.0,2163.866630682701
491.4201538661612,0.0,29.0,2192.168650775833
545.4581370868951,0.0,29.0,2210.0011852386756
584.4913850347679,0.0,29.0,2222.882157061473
541.279051573808,0.0,29.0,2208.6220870193565
818.1133590396349,1225.8326233751604,29.0,2299.9774084830797
783.886670133949,2320.9366657008068,29.0,2316.444312206438
1025.113825278177,3107.8855119431,29.0,2454.4680004376814
1129.5804112298897,6004.953949698317,15.0,1534.4030907856338
2102.848365059693,3948.9094095308137,16.0,2100.444997698135
8307.543577997058,2095.4768466159744,17.0,4196.802306012284
5501.771232182944,3047.0136886043597,13.0,2945.854336861381
7162.94459547268,3232.3021543680106,18.0,3729.2153748969704
4273.298794755519,2113.467552052675,16.0,2586.8849113609385
3227.2313380930023,2304.0774166631863,16.0,2195.6027065491858
5811.20116976141,3058.1766933425797,16.0,3135.32187902694
3328.52218457143,1812.4163074372218,18.0,2575.5940770780094
11417.84659596477,2069.861784608088,25.0,5812.868462344653
6862.541838356987,1851.4447393645958,25.0,4412.822345423966
4360.132611873497,3077.4246164157134,25.0,3627.830789501457
7234.5748609748425,3260.487893032236,22.0,4287.077880287978
4388.401271256146,2040.7790233218034,29.0,3870.10409070659
4051.164108484814,2120.1655105090003,29.0,3735.6986711428804
3068.638292820184,1834.8855595899008,29.0,3310.504050304368
572.8408998620963,275.60737471691095,29.0,2272.5365187938046
948.5739790670184,0.0,29.0,2438.3610090866305
766.900499723682,0.0,29.0,2283.077164908815
568.1599979341767,0.0,29.0,2217.4927993182787
704.3969911270099,347.5571994768068,29.0,2262.4510070719134
523.341106036965,1328.7265494132803,29.0,2240.361652807469
829.1515815997782,6225.862047328071,29.0,2316.273901466033
1097.3855897824249,7487.74239587223,29.0,2459.92597844376
2809.999789660823,1632.4053918321033,7.0,1603.361644617512
1129.728906802393,2183.7290139795437,7.0,985.1999740056633
1846.5115683969807,2692.9775416941575,8.0,1225.140604907537
5869.904663851076,2368.3999602432477,8.0,2537.906370902916
2058.300272434133,1694.327022633065,6.0,1103.9786719636627
2075.644197114956,156.24237730098733,3.0,900.6764807876546
888.2044623107902,270.84012006592627,4.0,581.0809896483702
2887.3095369705093,3700.540259871306,13.0,1898.0984527808457
6444.635027573695,1510.7687662320095,16.0,3501.4824589384043
4423.502565149487,2680.328655599205,16.0,2940.202168017016
5474.412912861746,2072.6091205289354,21.0,3664.259882413571
5695.1734328853845,4378.620988855744,22.0,3912.9131241189775
5325.787418303658,3381.3618817989254,24.0,3818.691958007389
6856.965806351458,1534.0584190909829,29.0,4689.884391003279
4171.183189629635,510.2103050786885,29.0,3814.5978943631453
6425.142542595534,349.8495295510006,29.0,4387.531289926197
405.6564566142448,254.0750775638735,29.0,2163.866630682701
668.8929103386376,0.0,29.0,2290.6327679780293
682.4654154759847,0.0,29.0,2255.213587107075
405.6564566142448,0.0,29.0,2163.866630682701
616.5816495560985,0.0,29.0,2233.4719443535123
630.052887603796,3443.422983215163,29.0,2237.9174529092525
1393.847101458548,7306.054014336752,29.0,2565.6814898021607
1162.9181092282834,9014.088094210869,29.0,2514.6917769250267
4208.976678297597,2388.099609043154,7.0,2141.049864174597
1104.7740001913755,1415.7071934537341,8.0,1041.4947157609392
2529.737112624114,771.6947798127347,6.0,1367.3729698469226
2902.3192438477354,2360.638883688445,8.0,1615.3473408084806
4336.170079520829,2180.4951968494647,7.0,1985.4855905217366
1363.1400709749714,795.6150121817599,6.0,869.8362234217404
5466.634181890711,344.8122674900689,6.0,2223.9892800239345
1879.2902855096775,3119.9581771758035,9.0,1333.4529803526002
3393.63026453429,2679.202420090477,13.0,2145.1471230664706
6052.476741091646,2154.2818902730514,16.0,3310.2839252621434
3412.6394334616734,1314.134897024712,17.0,2635.2551719731814
6206.688467993417,2504.465309485316,14.0,3406.4908435974166
3417.0057699110657,855.4414675793571,14.0,2396.861168940684
3492.5791658971816,1215.1396435897836,29.0,3497.538802244562
8096.07185842951,1250.4661167246175,29.0,5061.055003767255
7200.764454105071,931.2480013220494,29.0,4714.855604527821
405.6564566142448,0.0,29.0,2163.866630682701
661.8683170607367,0.0,29.0,2284.255085435927
558.6202769230252,0.0,29.0,2214.3446913845983
880.0881798078705,0.0,29.0,2320.429099336597
593.4923193519237,0.0,29.0,2225.852465386135
843.1105910139474,2784.057704001506,29.0,2308.226495034603
535.6954276967218,5302.883819826203,29.0,2229.1728190580925
1844.5022735219327,6794.6031926385285,29.0,2774.5984178948293
5420.829179850353,2847.984322845575,9.0,2680.6059134754664
2689.3343887136566,1271.224526849688,5.0,1324.5660322053484
1053.221553930051,545.4185623852226,5.0,723.6484542473011
971.4676776571529,2785.4944759506616,8.0,909.9376792878169
2942.5330720770535,1724.4141274544138,8.0,1554.4413354413932
4363.3830641240575,1252.974155990306,4.0,1740.5378573522544
891.8876739663259,680.8835025353125,4.0,574.3229324088875
796.8922592498981,2002.2244958785907,7.0,757.8967905930651
1901.852144019949,1231.7366197387028,11.0,1404.2553121938447
2351.3486295816815,1019.78395085464,14.0,1854.3326749995538
1965.2856703401897,2349.2240637291497,18.0,2159.1617416011018
2152.2520662710826,3262.087379001842,20.0,2382.6593402307576
7700.234507078674,3774.9858198428683,23.0,4552.239670417977
7049.625127275412,3021.155934058056,29.0,4804.5516859101235
3859.332549302493,1498.7327756450666,29.0,3726.6934402099273
6526.405619200604,780.5487128124029,29.0,4388.451141602423
405.6564566142448,0.0,29.0,2163.866630682701
582.7672430757254,0.0,29.0,2239.627217123438
600.6932291679891,0.0,29.0,2228.2287656254366
587.8386976786986,0.0,29.0,2223.9867702339707
845.6509031979202,0.0,29.0,2309.064798055314
450.06575828319586,1157.111002156282,29.0,2192.732676767519
618.879840809931,5478.923503863629,29.0,2234.230347467277
2659.5795740410736,7127.089965476918,29.0,2963.548462656938
1672.488791272748,3165.31034358405,9.0,1384.8948047588426
1380.2630186301074,991.6145703950198,8.0,1169.4278787114322
5625.0471765960865,1744.7529699482723,6.0,2400.837405060048
1003.5905500135385,1044.950521412639,9.0,1058.0276446132666
960.0728351374044,1242.7484176576836,7.0,857.7876297366691
919.3317800934904,1177.90446356053,6.0,763.7426237947354
3214.79838679387,446.7372338847413,8.0,1658.0961969987502
801.4614854260526,2570.1055454257717,7.0,815.9241629324713
3320.545565182268,2055.585291927913,11.0,1985.8669548308046
6416.255994560919,1575.1972855951713,16.0,3363.795296214859
4794.03136778806,2277.2423707659514,21.0,3286.5552944942083
6867.08656975484,3307.16324150702,21.0,4027.4629307914383
4556.13268389293,1664.5694789734512,23.0,3367.8035344050413
9879.010557966747,2732.335686369341,29.0,5742.3577238043135
4887.789840478876,2370.961145434855,29.0,4018.16045857328
1846.2157505483483,997.0063994184914,29.0,2816.940768805949
405.6564566142448,54.107056935744666,29.0,2163.866630682701
2025.9358683573384,0.0,29.0,2720.251201480389
836.0362273276562,0.0,29.0,2305.8919550181263
736.30318769195,0.0,29.0,2272.9800519383434
931.4657804570413,0.0,29.0,2337.3837075508236
405.6564566142448,2185.3953810719077,29.0,2163.866630682701
655.3019744082538,9107.888967291514,29.0,2278.4231571444334
1293.7343487997764,9359.862124182766,29.0,2566.5482325034504
2596.8715391745995,3307.5557423299724,7.0,1473.877113647509
1419.5329289643744,2501.8807547830356,9.0,1275.5060917641176
2135.917051998019,589.4595854265848,5.0,1190.6443345060038
935.4357513767235,751.3169544193233,2.0,487.42604458425103
729.9618839748312,321.93215737064986,2.0,380.8874217116943
650.8942059329866,208.85686246297166,3.0,424.7950879578856
1529.5956819938046,252.44512556486686,2.0,644.7665750579556
2507.96270207261,562.7256844569657,6.0,1285.3386437028162
2993.3743273741006,2219.1711990663744,12.0,1998.15464165228
1754.0421452280611,1704.8590234440287,18.0,2058.288445731678
3881.5662163775123,1791.8480451870169,21.0,3090.3288089898383
3869.3528644977187,5269.185134231106,19.0,3023.5092372496515
6296.677088097987,4430.395942458774,18.0,3760.7400432307036
6950.107506926086,1861.2965538461267,29.0,4645.784896911852
7033.876304209553,2213.5099404981825,29.0,4659.167642465106
5524.213130098698,1145.8855192901412,29.0,4025.5589648473447
405.6564566142448,0.0,29.0,2163.866630682701
2012.063530120992,0.0,29.0,2738.282070305317
637.1046800842084,0.0,29.0,2240.2445444277887
769.2652430575176,684.8027887878707,29.0,2283.8575302089807
486.67985919367754,77.49037483500626,29.0,2190.604353533914
677.7878718793478,450.4064487534963,29.0,2253.6699977201847
616.4379202392699,3637.335509542756,29.0,2252.61879475168
