elec,dhw,occ,gains
934.4259735886463,0.0,70.0,5208.360571284253
1411.9109181948654,0.0,70.0,5365.930603004305
1251.7175424485206,0.0,70.0,5313.066789008011
1171.3051244059277,0.0,70.0,5286.530691053957
1483.865247260921,0.0,70.0,5389.675531596104
934.4259735886463,2693.897702574577,70.0,5208.360571284253
1370.1813735794447,12350.672620484527,70.0,5420.79528012272
6910.386093682522,18351.301406282084,70.0,7488.978599727434
9076.00223188671,6052.984854306965,16.0,4614.955976308954
6651.866729595907,3620.759959532642,19.0,3955.162863669808
6753.187463670013,3226.3674584202795,17.0,3893.1843024895866
6782.031639710113,1464.207456087866,14.0,3410.8967867727597
4714.6638323686275,2110.4441431205346,12.0,2461.814799031473
2071.4077095422754,1327.7961585147748,8.0,1276.3672109101208
5287.5081506073775,2119.511183902915,9.0,2374.8776897004345
4759.769016898297,2605.112084967775,15.0,2620.723775576438
8966.14681458196,5677.28677379193,30.0,5093.938658541676
3224.864849173012,2407.189563157408,33.0,3579.523753919502
10663.83001154966,1264.8435863088055,40.0,6963.656922268337
7318.4455977227335,5888.255453752385,41.0,6040.575269225632
15908.111867992977,7547.335532612134,46.0,9355.016133901736
13149.990042032276,4490.656052221442,70.0,10230.570882448676
16118.986485774827,4725.523555774073,70.0,11139.942930601772
8259.245044771546,2382.3343007715425,70.0,8027.40747693944
934.4259735886463,0.0,70.0,5208.360571284253
3634.557598575788,0.0,70.0,6156.617045058963
1382.5001926675764,0.0,70.0,5356.2250635803
1200.9830101859586,0.0,70.0,5296.324393361367
1240.2210196880749,165.3744059913035,70.0,5324.047624427738
1613.9585108131307,6978.527783079204,70.0,5432.606308568333
2144.270673477317,23389.621549700874,70.0,5785.293002774651
6693.7665896551935,16112.175587511918,70.0,7344.501832405142
10840.733476701413,8201.146128055167,20.0,5550.091195439975
14726.303103123435,2939.8885226582292,15.0,6484.694300880683
5676.023054738797,2592.087031575539,16.0,3444.306634828883
4423.670277984316,2545.3877416552605,15.0,2697.648664423748
3946.688328556884,3383.1940917323677,19.0,2713.7390696405528
5976.529338045139,5187.990438421895,22.0,3584.604030676808
6670.225165177604,1819.7962338634206,18.0,3503.895657939764
2395.624566830565,3021.8970774742234,20.0,2216.5294931517296
12327.053202344225,5518.98447706758,27.0,5996.086336810027
6826.022446041194,3606.5319067450496,32.0,4504.712138997339
7012.542407474508,4131.732990868919,38.0,5250.548171700819
9244.563531467118,4668.799702580948,41.0,6519.124253193248
17695.64356924895,4831.5029342870375,42.0,9407.02776353073
16590.53368075515,4826.617433084428,70.0,11251.794118260175
14510.490227168051,3999.362230755351,70.0,10554.378893408653
