elec,dhw,occ,gains
1003.3004765758928,0.0,73.0,5441.089157270044
1497.6031074410844,0.0,73.0,5624.82463264002
1829.8818192215363,293.99801780413105,73.0,5713.861000343108
2258.8284578534094,304.188766995915,73.0,5862.544867006459
1231.7143173759782,862.7158176967597,73.0,5524.928963156413
1650.7612576104889,4449.738894737953,73.0,5713.570722046727
2184.8091665430034,21717.38741736388,73.0,5933.175499541529
8980.167220821117,14798.056881518163,73.0,8411.718799591683
7834.760557587113,8901.225970295833,23.0,4548.638709958463
9080.247797227908,3593.821739737566,19.0,4631.255880934858
4573.1078751886525,2888.8641094668556,13.0,2724.427638547294
5972.256582031977,3275.6776792056176,18.0,3360.1657185738823
4968.472446410629,3729.142076028236,22.0,3263.035492200375
8091.748430219306,4106.77922033963,27.0,4639.653851542427
7070.304251799128,5523.611309501895,27.0,4269.21986733813
7587.516770687301,7979.418061526062,30.0,4866.278931153966
13912.353181372904,5592.26138921442,37.0,7791.455609655606
8979.337069242036,4068.955122117921,47.0,6943.552259550432
12811.468824984353,4619.292492490019,56.0,8909.969481510305
12893.626118062128,6766.603401297336,51.0,8920.643273051612
12179.871852116612,7860.828908839293,52.0,8557.495904678488
15052.469085591178,4673.593814996055,73.0,11000.379754351616
14103.732096561003,3220.547411397788,73.0,10539.354345464193
8797.388283405084,1828.5000664866118,73.0,8514.451044491638
1003.3004765758928,0.0,73.0,5441.089157270044
1201.4012244786475,0.0,73.0,5555.173829780116
2019.2094811876486,0.0,73.0,5776.339128791924
1548.4841457486236,0.0,73.0,5620.9997680970455
1285.4318116943814,0.0,73.0,5534.192497859145
1424.6527818251452,2634.942525438847,73.0,5580.135418002297
1513.987720172404,12643.008619280256,73.0,5640.304279048156
7061.801613106465,19408.30772592999,73.0,7652.714760778501
7083.572023610575,7625.082745359192,19.0,4102.021856393886
8335.477433925258,3154.158124500168,16.0,4069.117217829772
4072.5721162863874,2958.4578069483114,16.0,2717.104082699745
6926.478001348014,2525.9660766488805,18.0,3921.236271965615
4813.926770058981,2458.3569744480733,18.0,2931.700259005625
6183.134343474359,4509.038436766949,17.0,3280.4711866767134
6121.211743576741,4836.0965670891555,15.0,3100.9434613149524
5197.397154885393,5437.275591924458,18.0,2996.360436776704
8456.078077146534,3764.1799037813357,31.0,5088.143501052591
9728.124146295027,3861.365114621746,43.0,6814.435101987365
10557.377136127929,6340.133300485549,52.0,7878.418432182948
8439.393855960172,10226.515270592465,47.0,6959.687797079225
13622.701048917874,7522.203561101831,49.0,8733.904922166375
6407.815570590013,2917.758627806815,73.0,8049.014472260217
17855.849155905787,4328.2805286316825,73.0,11689.51768023626
10989.124065611686,2057.386855367074,73.0,9082.071158469516
1089.1446360917728,318.42320086405186,73.0,5496.887860955367
2396.2146604234767,0.0,73.0,5900.750837939746
1648.4015589357612,63.984577971867594,73.0,5653.972514448801
2055.053620390767,889.0505299854607,73.0,5848.166318550504
2981.1391419248025,0.0,73.0,6118.013731003419
2019.218099015663,5914.2632464835215,73.0,5776.341972675168
1956.9002139226668,15102.774191366985,73.0,5856.607189315041
5473.061887796544,14428.61620782873,73.0,7295.639244726964
12088.111156440407,9281.582763565642,19.0,5826.386687571495
7894.739657988455,3475.6944541355447,16.0,3952.443415171372
9674.387671603074,1800.4460205024836,16.0,4675.181955900712
8388.756184862814,1575.01174834345,10.0,3665.7252983373764
4398.807317417601,1372.4857608952598,9.0,2120.0511484988497
1958.5747528299323,1341.454440741437,7.0,1156.6159471166727
5720.188732954214,2054.608051683752,9.0,2524.2159398561294
7751.128982746355,3222.601310601777,18.0,3906.2424333479044
7006.324027464958,4998.193070800001,36.0,5172.46574999161
12623.310863559223,4531.448227744007,39.0,7405.297834259174
8620.3894638714,2602.9360194367528,47.0,6829.9801142709275
14642.042560159025,7962.510021391159,54.0,9435.976461454831
12837.739785398904,5204.183913325093,50.0,8692.171755356707
9206.529593189323,5457.131003899281,73.0,8986.824168511715
8819.245798566384,3269.5624675107283,73.0,8883.485780389261
10226.960870114834,765.7102626093896,73.0,8945.24035330201
1065.3518724887467,0.0,73.0,5481.422564613399
2132.576184883597,0.0,73.0,5850.489998197026
1831.9674525297348,0.0,73.0,5714.549259334812
2899.8627744665755,0.0,73.0,6066.954715573968
2145.5868669445435,763.8275664149472,73.0,5818.043666091698
3379.513149915146,5907.152312009055,73.0,6243.992367186519
5326.266051583229,22178.7614715283,73.0,6943.3293463579475
4862.571588784127,18909.27113981287,73.0,7063.479492506247
8780.770452844852,11369.642703275138,22.0,5078.342605182926
4523.265242564444,3104.0489488866433,18.0,3096.9249461832414
8205.573528534507,2800.872197837392,18.0,4272.9860126273825
9669.949287248352,3897.6883872650524,19.0,4778.972432214609
6547.493538893561,4175.674054130444,19.0,3577.664499610889
3306.6591845180433,3485.1324959088874,15.0,2183.473789088785
4242.516932275814,2189.1633871710314,17.0,2617.910589014546
3764.708711087486,2343.552851528636,16.0,2362.35387465887
8050.4912502716215,6548.355249128816,28.0,4649.186896744831
12660.238808658409,4730.101679805382,38.0,7236.202449057542
6323.912554389914,4263.055613474587,46.0,5996.622438298964
9767.72731005635,6689.302979673112,41.0,6839.456987182966
12876.394764876308,6710.516769072461,40.0,7785.880033481661
14894.644518875817,4728.834765258854,73.0,10793.752986562356
11891.306936931558,2807.6677299229386,73.0,9648.203775932614
9224.988147822949,1625.470676629088,73.0,8627.424274505567
1003.3004765758928,0.0,73.0,5441.089157270044
1611.0939811966443,0.0,73.0,5719.861139364443
1636.899937661071,0.0,73.0,5650.176979428154
1530.6086645775715,0.0,73.0,5615.100859310597
1907.4789919264288,0.0,73.0,5739.468067335721
1608.8864039912276,3967.215226108292,73.0,5640.932513317104
5740.624264580889,22292.77430101535,73.0,7074.075017375774
4107.552820524571,26256.274395204913,73.0,6852.360870171986
9203.506780392256,10253.446501511018,18.0,4824.754353971611
4673.481997003136,3511.208097341381,15.0,2966.231929373436
9988.700868359016,2240.634447199634,9.0,4051.1096436140047
2376.6024307766306,844.4127673007704,10.0,1503.1208279355544
4221.680973901412,3075.0161160376447,16.0,2556.145281705281
3800.3270658779697,2263.5490190760097,16.0,2398.056540542612
8008.806097697319,1910.201551520353,14.0,3627.949255998127
3920.9262688771714,2865.0316954187315,16.0,2442.8892505525355
3728.8193466507987,5032.894955243093,39.0,4003.3064104787636
10419.009501854565,3035.0928124892293,53.0,7814.189293925678
9879.715122234951,5724.487066671418,54.0,7982.7468457464465
12660.46960085929,6611.036736405308,46.0,8263.320730366675
16034.31455234616,7845.61428945444,48.0,9587.515427815255
13640.547812116823,5032.999086208491,73.0,10519.535528648768
12322.613385663988,2822.5324207169056,73.0,10067.126272195654
11850.925931106427,1053.8756410525239,73.0,9446.570527401536
1060.2471175513176,0.0,73.0,5478.10447390407
1506.264504757159,40.88961744798192,73.0,5613.13434895915
1745.8058768189196,402.06348682843577,73.0,5692.166041123842
2122.2009605376275,0.0,73.0,5810.326316977416
1513.0121084819173,330.63966358426455,73.0,5609.293995799032
1565.0153762173002,425.93830760362715,73.0,5653.689249326619
1300.959066255902,4454.130027506353,73.0,5539.316491864447
2769.4490760965705,8298.816251785907,73.0,6092.385633204719
5854.310990029114,9209.88739814543,27.0,4077.2784450847203
10601.082742279015,6566.399096429697,33.0,6439.117766819929
14599.395243109826,3579.959984276741,31.0,7750.479075851397
5483.548329039835,3151.2472092732364,34.0,4672.565667827606
6738.919833667692,4720.302351056605,43.0,5578.908090199143
4926.700568687499,1490.605267168017,33.0,4286.026509627808
6844.298817244042,3513.44432536525,33.0,4724.497899139537
9176.670950368662,3240.7197045001394,36.0,5906.225289584936
15785.180645516206,3490.6407223847286,36.0,8346.416204215919
9498.269079775835,3392.0812078384433,41.0,6622.087920292297
14026.288147516048,3538.757086744738,47.0,8700.533903666452
10101.955757788868,5069.294650484162,51.0,7731.779986343048
14185.500487093563,7692.95793708088,47.0,8879.248882427324
9871.213090380412,4253.324688009216,73.0,9055.410890857858
12117.581201053452,3379.5416176961808,73.0,9764.891974236276
8619.740810108606,1886.263748856467,73.0,8549.818881396819
1010.1509829908621,237.88039998782332,73.0,5445.541986439774
1889.3459509086902,0.0,73.0,5749.108809984844
1246.9786931271058,142.5180956778621,73.0,5521.502968731944
1841.1586379347405,256.50669781806647,73.0,5739.121950148358
1644.9862665094474,201.99554007027376,73.0,5652.8454679481165
1607.1293240310356,4167.486929696515,73.0,5655.520332903462
1370.7577511420816,8723.657102983192,73.0,5605.799340964285
2502.8798921879766,6262.949661918684,73.0,6101.57369938853
7989.444210653864,8559.688384996236,21.0,4379.631117600745
