DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
0,1,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,2,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,3,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,4,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,5,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,6,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,7,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,8,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
0,9,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
0,10,1.0,0.54,0.54,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
0,11,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
0,12,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
0,13,0.66,0.32,0.32,0.66,SETPOINT,SETPOINT,1.0,0.0,0.0
0,14,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
0,15,1.0,0.65,0.65,1.0,SETPOINT,SETPOINT,1.0,0.0,0.0
0,16,0.88,0.54,0.54,0.88,SETPOINT,SETPOINT,1.0,0.0,0.0
0,17,0.77,0.43,0.43,0.77,SETPOINT,SETPOINT,1.0,0.0,0.0
0,18,0.55,0.21,0.21,0.55,SETPOINT,SETPOINT,1.0,0.0,0.0
0,19,0.43,0.15,0.15,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,20,0.43,0.4,0.4,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,21,0.43,0.32,0.32,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,22,0.43,0.23,0.23,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,23,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
0,24,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,1,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,2,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
1,3,0.43,0.14,0.14,0.43,SETPOINT,SETPOINT,1.0,0.0,0.0
