DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY,Unnamed: 11,Unnamed: 12
0,1,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,2,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,3,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,4,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,5,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,6,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,7,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,8,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,9,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,10,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,11,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,12,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,13,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,14,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,15,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,16,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,17,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
0,18,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,19,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,20,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,21,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,22,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,23,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
0,24,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,1,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,2,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,3,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,4,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,5,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,6,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,7,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,8,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,9,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,10,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,11,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,12,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,13,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,14,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,15,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,16,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,17,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
1,18,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,19,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,20,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,21,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,22,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,23,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
1,24,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
2,1,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
2,2,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
2,3,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
2,4,0.0,0.0,0.0,0.0,SETBACK,SETBACK,0.0,0.0,0.0,,
2,5,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,6,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,7,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,8,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,9,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,10,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,11,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,12,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,13,0.0,0.0,0.0,0.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,14,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,15,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
2,16,1.0,1.0,1.0,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
