Cost_parameter;Value;Unit
co2_tax_total;0;EUR
total_inv_cost;11819318
total_ann_inv_cost;947263;
total_om_cost;235763;
supply_costs_el;4629;
cap_costs_el;0;
total_el_costs;4629;
rev_feed_in_el;1273179;
supply_costs_gas;0;
cap_costs_gas;0;
total_gas_costs;0;
rev_feed_in_gas;0;
supply_costs_biom;0;
supply_costs_waste;0;
supply_costs_hydrogen;0;

Co2_parameter;Value;Unit
co2_onsite_emissions;0;
co2_credit_feedin;0;
total_co2_el;7;t/a
total_co2_el_feed_in;0;t/a
total_co2_gas;0;t/a
total_co2_gas_feed_in;0;t/a
total_co2_biom;0;t/a
total_co2_waste;0;t/a
total_co2_hydrogen;0;t/a

Grid_flows;Value;Unit
from_el_main_grid_total;14;MWh
to_el_main_grid_total;15698;MWh
from_network_total;10403;MWh
to_network_total;6726;MWh
from_gas_grid_total;0;MWh
to_gas_grid_total;0;MWh
biom_import_total;0;MWh
waste_import_total;0;MWh
hydrogen_import_total;0;MWh
max_el_from_grid;11209;
max_el_to_grid;17599;
max_gas_from_grid;0;
max_gas_to_grid;0;
max_biom;0;
max_waste;0;
max_hydrogen;0;

Areas PV and STC;Value;Unit
PV;50000;
STC;0;

volumes of thermal storages;Value;Unit
TES;4796.1;
CTES;0.0;
;
Device-capacity;Value;Unit
PV;9000.0;
HP;36.7;
EB;37.6;
TES;306.3;
