Nominal diameter (DN);Max. flow velocity (m/s);Max. pressure gradient (Pa/m);Inner diameter (pipe) (mm);Outer diameter (pipe) (mm);Thickness (pipe) (mm);Outer diameter (case) (mm);Thickness (case) (mm);Radius (mm);Roughness (mm);Pipe Cost (€/m);Construction Cost Min (€/m);Construction Cost Max (€/m);Construction Cost Mean (€/m)
20;0.9;300;21.7;26.9;2.6;110;3;110;0.15;70;378;1500;939
25;0.9;300;27.3;33.7;3.2;110;3;110;0.15;90;378;1500;939
32;0.93;300;36;42.4;3.2;125;3;110;0.15;100;480;1500;990
40;0.98;300;41.9;48.3;3.2;125;3;110;0.15;140;500;1500;1000
50;1;300;53.9;60.3;3.2;140;3;135;0.15;200;500;1500;1000
65;1.12;300;69.7;76.1;3.2;160;3;175;0.15;240;623;2000;1311.5
80;1.23;300;82.5;88.9;3.2;180;3;205;0.15;280;623;2000;1311.5
100;1.45;300;107.1;114.3;3.6;225;3;270;0.15;390;867;2500;1683.5
125;1.65;300;132.5;139.7;3.6;250;3;330;0.15;560;867;2500;1683.5
150;1.85;300;160.3;168.3;4;280;3;390;0.15;1000;867;2500;1683.5
200;2.25;300;210.1;219.1;4.5;355;3;510;0.15;1828.44;867;2500;1683.5
250;2.4;300;263;273;5;450;3;381;0.15;3052.35;867;2500;1683.5
300;2.53;300;312.7;323.9;5.6;500;3;457;0.15;4639.51;867;2500;1683.5
350;2.58;300;344.4;355.6;5.6;560;3;533;0.15;6610.2;867;2500;1683.5
400;2.7;300;393.8;406.4;6.3;630;3;610;0.15;8982.4;867;2500;1683.5
450;2.8;300;444.4;457;6.3;670;3;686;0.15;11772.36;867;2500;1683.5
500;2.9;300;495.4;508;6.3;710;3;762;0.15;14994.96;867;2500;1683.5
600;2.95;300;595.8;610;7.1;900;3;914;0.15;22792.08;867;2500;1683.5
700;3.1;300;695;711;8;1000;3;1067;0.15;32473.3;867;2500;1683.5
800;3.25;300;795.4;813;8.8;1100;3;1219;0.15;44126.97;867;2500;1683.5
900;3.4;300;894;914;10;1200;3;1372;0.15;57832.93;867;2500;1683.5
1000;3.55;300;994;1016;11;1300;3;1524;0.15;73664.24;867;2500;1683.5
