ID,wall_calc,roof_calc,floor_calc,window_calc,age,retrofit,id,type,wall_given,roof_given,floor_given,window_given
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
0,0.1722753662364489,0.183545805291613,0.2425945317478358,1.2872816572266017,2014,1.0,urn:ngsi-ld:Building:52076Kesselstrasse7a,SFH,0.28,0.2,0.35,1.3
