Datum,t,WG,N,RF,B,D,A,E
01.01.2022T01:00,-3.1,2.2,4,92,0,0,240,301
01.01.2022T01:00,-2.1,2.5,6,91,0,0,240,300
01.01.2022T01:00,-1.3,2.5,7,89,0,0,253,300
01.01.2022T01:00,-1.1,2.5,7,88,0,0,267,299
01.01.2022T01:00,-0.8,2.4,8,87,0,0,266,299
01.01.2022T01:00,-0.7,2.6,8,86,0,0,268,299
01.01.2022T01:00,-0.2,2.4,7,85,0,0,272,299
01.01.2022T01:00,0.0,2.4,7,83,0,0,270,299
01.01.2022T01:00,0.2,2.4,7,83,0,1,273,300
01.01.2022T01:00,0.3,2.1,8,84,0,17,280,302
01.01.2022T01:00,0.7,2.6,8,84,0,39,286,305
01.01.2022T01:00,1.2,2.3,8,83,0,50,289,310
01.01.2022T01:00,1.5,1.8,8,81,0,74,291,313
01.01.2022T01:00,1.7,2.3,8,80,0,69,294,315
01.01.2022T01:00,1.7,2.2,8,80,0,58,296,316
01.01.2022T01:00,1.6,1.7,8,80,0,31,299,316
01.01.2022T01:00,1.2,1.8,8,81,0,2,300,316
01.01.2022T01:00,0.9,2.4,8,83,0,0,301,315
01.01.2022T01:00,1.1,3.2,8,83,0,0,303,314
01.01.2022T01:00,1.2,3.3,8,82,0,0,304,313
01.01.2022T01:00,1.0,2.0,7,84,0,0,297,313
01.01.2022T01:00,0.4,1.1,8,93,0,0,298,313
01.01.2022T01:00,0.0,1.7,8,99,0,0,305,313
01.01.2022T01:00,-0.1,1.5,7,98,0,0,297,313
02.01.2022T02:00,-0.2,2.2,8,99,0,0,298,313
02.01.2022T02:00,-0.3,2.4,8,99,0,0,307,313
02.01.2022T02:00,-0.1,2.8,5,99,0,0,284,313
02.01.2022T02:00,-0.4,3.5,5,99,0,0,259,313
02.01.2022T02:00,-0.7,3.8,8,99,0,0,281,313
02.01.2022T02:00,-1.2,3.9,8,98,0,0,304,312
02.01.2022T02:00,-1.4,3.8,8,99,0,0,303,311
02.01.2022T02:00,-1.8,3.8,8,98,0,0,301,310
02.01.2022T02:00,-2.0,3.9,8,97,0,2,300,309
02.01.2022T02:00,-1.3,4.0,8,95,0,27,299,309
02.01.2022T02:00,-1.4,5.0,8,92,15,80,298,311
02.01.2022T02:00,-0.7,5.6,7,88,25,109,286,314
02.01.2022T02:00,-0.3,5.6,7,82,13,111,276,316
02.01.2022T02:00,-0.1,4.6,6,79,0,80,265,317
02.01.2022T02:00,-0.2,5.6,5,77,39,76,246,317
02.01.2022T02:00,-0.3,5.8,8,74,12,41,271,317
02.01.2022T02:00,-0.4,5.0,7,73,0,3,290,317
02.01.2022T02:00,-0.8,5.0,6,74,0,0,276,316
02.01.2022T02:00,-1.3,4.3,2,74,0,0,246,315
02.01.2022T02:00,-2.2,4.3,2,75,0,0,224,313
02.01.2022T02:00,-2.5,4.1,5,75,0,0,241,313
02.01.2022T02:00,-2.2,4.0,2,75,0,0,242,314
02.01.2022T02:00,-3.1,3.7,2,75,0,0,223,315
02.01.2022T02:00,-3.4,4.5,2,75,0,0,220,316
03.01.2022T03:00,-3.8,3.9,1,75,0,0,214,316
03.01.2022T03:00,-4.2,3.3,1,76,0,0,206,316
03.01.2022T03:00,-5.5,3.1,0,80,0,0,197,316
03.01.2022T03:00,-5.6,3.7,0,84,0,0,189,315
03.01.2022T03:00,-6.0,3.3,0,85,0,0,186,314
03.01.2022T03:00,-6.4,3.6,3,88,0,0,201,314
03.01.2022T03:00,-6.6,3.4,3,90,0,0,216,314
03.01.2022T03:00,-7.3,3.2,2,91,0,0,211,313
03.01.2022T03:00,-7.4,2.6,2,91,1,10,205,313
03.01.2022T03:00,-6.2,2.6,3,89,39,52,212,312
03.01.2022T03:00,-4.9,2.8,3,84,72,96,219,312
03.01.2022T03:00,-2.8,2.5,3,77,99,123,222,314
03.01.2022T03:00,-1.4,3.6,1,68,130,126,216,315
03.01.2022T03:00,-1.6,3.7,1,65,125,115,206,315
03.01.2022T03:00,-1.3,4.2,3,66,68,96,215,315
03.01.2022T03:00,-1.9,1.8,5,66,20,51,235,314
03.01.2022T03:00,-2.5,3.1,7,68,0,9,253,312
03.01.2022T03:00,-3.3,2.7,7,72,0,0,260,310
03.01.2022T03:00,-3.8,2.6,7,76,0,0,258,308
03.01.2022T03:00,-4.4,2.9,7,78,0,0,257,308
