Datum,t,WG,N,RF,B,D,A,E
03.01.2022T03:00,-4.7,3.2,5,80,0,0,249,308
03.01.2022T03:00,-4.8,2.8,4,80,0,0,237,308
03.01.2022T03:00,-5.2,2.2,4,79,0,0,233,308
03.01.2022T03:00,-6.2,2.5,6,82,0,0,240,308
04.01.2022T04:00,-8.1,1.0,2,86,0,0,229,308
04.01.2022T04:00,-7.4,2.7,4,91,0,0,222,307
04.01.2022T04:00,-6.9,3.3,1,96,0,0,223,306
04.01.2022T04:00,-6.9,3.2,1,96,0,0,213,306
04.01.2022T04:00,-6.0,3.6,5,94,0,0,229,306
04.01.2022T04:00,-6.0,4.3,7,93,0,0,253,307
04.01.2022T04:00,-5.9,4.7,8,92,0,0,265,308
04.01.2022T04:00,-5.4,4.4,7,92,0,0,267,309
04.01.2022T04:00,-4.7,4.8,7,93,0,5,265,310
04.01.2022T04:00,-3.9,4.7,8,91,0,40,272,311
04.01.2022T04:00,-3.6,6.1,8,89,0,35,280,313
04.01.2022T04:00,-3.3,5.9,8,87,0,30,282,315
04.01.2022T04:00,-2.7,7.9,8,85,0,35,284,316
04.01.2022T04:00,-2.3,7.6,8,82,0,30,286,316
04.01.2022T04:00,-2.2,6.7,8,82,0,21,287,316
04.01.2022T04:00,-2.1,7.5,8,84,0,11,288,317
04.01.2022T04:00,-1.9,7.5,8,85,0,2,287,317
04.01.2022T04:00,-1.6,7.8,8,86,0,0,287,317
04.01.2022T04:00,-1.5,6.9,8,88,0,0,286,317
04.01.2022T04:00,-1.4,7.5,8,90,0,0,286,317
04.01.2022T04:00,-1.1,6.9,8,90,0,0,286,317
04.01.2022T04:00,-1.0,6.7,8,87,0,0,286,317
04.01.2022T04:00,-1.0,5.1,8,87,0,0,285,317
04.01.2022T04:00,-0.7,5.8,8,88,0,0,284,317
05.01.2022T05:00,-0.7,6.9,8,89,0,0,284,317
05.01.2022T05:00,-0.6,6.7,8,90,0,0,284,317
05.01.2022T05:00,-0.4,6.9,8,90,0,0,285,317
05.01.2022T05:00,-0.3,6.6,8,88,0,0,286,317
05.01.2022T05:00,-0.2,6.5,8,86,0,0,286,317
05.01.2022T05:00,-0.1,5.2,8,87,0,0,287,317
05.01.2022T05:00,-0.1,5.5,7,89,0,0,283,317
05.01.2022T05:00,0.0,5.0,8,90,0,0,284,317
05.01.2022T05:00,0.2,5.5,8,90,0,0,290,317
05.01.2022T05:00,0.4,5.3,8,90,0,23,292,317
05.01.2022T05:00,0.3,5.0,8,90,0,36,293,317
05.01.2022T05:00,0.3,4.9,8,94,0,32,296,317
05.01.2022T05:00,0.6,4.9,8,98,0,39,299,317
05.01.2022T05:00,0.8,5.0,8,99,0,31,301,317
05.01.2022T05:00,0.9,4.5,8,98,0,45,302,318
05.01.2022T05:00,1.2,3.8,8,97,0,23,303,319
05.01.2022T05:00,0.9,4.2,8,97,0,3,304,319
05.01.2022T05:00,1.2,4.0,8,95,0,0,305,319
05.01.2022T05:00,1.4,3.7,8,93,0,0,306,318
05.01.2022T05:00,1.3,3.3,8,92,0,0,306,318
05.01.2022T05:00,0.9,0.7,7,95,0,0,301,318
05.01.2022T05:00,1.0,2.9,8,97,0,0,301,317
05.01.2022T05:00,1.0,1.9,8,98,0,0,306,317
05.01.2022T05:00,1.1,2.2,8,98,0,0,306,318
06.01.2022T06:00,0.9,1.7,4,98,0,0,290,320
06.01.2022T06:00,1.1,1.6,7,98,0,0,286,321
06.01.2022T06:00,1.2,1.8,8,98,0,0,304,323
06.01.2022T06:00,1.3,2.6,7,98,0,0,305,325
06.01.2022T06:00,1.3,2.2,5,97,0,0,291,327
06.01.2022T06:00,1.5,2.8,7,99,0,0,291,328
06.01.2022T06:00,1.4,1.4,8,100,0,0,308,329
06.01.2022T06:00,1.5,1.4,8,100,0,0,314,330
06.01.2022T06:00,1.5,2.1,8,100,0,2,315,330
06.01.2022T06:00,2.0,2.6,8,99,0,36,316,332
06.01.2022T06:00,2.9,3.0,5,96,14,105,296,332
06.01.2022T06:00,2.9,3.4,6,95,2,106,280,334
06.01.2022T06:00,3.3,3.8,8,92,0,93,305,337
06.01.2022T06:00,3.2,3.5,7,91,0,77,316,339
06.01.2022T06:00,3.6,3.6,7,93,0,55,309,340
06.01.2022T06:00,3.7,4.6,8,92,0,26,319,342
06.01.2022T06:00,3.2,3.4,8,94,0,5,328,343
06.01.2022T06:00,3.1,4.4,8,95,0,0,327,343
06.01.2022T06:00,3.1,4.1,8,95,0,0,326,344
06.01.2022T06:00,3.1,5.2,8,94,0,0,325,344
06.01.2022T06:00,3.1,5.9,8,94,0,0,325,344
06.01.2022T06:00,3.7,5.6,8,93,0,0,326,344
06.01.2022T06:00,3.7,6.2,8,92,0,0,326,345
06.01.2022T06:00,3.2,5.8,8,96,0,0,324,345
07.01.2022T07:00,3.3,5.3,7,98,0,0,315,345
07.01.2022T07:00,3.3,5.0,6,98,0,0,300,345
07.01.2022T07:00,3.6,4.3,6,99,0,0,294,346
07.01.2022T07:00,3.5,3.6,7,99,0,0,302,346
07.01.2022T07:00,3.6,4.7,8,99,0,0,316,346
07.01.2022T07:00,3.8,5.4,8,100,0,0,324,347
07.01.2022T07:00,3.9,3.8,7,99,0,0,317,347
07.01.2022T07:00,3.9,2.6,8,97,0,0,316,347
07.01.2022T07:00,4.1,2.4,8,97,0,4,321,346
07.01.2022T07:00,4.2,2.4,8,97,0,32,321,346
07.01.2022T07:00,4.4,2.6,8,97,12,66,320,347
07.01.2022T07:00,4.7,2.4,8,99,0,53,321,348
07.01.2022T07:00,6.0,1.9,6,98,44,85,312,349
07.01.2022T07:00,6.0,1.9,8,96,4,81,312,350
07.01.2022T07:00,5.8,2.2,8,95,0,61,323,350
07.01.2022T07:00,5.8,2.1,8,95,4,34,322,349
07.01.2022T07:00,5.2,1.7,7,96,0,9,313,347
07.01.2022T07:00,4.9,1.9,6,97,0,0,296,345
07.01.2022T07:00,4.0,1.9,5,98,0,0,281,344
07.01.2022T07:00,2.7,1.3,5,99,0,0,269,344
07.01.2022T07:00,3.6,2.1,6,100,0,0,274,344
07.01.2022T07:00,3.5,1.9,7,100,0,0,288,341
07.01.2022T07:00,3.7,3.1,7,100,0,0,294,338
07.01.2022T07:00,3.4,2.2,4,100,0,0,276,336
08.01.2022T08:00,3.4,2.6,8,100,0,0,281,334
08.01.2022T08:00,3.1,2.8,8,100,0,0,305,333
08.01.2022T08:00,2.7,1.6,8,100,0,0,303,332
08.01.2022T08:00,2.5,1.9,8,100,0,0,302,331
08.01.2022T08:00,2.1,3.1,8,100,0,0,300,330
08.01.2022T08:00,1.8,2.5,8,99,0,0,297,330
08.01.2022T08:00,1.8,2.1,8,99,0,0,298,329
08.01.2022T08:00,1.9,2.1,5,100,0,0,281,326
08.01.2022T08:00,1.8,1.8,7,100,0,10,276,324
08.01.2022T08:00,2.0,1.7,8,100,1,44,298,327
08.01.2022T08:00,2.4,2.3,8,100,0,63,308,332
08.01.2022T08:00,2.5,2.3,7,100,1,98,305,338
08.01.2022T08:00,3.3,1.7,8,99,0,97,309,342
08.01.2022T08:00,3.7,1.7,8,99,0,60,319,346
08.01.2022T08:00,3.8,2.9,7,99,2,77,316,349
08.01.2022T08:00,3.5,1.7,8,99,9,58,316,349
08.01.2022T08:00,3.3,1.7,8,99,0,6,324,348
08.01.2022T08:00,2.9,1.8,7,99,0,0,316,349
08.01.2022T08:00,2.7,1.6,8,99,0,0,315,351
08.01.2022T08:00,2.7,1.0,8,99,0,0,323,353
08.01.2022T08:00,2.8,2.7,8,99,0,0,322,354
08.01.2022T08:00,2.9,1.5,8,99,0,0,322,355
08.01.2022T08:00,2.8,2.4,7,100,0,0,305,354
08.01.2022T08:00,3.0,1.9,7,100,0,0,291,354
09.01.2022T09:00,3.2,2.1,8,100,0,0,308,352
09.01.2022T09:00,3.3,2.7,7,100,0,0,312,351
09.01.2022T09:00,3.8,3.8,8,100,0,0,315,349
09.01.2022T09:00,5.5,5.9,7,100,0,0,320,349
09.01.2022T09:00,6.2,5.5,8,100,0,0,324,349
09.01.2022T09:00,6.2,5.7,8,100,0,0,334,348
09.01.2022T09:00,6.0,5.5,8,99,0,0,332,347
09.01.2022T09:00,6.1,6.1,7,99,0,0,324,346
09.01.2022T09:00,6.4,4.9,7,100,0,1,318,345
09.01.2022T09:00,6.3,5.4,7,99,2,45,318,345
09.01.2022T09:00,6.8,5.7,7,98,0,51,317,346
09.01.2022T09:00,7.5,5.9,7,97,3,101,318,348
09.01.2022T09:00,8.7,6.5,4,92,64,159,302,350
09.01.2022T09:00,7.1,6.9,5,92,13,119,290,350
09.01.2022T09:00,8.1,4.3,5,94,17,98,297,349
09.01.2022T09:00,7.5,5.8,6,90,21,62,304,348
09.01.2022T09:00,6.8,5.3,6,91,0,3,308,345
09.01.2022T09:00,6.3,6.5,7,95,0,0,310,342
09.01.2022T09:00,5.5,6.3,8,99,0,0,317,338
09.01.2022T09:00,4.7,7.1,7,98,0,0,314,337
09.01.2022T09:00,4.6,6.5,6,98,0,0,301,337
09.01.2022T09:00,5.1,5.7,7,98,0,0,301,337
09.01.2022T09:00,4.7,6.4,8,98,0,0,313,337
09.01.2022T09:00,4.0,5.0,7,99,0,0,311,336
10.01.2022T10:00,3.6,4.6,8,99,0,0,308,336
10.01.2022T10:00,3.7,5.3,4,100,0,0,289,335
10.01.2022T10:00,3.9,5.7,8,99,0,0,289,334
10.01.2022T10:00,4.0,5.2,4,98,0,0,289,333
10.01.2022T10:00,3.8,5.1,4,98,0,0,267,332
10.01.2022T10:00,3.9,5.5,7,99,0,0,284,332
10.01.2022T10:00,3.6,5.4,7,100,0,0,300,331
10.01.2022T10:00,3.8,5.9,7,97,0,0,298,329
10.01.2022T10:00,3.3,4.5,7,94,1,11,297,327
10.01.2022T10:00,3.7,4.9,5,94,38,54,283,328
10.01.2022T10:00,4.7,4.1,3,92,104,90,258,331
10.01.2022T10:00,6.5,5.6,3,84,140,113,248,335
10.01.2022T10:00,7.7,4.7,3,75,162,119,251,337
10.01.2022T10:00,7.1,3.6,4,73,111,122,259,338
10.01.2022T10:00,6.8,4.1,7,78,23,91,287,340
10.01.2022T10:00,7.0,2.7,6,80,20,54,303,339
10.01.2022T10:00,6.0,1.7,6,81,7,15,298,338
10.01.2022T10:00,6.1,2.6,6,85,0,0,299,338
10.01.2022T10:00,6.3,2.0,6,86,0,0,303,338
10.01.2022T10:00,6.5,2.4,6,85,0,0,304,337
10.01.2022T10:00,6.2,2.4,7,86,0,0,312,338
10.01.2022T10:00,5.4,3.4,7,89,0,0,319,340
10.01.2022T10:00,5.7,3.2,6,93,0,0,312,342
10.01.2022T10:00,6.3,4.5,8,97,0,0,321,343
11.01.2022T11:00,7.1,4.2,8,99,0,0,337,344
11.01.2022T11:00,7.2,4.4,8,99,0,0,340,344
11.01.2022T11:00,7.3,4.5,8,98,0,0,340,345
11.01.2022T11:00,7.4,4.5,8,96,0,0,340,346
11.01.2022T11:00,7.6,5.9,5,94,0,0,325,346
11.01.2022T11:00,7.7,5.5,7,93,0,0,320,348
11.01.2022T11:00,8.2,5.4,7,92,0,0,332,349
11.01.2022T11:00,8.4,4.9,7,92,0,0,333,351
11.01.2022T11:00,8.8,4.2,7,92,0,4,334,353
11.01.2022T11:00,9.9,6.2,7,90,0,25,337,355
11.01.2022T11:00,10.5,6.7,7,88,0,37,339,358
11.01.2022T11:00,11.3,7.2,7,86,0,54,341,361
11.01.2022T11:00,11.8,8.5,7,85,0,55,342,363
11.01.2022T11:00,10.8,6.4,7,92,0,46,340,365
11.01.2022T11:00,11.1,8.7,7,98,0,28,338,366
11.01.2022T11:00,11.1,8.3,7,97,0,19,335,366
11.01.2022T11:00,11.4,8.8,8,99,0,3,343,367
11.01.2022T11:00,11.3,8.5,8,98,0,0,349,366
11.01.2022T11:00,10.8,7.4,7,98,0,0,338,364
11.01.2022T11:00,10.9,7.4,6,94,0,0,323,361
11.01.2022T11:00,7.8,9.1,8,94,0,0,321,356
11.01.2022T11:00,7.3,7.5,7,97,0,0,317,350
11.01.2022T11:00,7.0,4.9,7,97,0,0,308,344
11.01.2022T11:00,7.4,6.1,6,97,0,0,302,342
12.01.2022T12:00,7.2,6.0,6,97,0,0,298,343
12.01.2022T12:00,6.3,6.5,8,97,0,0,308,343
12.01.2022T12:00,6.2,7.6,7,97,0,0,311,341
12.01.2022T12:00,5.6,7.2,6,98,0,0,300,341
12.01.2022T12:00,5.5,7.1,1,96,0,0,267,340
12.01.2022T12:00,5.8,6.2,6,92,0,0,265,337
12.01.2022T12:00,5.8,4.6,4,89,0,0,280,335
12.01.2022T12:00,5.2,4.6,6,88,0,0,280,334
12.01.2022T12:00,6.5,5.3,6,87,0,6,293,334
12.01.2022T12:00,6.9,4.6,8,83,8,40,309,337
12.01.2022T12:00,7.8,5.1,8,80,0,63,325,341
12.01.2022T12:00,7.1,8.1,8,82,0,58,329,344
12.01.2022T12:00,6.7,4.4,7,92,0,48,323,348
12.01.2022T12:00,6.7,4.3,8,99,0,39,323,349
12.01.2022T12:00,6.9,5.2,7,98,0,29,323,351
12.01.2022T12:00,6.9,5.7,8,97,0,22,321,353
12.01.2022T12:00,7.5,7.9,7,98,0,8,322,354
12.01.2022T12:00,8.5,10.1,8,100,0,0,325,355
12.01.2022T12:00,10.2,11.0,8,96,0,0,340,358
12.01.2022T12:00,12.1,15.0,8,86,0,0,348,361
12.01.2022T12:00,11.4,14.2,8,75,0,0,350,360
12.01.2022T12:00,9.4,11.3,8,71,0,0,343,355
12.01.2022T12:00,8.5,6.5,7,75,0,0,329,351
12.01.2022T12:00,7.8,7.0,8,81,0,0,324,348
13.01.2022T13:00,7.8,5.5,7,83,0,0,322,347
13.01.2022T13:00,7.8,5.6,7,84,0,0,315,347
13.01.2022T13:00,7.7,5.3,8,85,0,0,321,347
13.01.2022T13:00,8.0,5.0,7,84,0,0,321,347
13.01.2022T13:00,8.1,5.7,7,81,0,0,316,346
13.01.2022T13:00,7.4,3.7,7,85,0,0,315,345
13.01.2022T13:00,6.8,4.0,8,93,0,0,324,345
13.01.2022T13:00,7.0,3.0,8,97,0,0,334,346
13.01.2022T13:00,7.0,2.6,8,97,0,6,334,346
13.01.2022T13:00,7.6,4.1,8,98,0,24,336,349
13.01.2022T13:00,9.9,7.1,7,98,0,36,332,352
13.01.2022T13:00,10.8,9.1,7,97,0,50,329,355
13.01.2022T13:00,11.4,7.3,7,99,0,53,332,358
13.01.2022T13:00,11.3,7.2,7,94,0,54,334,360
13.01.2022T13:00,10.0,5.4,7,92,0,42,332,361
13.01.2022T13:00,9.5,4.7,8,97,0,20,339,361
13.01.2022T13:00,9.2,5.5,7,98,0,4,338,359
13.01.2022T13:00,8.4,5.6,8,98,0,0,335,356
13.01.2022T13:00,7.8,6.3,7,98,0,0,332,353
13.01.2022T13:00,6.8,4.7,7,97,0,0,321,351
13.01.2022T13:00,6.5,7.0,8,98,0,0,325,350
13.01.2022T13:00,6.4,4.8,7,99,0,0,325,349
13.01.2022T13:00,6.7,6.4,6,99,0,0,311,347
13.01.2022T13:00,6.8,6.7,6,94,0,0,304,345
14.01.2022T14:00,6.8,5.9,6,88,0,0,302,343
14.01.2022T14:00,6.8,7.4,5,88,0,0,297,343
14.01.2022T14:00,7.1,6.8,5,87,0,0,292,342
14.01.2022T14:00,7.0,8.6,4,85,0,0,287,339
14.01.2022T14:00,6.0,6.5,4,85,0,0,279,337
14.01.2022T14:00,5.8,7.2,4,85,0,0,274,336
14.01.2022T14:00,4.8,5.9,4,92,0,0,271,335
14.01.2022T14:00,5.5,8.1,4,93,0,0,268,335
14.01.2022T14:00,5.6,7.3,4,86,2,13,263,336
14.01.2022T14:00,6.1,7.4,3,84,38,72,256,337
14.01.2022T14:00,6.7,9.2,3,82,57,123,254,338
14.01.2022T14:00,7.9,7.7,5,77,28,144,268,340
14.01.2022T14:00,8.3,8.4,8,73,11,134,297,344
14.01.2022T14:00,8.1,7.6,6,70,47,154,304,346
14.01.2022T14:00,8.1,6.4,4,69,71,131,286,346
14.01.2022T14:00,8.0,6.0,6,71,44,79,288,346
14.01.2022T14:00,7.0,5.5,5,74,4,20,292,345
14.01.2022T14:00,6.6,5.5,5,76,0,0,284,344
14.01.2022T14:00,7.1,6.6,7,74,0,0,292,343
14.01.2022T14:00,6.5,6.9,8,78,0,0,306,341
14.01.2022T14:00,5.5,6.1,7,91,0,0,304,340
14.01.2022T14:00,6.1,7.7,8,96,0,0,302,339
14.01.2022T14:00,5.9,8.8,7,90,0,0,300,337
14.01.2022T14:00,5.9,8.7,7,85,0,0,293,335
15.01.2022T15:00,5.6,8.9,6,84,0,0,288,331
15.01.2022T15:00,5.0,8.9,6,87,0,0,283,329
15.01.2022T15:00,4.4,9.5,7,92,0,0,288,329
15.01.2022T15:00,3.9,8.0,4,96,0,0,275,328
15.01.2022T15:00,3.8,7.7,5,98,0,0,263,329
15.01.2022T15:00,4.0,7.2,7,96,0,0,282,330
15.01.2022T15:00,3.8,7.6,7,94,0,0,293,330
15.01.2022T15:00,4.0,8.3,8,90,0,0,300,330
15.01.2022T15:00,4.1,6.8,7,86,0,5,302,330
15.01.2022T15:00,4.4,7.6,7,83,0,23,298,332
15.01.2022T15:00,4.6,6.8,6,81,0,58,295,333
15.01.2022T15:00,5.5,6.7,7,80,2,100,297,335
15.01.2022T15:00,6.0,7.0,4,78,68,158,287,337
15.01.2022T15:00,6.2,7.8,4,75,46,140,269,340
15.01.2022T15:00,5.8,6.5,6,72,10,95,279,341
15.01.2022T15:00,5.2,7.4,6,76,0,27,288,340
15.01.2022T15:00,4.3,6.9,7,86,0,7,291,338
15.01.2022T15:00,4.1,5.8,8,90,0,0,300,337
15.01.2022T15:00,3.7,5.5,7,95,0,0,298,336
15.01.2022T15:00,3.7,5.3,6,99,0,0,285,335
15.01.2022T15:00,4.0,5.2,7,96,0,0,282,334
15.01.2022T15:00,4.2,5.6,5,91,0,0,277,334
15.01.2022T15:00,4.0,7.1,5,87,0,0,267,332
15.01.2022T15:00,3.5,5.8,6,87,0,0,273,329
16.01.2022T16:00,3.5,7.1,3,86,0,0,262,327
16.01.2022T16:00,3.2,6.4,4,84,0,0,249,326
16.01.2022T16:00,3.6,6.5,3,81,0,0,250,326
16.01.2022T16:00,3.8,6.2,5,74,0,0,257,326
16.01.2022T16:00,3.5,4.1,6,71,0,0,272,326
16.01.2022T16:00,4.8,6.3,8,66,0,0,289,326
16.01.2022T16:00,5.6,7.1,7,59,0,0,297,327
16.01.2022T16:00,5.6,8.3,7,58,0,0,296,328
16.01.2022T16:00,4.0,8.8,7,74,0,9,299,328
16.01.2022T16:00,6.1,10.9,7,83,0,36,302,330
16.01.2022T16:00,6.2,11.0,7,78,0,47,305,332
16.01.2022T16:00,6.6,11.4,7,83,0,67,307,335
16.01.2022T16:00,6.2,9.3,7,88,0,73,309,337
16.01.2022T16:00,6.0,8.2,6,94,3,90,306,339
16.01.2022T16:00,6.8,11.4,7,90,3,71,306,340
16.01.2022T16:00,6.9,6.5,7,86,10,43,314,340
16.01.2022T16:00,7.1,6.8,7,86,11,9,316,340
16.01.2022T16:00,5.6,6.8,7,90,0,0,313,340
16.01.2022T16:00,6.0,6.7,7,95,0,0,311,341
16.01.2022T16:00,6.8,7.4,7,94,0,0,313,341
16.01.2022T16:00,6.5,7.2,7,92,0,0,313,341
16.01.2022T16:00,6.3,6.4,7,95,0,0,314,341
16.01.2022T16:00,5.7,6.2,7,98,0,0,313,339
16.01.2022T16:00,5.7,4.9,7,99,0,0,312,336
17.01.2022T17:00,6.0,5.9,7,98,0,0,311,335
17.01.2022T17:00,5.7,6.2,8,96,0,0,317,333
17.01.2022T17:00,5.4,5.0,8,96,0,0,322,330
17.01.2022T17:00,5.0,4.1,6,97,0,0,307,328
17.01.2022T17:00,5.1,6.2,2,95,0,0,265,327
17.01.2022T17:00,4.6,5.4,7,96,0,0,270,327
17.01.2022T17:00,4.4,6.6,7,97,0,0,303,326
17.01.2022T17:00,4.0,6.5,6,96,0,0,294,325
17.01.2022T17:00,4.3,5.8,6,96,1,13,285,324
17.01.2022T17:00,4.7,5.7,7,98,3,58,291,324
17.01.2022T17:00,5.3,6.2,6,95,9,105,292,326
17.01.2022T17:00,6.3,5.8,7,87,11,132,293,331
17.01.2022T17:00,6.6,7.1,7,84,16,146,302,334
17.01.2022T17:00,6.8,6.6,7,82,21,139,304,335
17.01.2022T17:00,7.4,6.3,8,78,0,63,312,334
17.01.2022T17:00,5.4,3.9,7,85,0,43,308,331
17.01.2022T17:00,4.9,4.8,7,94,0,4,296,327
17.01.2022T17:00,4.2,3.1,7,93,0,0,291,322
17.01.2022T17:00,4.3,3.0,5,94,0,0,276,320
17.01.2022T17:00,4.0,2.3,6,94,0,0,269,319
17.01.2022T17:00,3.6,2.3,6,95,0,0,273,319
17.01.2022T17:00,3.9,2.1,6,97,0,0,273,319
17.01.2022T17:00,3.1,0.8,7,98,0,0,279,319
17.01.2022T17:00,1.5,1.5,3,98,0,0,261,319
18.01.2022T18:00,0.7,1.8,8,100,0,0,263,317
18.01.2022T18:00,0.5,1.8,8,100,0,0,283,317
18.01.2022T18:00,-0.5,2.5,3,100,0,0,258,317
18.01.2022T18:00,-0.3,3.5,5,100,0,0,242,318
18.01.2022T18:00,-1.0,1.5,4,98,0,0,246,318
18.01.2022T18:00,-0.9,3.3,2,98,0,0,231,318
18.01.2022T18:00,-0.9,3.1,4,98,0,0,230,317
18.01.2022T18:00,-0.9,3.2,5,98,0,0,242,318
18.01.2022T18:00,-0.6,2.3,7,98,5,14,254,317
18.01.2022T18:00,-0.3,4.0,8,99,48,69,267,317
18.01.2022T18:00,0.6,3.0,3,100,57,121,250,319
18.01.2022T18:00,0.4,3.0,6,99,0,80,241,323
18.01.2022T18:00,0.4,2.9,8,99,0,39,264,327
18.01.2022T18:00,1.2,2.8,7,99,0,47,269,330
18.01.2022T18:00,2.3,4.7,7,97,0,75,267,331
18.01.2022T18:00,2.6,3.9,8,96,0,34,274,330
18.01.2022T18:00,2.7,4.0,7,91,0,7,274,327
18.01.2022T18:00,2.4,3.4,6,86,0,0,263,322
18.01.2022T18:00,2.3,4.2,5,78,0,0,251,318
18.01.2022T18:00,1.7,2.6,5,74,0,0,245,317
18.01.2022T18:00,0.9,3.0,5,77,0,0,243,317
18.01.2022T18:00,-0.8,2.1,3,83,0,0,233,317
18.01.2022T18:00,-1.9,1.7,3,92,0,0,222,317
18.01.2022T18:00,-2.7,1.2,3,97,0,0,221,317
19.01.2022T19:00,-2.9,1.4,3,100,0,0,220,316
19.01.2022T19:00,-3.2,1.5,2,100,0,0,216,315
19.01.2022T19:00,-3.4,1.0,2,100,0,0,212,313
19.01.2022T19:00,-2.7,1.9,0,100,0,0,205,311
19.01.2022T19:00,-3.2,2.7,0,100,0,0,198,311
19.01.2022T19:00,-2.9,3.8,4,99,0,0,216,311
19.01.2022T19:00,-2.5,3.1,6,99,0,0,245,311
19.01.2022T19:00,-2.1,4.4,6,99,0,0,257,311
19.01.2022T19:00,-1.7,4.5,7,98,0,11,263,311
19.01.2022T19:00,-0.6,6.1,8,96,0,44,275,312
19.01.2022T19:00,0.0,6.6,7,90,2,91,280,314
19.01.2022T19:00,0.4,7.1,7,85,1,101,278,316
19.01.2022T19:00,0.9,7.2,7,82,3,123,281,318
19.01.2022T19:00,0.9,7.5,7,83,0,82,284,320
