id;building;year;retrofit;area
5;AB;1900.0;;6561.248311986626
8;AB;1905.0;;6519.5381071160045
10;IWU Transport;1905.0;;23.834601003363808
12;AB;1905.0;;1569.339968023292
14;AB;1905.0;;4516.186814950033
15;AB;1955.0;;4303.1795659265945
16;AB;1905.0;;4701.327248026411
17;IWU Transport;1905.0;;58.42307000131772
21;AB;;;1711.251076475572
24;IWU Technical and Utility (supply and disposal);1905.0;;7.448012000011559
25;AB;1905.0;;1336.908303482084
27;AB;1905.0;;4165.375151920331
29;IWU Transport;;;0.0
31;AB;1905.0;;2185.104191958309
32;IWU Trade Buildings;1905.0;;40.14258349713131
35;AB;1905.0;;6294.83332005621
40;-;1905.0;;220.8371355156639
42;AB;1905.0;;2141.8483889522054
44;-;1905.0;;0.0
53;AB;1905.0;;7243.7329980761115
54;AB;1905.0;;6470.802783993188
61;IWU Culture and Leisure;1905.0;;1723.1788000074243
62;AB;1955.0;;6079.01009601547
67;AB;1955.0;;4614.530448535048
69;IWU Transport;;;36.711770002500174
77;AB;1900.0;;7386.84775990447
78;AB;1905.0;;3863.734079904621
79;AB;1905.0;;1198.0960440303206
81;AB;1905.0;;6442.5330399708555
85;AB;;;6365.186219921402
87;AB;1905.0;;7297.538638429097
88;AB;1905.0;;4999.725128072034
91;AB;1905.0;;2171.986713026835
92;AB;1905.0;;4461.343087952997
93;AB;1905.0;;6591.098559913546
95;-;1905.0;;88.87738600097497
96;AB;1905.0;;6764.797628134444
97;AB;1955.0;;7437.797339000778
101;AB;1905.0;;7175.849951949212
102;AB;1955.0;;1751.7694350091804
103;IWU Sports Facilities;1905.0;;12542.54967151206
104;-;1905.0;;12.7559499971929
106;SF;1905.0;;108.74968450010574
109;AB;1905.0;;2893.158572501965
112;IWU Health and Care;1905.0;;3158.332299984165
113;AB;1905.0;;8371.520420099889
114;SF;;;0.0
115;-;1905.0;;148.92997800104146
120;AB;1905.0;;2489.156314931308
122;AB;1900.0;;1546.4714579710844
123;AB;1905.0;;9549.797200039193
125;AB;1905.0;;7249.246609476468
128;AB;1905.0;;1893.9049519966452
129;AB;1905.0;;6969.259165592926
130;AB;1905.0;;3179.5013431277084
133;-;1905.0;;0.0
135;-;;;17.227502497783398
136;-;;;97.55871599917208
137;AB;1905.0;;4781.796203987509
138;-;;;103.21402300473731
140;AB;;;4336.168301484345
145;AB;1905.0;;5083.560765506861
147;-;1905.0;;17.578064000783733
150;AB;1905.0;;6753.522836004385
